FakeNN JSON Name,M,N,K,m,n,k,JSON Name,remainderTiles,Reduction Dim,m Dim,tileA_cc,tileA,Space Needed in L1,tileC,Space Remaining,Weight Matrix Tile Size,Row Dim,tileB_cc,tileB,tileC_cc,SSR Config Count,m_tiles,n_tiles,k_tiles,Regular Loads,Total CL Tiles,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,oldRegPerStream,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,L3 Loads,L3 Stores,A',SSR Loads,HW Loops,FMADDs,MULs,FMADDsMULs,SSR Loads per HW Loop,HW Loops / SSR Loads per HW Loop,A'',B',C'',CC Tile Size,A''/ B',(A''+ B') / C'',m'_sz / k_size,n'_sz / k_size,myRegPerStream,HW Loops / SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,A SSR Loads,Reused / Total SSR Loads,Core : A SSR Reuse Loads,Total SSR Loads,FMADDsPerCore,Avg A'',Avg B',Avg C'',Avg CC Tile Size,Avg (A''+ B') / C'',Avg L3 Loads,Avg L3 Stores,Avg A''/ B',Avg A',Avg m'_sz / k_size,Avg n'_sz / k_size
32x128x128w31-32-32,32,128,128,31,32,32,31-32-32,M00,32,31,768,7936,48128,7936,66560,16384,32,8192,8192,768,144,2,4,4,0,32,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,49152,16384,16384,1048576.0,2048.0,507904,16384.0,524288.0,73728,4.0,16384,147456,16384,180224,16.0,1722.6666666666667,16.0,144.0,31.125,32.0,65536.0,458752.0,65536.0,524288.0,524288.0,63.0,0.0550595238095238,1048576.0,3527.1111111111118,113.77777777777776,1024.0,113.77777777777776,1251.5555555555557,11.962962962962964,1536.0,512.0,0.1111111111111111,512.0,0.1111111111111111,1.0
32x128x128w32-32-30,32,128,128,32,32,30,32-32-30,00K,30,32,960,7680,47104,8192,67584,15360,32,7680,7680,1024,160,1,4,5,0,20,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,32768,20480,16384,1048576.0,2560.0,503808,20480.0,524288.0,65536,8.266666666666666,16384,131072,20480,167936,20.0,1152.0,33.06666666666666,264.5333333333333,66.13333333333333,66.13333333333333,65536.0,458752.0,65536.0,524288.0,524288.0,70.0,0.0738095238095238,1048576.0,3148.8,102.4,819.2,128.0,1049.6,7.2,1638.4,1024.0,0.125,819.2,0.2066666666666666,1.653333333333333
32x128x128w32-32-31,32,128,128,32,32,31,32-32-31,00K,31,32,992,7936,48128,8192,66560,15872,32,7936,7936,1024,160,1,4,5,0,20,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,32768,20480,16384,1048576.0,2560.0,503808,20480.0,524288.0,65536,12.129032258064516,16384,131072,20480,167936,20.0,1152.0,48.516129032258064,388.1290322580645,97.03225806451611,97.03225806451611,65536.0,458752.0,65536.0,524288.0,524288.0,70.0,0.108294930875576,1048576.0,3148.8,102.4,819.2,128.0,1049.6,7.2,1638.4,1024.0,0.125,819.2,0.3032258064516129,2.425806451612903
32x128x128w32-32-28,32,128,128,32,32,28,32-32-28,00K,28,32,896,7168,45056,8192,69632,14336,32,7168,7168,1024,160,1,4,5,0,20,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,32768,20480,16384,1048576.0,2560.0,503808,20480.0,524288.0,65536,6.571428571428571,16384,131072,20480,167936,20.0,1152.0,26.285714285714285,210.28571428571428,52.57142857142857,52.57142857142857,65536.0,458752.0,65536.0,524288.0,524288.0,70.0,0.0586734693877551,1048576.0,3148.8,102.4,819.2,128.0,1049.6,7.2,1638.4,1024.0,0.125,819.2,0.1642857142857142,1.3142857142857145
32x128x128w32-32-27,32,128,128,32,32,27,32-32-27,00K,27,32,864,6912,44032,8192,70656,13824,32,6912,6912,1024,160,1,4,5,0,20,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,32768,20480,16384,1048576.0,2560.0,503808,20480.0,524288.0,65536,6.34074074074074,16384,131072,20480,167936,20.0,1152.0,25.36296296296296,202.90370370370368,50.72592592592592,50.72592592592592,65536.0,458752.0,65536.0,524288.0,524288.0,70.0,0.0566137566137566,1048576.0,3148.8,102.4,819.2,128.0,1049.6,7.2,1638.4,1024.0,0.125,819.2,0.1585185185185185,1.268148148148148
32x128x128w30-32-32,32,128,128,30,32,32,30-32-32,M00,32,30,768,7680,47104,7680,67584,16384,32,8192,8192,768,160,2,4,4,0,32,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,49152,16384,16384,1048576.0,2048.0,507904,16384.0,524288.0,81920,4.0,16384,163840,16384,196608,16.0,2293.333333333333,16.0,160.0,30.5,32.0,65536.0,458752.0,65536.0,524288.0,524288.0,70.0,0.0744047619047619,1048576.0,3174.4,102.4,1024.0,102.4,1228.8,14.333333333333332,1536.0,512.0,0.1,512.0,0.1,1.0
32x128x128w32-32-26,32,128,128,32,32,26,32-32-26,00K,26,32,832,6656,43008,8192,71680,13312,32,6656,6656,1024,160,1,4,5,0,20,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,32768,20480,16384,1048576.0,2560.0,503808,20480.0,524288.0,65536,6.256410256410256,16384,131072,20480,167936,20.0,1152.0,25.025641025641026,200.2051282051282,50.05128205128205,50.05128205128205,65536.0,458752.0,65536.0,524288.0,524288.0,70.0,0.0558608058608058,1048576.0,3148.8,102.4,819.2,128.0,1049.6,7.2,1638.4,1024.0,0.125,819.2,0.1564102564102564,1.2512820512820513
32x128x128w32-32-29,32,128,128,32,32,29,32-32-29,00K,29,32,928,7424,46080,8192,68608,14848,32,7424,7424,1024,160,1,4,5,0,20,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,32768,20480,16384,1048576.0,2560.0,503808,20480.0,524288.0,65536,7.080459770114942,16384,131072,20480,167936,20.0,1152.0,28.321839080459768,226.5747126436781,56.643678160919535,56.643678160919535,65536.0,458752.0,65536.0,524288.0,524288.0,70.0,0.0632183908045977,1048576.0,3148.8,102.4,819.2,128.0,1049.6,7.2,1638.4,1024.0,0.125,819.2,0.1770114942528735,1.4160919540229884
32x128x128w29-32-32,32,128,128,29,32,32,29-32-32,M00,32,29,768,7424,46080,7424,68608,16384,32,8192,8192,768,176,2,4,4,0,32,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,49152,16384,16384,1048576.0,2048.0,507904,16384.0,524288.0,90112,4.0,16384,180224,16384,212992,16.0,2864.0,16.0,176.0,30.125,32.0,65536.0,458752.0,65536.0,524288.0,524288.0,77.0,0.09375,1048576.0,2885.818181818182,93.0909090909091,1024.0,93.0909090909091,1210.1818181818182,16.272727272727273,1536.0,512.0,0.0909090909090909,512.0,0.0909090909090909,1.0
32x128x128w31-32-29,32,128,128,31,32,29,31-32-29,M0K,29,31,696,7192,45104,7936,69584,14848,32,7424,7424,768,180,2,4,5,0,40,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,49152,20480,16384,1048576.0,2560.0,503808,20480.0,524288.0,73728,7.080459770114942,16384,147456,20480,184320,20.0,1722.6666666666667,28.321839080459768,254.8965517241379,55.0948275862069,56.643678160919535,65536.0,458752.0,65536.0,524288.0,524288.0,78.75,0.0974616858237547,1048576.0,2798.9333333333334,91.02222222222224,819.2,113.77777777777776,1024.0,9.570370370370371,1228.8,512.0,0.1111111111111111,409.6,0.1573435504469987,1.4160919540229884
