FakeNN JSON Name,M,N,K,m,n,k,JSON Name,remainderTiles,Row Dim,tileB,tileC_cc,tileA_cc,tileA,Reduction Dim,m Dim,Space Remaining,Space Needed in L1,Weight Matrix Tile Size,tileB_cc,tileC,SSR Config Count,m_tiles,n_tiles,k_tiles,Regular Loads,Total CL Tiles,oldRegPerStream,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,L3 Loads,L3 Stores,A',SSR Loads,HW Loops,FMADDs,MULs,FMADDsMULs,SSR Loads per HW Loop,HW Loops / SSR Loads per HW Loop,A'',B',C'',CC Tile Size,A''/ B',(A''+ B') / C'',m'_sz / k_size,n'_sz / k_size,myRegPerStream,HW Loops / SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,A SSR Loads,Core : A SSR Reuse Loads,Reused / Total SSR Loads,Total SSR Loads,FMADDsPerCore,Avg A'',Avg B',Avg C'',Avg CC Tile Size,Avg (A''+ B') / C'',Avg L3 Loads,Avg L3 Stores,Avg A''/ B',Avg A',Avg m'_sz / k_size,Avg n'_sz / k_size
60x120x120w32-32-31,60,120,120,32,32,31,32-32-31,MNK,32,7936,1024,992,7936,31,32,66560,48128,15872,7936,8192,256,2,4,4,0,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57600,28800,28800,1728000.0,3600.0,835200,28800.0,864000.0,122880,7.526881720430107,28800,230400,28800,288000,32.5,2340.0,32.11469534050179,256.91756272401426,60.21505376344086,60.21505376344086,108000.0,756000.0,108000.0,864000.0,864000.0,0.0897384840037169,112.0,1728000.0,3262.5,112.5,900.0,112.5,1125.0,9.140625,1800.0,900.0,0.126953125,900.0,0.1254480286738351,1.0035842293906807
60x120x120w32-32-30,60,120,120,32,32,30,32-32-30,MN0,32,7680,1024,960,7680,30,32,67584,47104,15360,7680,8192,256,2,4,4,0,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57600,28800,28800,1728000.0,3600.0,835200,28800.0,864000.0,122880,7.5,28800,230400,28800,288000,32.5,2340.0,32.0,256.0,60.0,60.0,108000.0,756000.0,108000.0,864000.0,864000.0,0.0894179894179894,112.0,1728000.0,3262.5,112.5,900.0,112.5,1125.0,9.140625,1800.0,900.0,0.126953125,900.0,0.125,1.0
60x120x120w30-32-32,60,120,120,30,32,32,30-32-32,0NK,32,8192,768,768,7680,32,30,67584,47104,16384,8192,7680,256,2,4,4,0,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57600,28800,28800,1728000.0,3600.0,835200,28800.0,864000.0,122880,7.6171875,28800,230400,28800,288000,32.5,2340.0,32.5,260.0,60.9375,60.9375,108000.0,756000.0,108000.0,864000.0,864000.0,0.0908151455026455,112.0,1728000.0,3262.5,112.5,900.0,112.5,1125.0,9.140625,1800.0,900.0,0.126953125,900.0,0.126953125,1.015625
60x120x120w32-32-32,60,120,120,32,32,32,32-32-32,MNK,32,8192,1024,1024,8192,32,32,65536,49152,16384,8192,8192,256,2,4,4,0,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57600,28800,28800,1728000.0,3600.0,835200,28800.0,864000.0,122880,7.6171875,28800,230400,28800,288000,32.5,2340.0,32.5,260.0,60.9375,60.9375,108000.0,756000.0,108000.0,864000.0,864000.0,0.0908151455026455,112.0,1728000.0,3262.5,112.5,900.0,112.5,1125.0,9.140625,1800.0,900.0,0.126953125,900.0,0.126953125,1.015625
60x120x120w30-32-31,60,120,120,30,32,31,30-32-31,0NK,32,7936,768,744,7440,31,30,68576,46112,15872,7936,7680,256,2,4,4,0,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57600,28800,28800,1728000.0,3600.0,835200,28800.0,864000.0,122880,7.526881720430109,28800,230400,28800,288000,32.5,2340.0,32.1146953405018,256.9175627240143,60.21505376344087,60.21505376344087,108000.0,756000.0,108000.0,864000.0,864000.0,0.0897384840037169,112.0,1728000.0,3262.5,112.5,900.0,112.5,1125.0,9.140625,1800.0,900.0,0.126953125,900.0,0.1254480286738351,1.003584229390681
60x120x120w31-32-31,60,120,120,31,32,31,31-32-31,MNK,32,7936,768,744,7688,31,31,67568,47120,15872,7936,7936,256,2,4,4,0,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57600,28800,28800,1728000.0,3600.0,835200,28800.0,864000.0,122880,7.526881720430107,28800,230400,28800,288000,32.5,2340.0,32.11469534050179,256.91756272401426,60.21505376344086,60.21505376344086,108000.0,756000.0,108000.0,864000.0,864000.0,0.0897384840037169,112.0,1728000.0,3262.5,112.5,900.0,112.5,1125.0,9.140625,1800.0,900.0,0.126953125,900.0,0.1254480286738351,1.0035842293906807
60x120x120w31-32-32,60,120,120,31,32,32,31-32-32,MNK,32,8192,768,768,7936,32,31,66560,48128,16384,8192,7936,256,2,4,4,0,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57600,28800,28800,1728000.0,3600.0,835200,28800.0,864000.0,122880,7.6171875,28800,230400,28800,288000,32.5,2340.0,32.5,260.0,60.9375,60.9375,108000.0,756000.0,108000.0,864000.0,864000.0,0.0908151455026454,112.0,1728000.0,3262.5,112.5,900.0,112.5,1125.0,9.140625,1800.0,900.0,0.126953125,900.0,0.126953125,1.015625
60x120x120w31-32-30,60,120,120,31,32,30,31-32-30,MN0,32,7680,768,720,7440,30,31,68576,46112,15360,7680,7936,256,2,4,4,0,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57600,28800,28800,1728000.0,3600.0,835200,28800.0,864000.0,122880,7.5,28800,230400,28800,288000,32.5,2340.0,32.0,256.0,60.0,60.0,108000.0,756000.0,108000.0,864000.0,864000.0,0.0894179894179894,112.0,1728000.0,3262.5,112.5,900.0,112.5,1125.0,9.140625,1800.0,900.0,0.126953125,900.0,0.125,1.0
60x120x120w30-32-30,60,120,120,30,32,30,30-32-30,0N0,32,7680,768,720,7200,30,30,69568,45120,15360,7680,7680,256,2,4,4,0,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57600,28800,28800,1728000.0,3600.0,835200,28800.0,864000.0,122880,7.5,28800,230400,28800,288000,32.5,2340.0,32.0,256.0,60.0,60.0,108000.0,756000.0,108000.0,864000.0,864000.0,0.0894179894179894,112.0,1728000.0,3262.5,112.5,900.0,112.5,1125.0,9.140625,1800.0,900.0,0.126953125,900.0,0.125,1.0
60x120x120w29-32-32,60,120,120,29,32,32,29-32-32,MNK,32,8192,768,768,7424,32,29,68608,46080,16384,8192,7424,288,3,4,4,0,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72000,28800,28800,1728000.0,3600.0,835200,28800.0,864000.0,138240,7.6171875,28800,259200,28800,316800,32.50000000000001,3412.5,32.50000000000001,292.5,59.4140625,60.9375,108000.0,756000.0,108000.0,864000.0,864000.0,0.1362227182539682,126.0,1728000.0,2900.0,100.0,900.0,100.0,1100.0,11.848958333333334,1500.0,600.0,0.1128472222222222,600.0,0.1128472222222222,1.015625
