FakeNN JSON Name,M,N,K,m,n,k,JSON Name,Space Needed in L1,tileB,m Dim,remainderTiles,tileA,tileA_cc,Reduction Dim,Weight Matrix Tile Size,Space Remaining,Row Dim,tileB_cc,tileC_cc,tileC,SSR Config Count,m_tiles,n_tiles,k_tiles,Regular Loads,Total CL Tiles,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,oldRegPerStream,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,L3 Loads,L3 Stores,A',SSR Loads,HW Loops,FMADDs,MULs,FMADDsMULs,SSR Loads per HW Loop,HW Loops / SSR Loads per HW Loop,A'',B',C'',CC Tile Size,A''/ B',(A''+ B') / C'',m'_sz / k_size,n'_sz / k_size,myRegPerStream,HW Loops / SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,A SSR Loads,Reused / Total SSR Loads,Core : A SSR Reuse Loads,Total SSR Loads,FMADDsPerCore,Avg A'',Avg B',Avg C'',Avg CC Tile Size,Avg (A''+ B') / C'',Avg L3 Loads,Avg L3 Stores,Avg A''/ B',Avg A',Avg m'_sz / k_size,Avg n'_sz / k_size
120x120x120w24-24-40,120,120,120,24,24,40,24-24-40,39936,7680,24,000,7680,960,40,15360,74752,24,7680,576,4608,600,5,5,3,0,75,3,3,40,8,3,0.1125,4,3,40,8,4,144000,43200,72000,3456000.0,5400.0,1684800,43200.0,1728000.0,384000,8.4375,72000,576000,43200,691200,75.0,9000.0,45.0,360.0,67.5,67.5,216000.0,1512000.0,216000.0,1728000.0,1728000.0,262.5,0.23809523809523808,3456000.0,2808.0,120.0,960.0,72.0,1152.0,15.0,1920.0,576.0,0.125,960.0,0.075,0.6
120x120x120w40-24-24,120,120,120,40,24,24,40-24-24,39936,4608,40,000,7680,960,24,9216,74752,24,4608,960,7680,600,3,5,5,0,75,5,3,24,8,5,0.3125,6,3,24,8,6,115200,72000,72000,3456000.0,9000.0,1656000,72000.0,1728000.0,230400,23.4375,72000,345600,72000,489600,125.0,3480.0,125.0,600.0,187.5,187.5,216000.0,1512000.0,216000.0,1728000.0,1728000.0,262.5,0.23809523809523808,3456000.0,2760.0,120.0,576.0,120.0,816.0,5.8,1536.0,960.0,0.20833333333333334,960.0,0.20833333333333334,1.0
120x120x120w24-40-24,120,120,120,24,40,24,24-40-24,39936,7680,24,000,4608,576,24,15360,74752,40,7680,960,7680,600,5,3,5,0,75,3,5,24,8,3,0.3125,4,5,24,8,4,115200,72000,43200,3456000.0,9000.0,1656000,72000.0,1728000.0,230400,23.4375,43200,576000,72000,691200,45.0,5160.0,75.0,1000.0,187.5,187.5,216000.0,1512000.0,216000.0,1728000.0,1728000.0,262.5,0.23809523809523808,3456000.0,2760.0,72.0,960.0,120.0,1152.0,8.6,1536.0,960.0,0.075,576.0,0.125,1.6666666666666667
120x120x120w30-24-30,120,120,120,30,24,30,30-24-30,37440,5760,30,000,7200,720,30,11520,77248,24,5760,576,5760,640,4,5,4,0,80,3,3,30,8,3,-1.0,4,3,30,8,4,129600,57600,72000,3456000.0,7200.0,1670400,57600.0,1728000.0,307200,15.000000000000002,72000,460800,57600,590400,100.0,6000.0,80.0,512.0,120.0,120.00000000000001,216000.0,1512000.0,216000.0,1728000.0,1728000.0,280.0,0.2751322751322752,3456000.0,2610.0,112.5,720.0,90.0,922.5,9.375,1620.0,720.0,0.15625,900.0,0.125,0.8
120x120x120w20-40-24,120,120,120,20,40,24,20-40-24,35840,7680,20,000,3840,384,24,15360,78848,40,7680,640,6400,720,6,3,5,0,90,2,5,24,8,2,-1.0,3,5,24,8,3,129600,72000,43200,3456000.0,9000.0,1656000,72000.0,1728000.0,276480,23.4375,43200,691200,72000,806400,45.0,7632.0,75.0,1200.0,187.5,187.5,216000.0,1512000.0,216000.0,1728000.0,1728000.0,315.0,0.3571428571428571,3456000.0,2300.0,60.0,960.0,100.0,1120.0,10.6,1440.0,800.0,0.0625,480.0,0.10416666666666667,1.6666666666666667
120x120x120w20-24-40,120,120,120,20,24,40,20-24-40,35840,7680,20,000,6400,640,40,15360,78848,24,7680,384,3840,720,6,5,3,0,90,2,3,40,8,2,-1.0,3,3,40,8,3,158400,43200,72000,3456000.0,5400.0,1684800,43200.0,1728000.0,460800,8.4375,72000,691200,43200,806400,75.0,13200.000000000002,45.0,432.0,67.5,67.5,216000.0,1512000.0,216000.0,1728000.0,1728000.0,315.0,0.3571428571428571,3456000.0,2340.0,100.0,960.0,60.0,1120.0,18.333333333333336,1760.0,480.0,0.10416666666666667,800.0,0.0625,0.6
120x120x120w24-40-20,120,120,120,24,40,20,24-40-20,35840,6400,24,000,3840,480,20,12800,78848,40,6400,960,7680,720,5,3,6,0,90,3,5,20,8,3,0.375,4,5,20,8,4,115200,86400,43200,3456000.0,10800.0,1641600,86400.0,1728000.0,230400,33.75,43200,576000,86400,705600,54.0,5160.0,108.0,1440.0,270.0,270.0,216000.0,1512000.0,216000.0,1728000.0,1728000.0,315.0,0.34285714285714286,3456000.0,2280.0,60.0,800.0,120.0,980.0,7.166666666666667,1280.0,960.0,0.075,480.0,0.15,2.0
120x120x120w40-24-20,120,120,120,40,24,20,40-24-20,35840,3840,40,000,6400,800,20,7680,78848,24,3840,960,7680,720,3,5,6,0,90,5,3,20,8,5,0.375,6,3,20,8,6,115200,86400,72000,3456000.0,10800.0,1641600,86400.0,1728000.0,230400,33.75,72000,345600,86400,504000,150.0,3480.0,180.0,864.0,270.0,270.0,216000.0,1512000.0,216000.0,1728000.0,1728000.0,315.0,0.34285714285714286,3456000.0,2280.0,100.0,480.0,120.0,700.0,4.833333333333333,1280.0,960.0,0.20833333333333334,800.0,0.25,1.2
120x120x120w24-24-30,120,120,120,24,24,30,24-24-30,32256,5760,24,000,5760,720,30,11520,82432,24,5760,576,4608,800,5,5,4,0,100,3,3,30,8,3,0.15,4,3,30,8,4,144000,57600,72000,3456000.0,7200.0,1670400,57600.0,1728000.0,384000,15.0,72000,576000,57600,705600,100.0,9000.0,80.0,640.0,120.0,120.0,216000.0,1512000.0,216000.0,1728000.0,1728000.0,350.0,0.4232804232804233,3456000.0,2088.0,90.0,720.0,72.0,882.0,11.25,1440.0,576.0,0.125,720.0,0.1,0.8
120x120x120w30-24-24,120,120,120,30,24,24,30-24-24,32256,4608,30,000,5760,576,24,9216,82432,24,4608,576,5760,800,4,5,5,0,100,3,3,24,8,3,-1.0,4,3,24,8,4,129600,72000,72000,3456000.0,9000.0,1656000,72000.0,1728000.0,307200,23.4375,72000,460800,72000,604800,125.0,6000.0,125.0,800.0,187.5,187.5,216000.0,1512000.0,216000.0,1728000.0,1728000.0,350.0,0.4298941798941799,3456000.0,2070.0,90.0,576.0,90.0,756.0,7.5,1296.0,720.0,0.15625,720.0,0.15625,1.0
