FakeNN JSON Name,M,N,K,m,n,k,JSON Name,tileB,tileA,Space Needed in L1,Row Dim,Reduction Dim,tileB_cc,Weight Matrix Tile Size,m Dim,Space Remaining,tileC,tileA_cc,tileC_cc,remainderTiles,SSR Config Count,m_tiles,n_tiles,k_tiles,Regular Loads,Total CL Tiles,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,oldRegPerStream,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,L3 Loads,L3 Stores,A',SSR Loads,HW Loops,FMADDs,MULs,FMADDsMULs,SSR Loads per HW Loop,HW Loops / SSR Loads per HW Loop,A'',B',C'',CC Tile Size,A''/ B',(A''+ B') / C'',m'_sz / k_size,n'_sz / k_size,myRegPerStream,HW Loops / SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,A SSR Loads,Reused / Total SSR Loads,Core : A SSR Reuse Loads,Total SSR Loads,FMADDsPerCore,Avg A'',Avg B',Avg C'',Avg CC Tile Size,Avg (A''+ B') / C'',Avg L3 Loads,Avg L3 Stores,Avg A''/ B',Avg A',Avg m'_sz / k_size,Avg n'_sz / k_size
120x120x30w30-24-30,120,120,30,30,24,30,30-24-30,5760,7200,37440,24,30,5760,11520,30,77248,5760,720,576,000,160,4,5,1,0,20,3,3,30,8,3,-1.0,4,3,30,8,4,32400,14400,18000,864000.0,1800.0,417600,14400.0,432000.0,76800,3.7500000000000004,18000,115200,14400,147600,25.0,1500.0,20.0,128.0,30.0,30.000000000000004,54000.0,378000.0,54000.0,432000.0,432000.0,70.0,0.0687830687830688,864000.0,2610.0,112.5,720.0,90.0,922.5,9.375,1620.0,720.0,0.15625,900.0,0.125,0.8
120x120x30w24-24-30,120,120,30,24,24,30,24-24-30,5760,5760,32256,24,30,5760,11520,24,82432,4608,720,576,000,200,5,5,1,0,25,3,3,30,8,3,0.15,4,3,30,8,4,36000,14400,18000,864000.0,1800.0,417600,14400.0,432000.0,96000,3.75,18000,144000,14400,176400,25.0,2250.0,20.0,160.0,30.0,30.0,54000.0,378000.0,54000.0,432000.0,432000.0,87.5,0.10582010582010583,864000.0,2088.0,90.0,720.0,72.0,882.0,11.25,1440.0,576.0,0.125,720.0,0.1,0.8
120x120x30w20-24-30,120,120,30,20,24,30,20-24-30,5760,4800,28800,24,30,5760,11520,20,85888,3840,480,384,000,240,6,5,1,0,30,2,3,30,8,2,-1.0,3,3,30,8,3,39600,14400,18000,864000.0,1800.0,417600,14400.0,432000.0,115200,3.75,18000,172800,14400,205200,24.999999999999996,3300.0,20.000000000000004,192.0,30.0,30.0,54000.0,378000.0,54000.0,432000.0,432000.0,105.0,0.15873015873015872,864000.0,1740.0,75.0,720.0,60.0,855.0,13.75,1320.0,480.0,0.10416666666666666,600.0,0.08333333333333334,0.8
120x120x30w24-40-15,120,120,30,24,40,15,24-40-15,4800,2880,30720,40,15,4800,9600,24,83968,7680,360,960,000,240,5,3,2,0,30,3,5,15,8,3,0.5,4,5,15,8,4,28800,28800,10800,864000.0,3600.0,403200,28800.0,432000.0,57600,15.0,10800,144000,28800,183600,18.0,1290.0,48.0,640.0,120.0,120.0,54000.0,378000.0,54000.0,432000.0,432000.0,105.0,0.1523809523809524,864000.0,1680.0,45.0,600.0,120.0,765.0,5.375,960.0,960.0,0.075,360.0,0.2,2.6666666666666665
120x120x30w40-24-15,120,120,30,40,24,15,40-24-15,2880,4800,30720,24,15,2880,5760,40,83968,7680,600,960,000,240,3,5,2,0,30,5,3,15,8,5,0.5,6,3,15,8,6,28800,28800,18000,864000.0,3600.0,403200,28800.0,432000.0,57600,15.0,18000,86400,28800,133200,50.0,870.0,80.0,384.0,120.0,120.0,54000.0,378000.0,54000.0,432000.0,432000.0,105.0,0.1523809523809524,864000.0,1680.0,75.0,360.0,120.0,555.0,3.625,960.0,960.0,0.20833333333333334,600.0,0.3333333333333333,1.6
120x120x30w20-40-15,120,120,30,20,40,15,20-40-15,4800,2400,27200,40,15,4800,9600,20,87488,6400,240,640,000,288,6,3,2,0,36,2,5,15,8,2,-1.0,3,5,15,8,3,32400,28800,10800,864000.0,3600.0,403200,28800.0,432000.0,69120,14.999999999999998,10800,172800,28800,212400,18.0,1908.0,48.00000000000001,768.0,120.0,119.99999999999999,54000.0,378000.0,54000.0,432000.0,432000.0,126.0,0.22857142857142856,864000.0,1400.0,37.5,600.0,100.0,737.5,6.625,900.0,800.0,0.0625,300.0,0.16666666666666669,2.6666666666666665
120x120x30w15-24-30,120,120,30,15,24,30,15-24-30,5760,3600,24480,24,30,5760,11520,15,90208,2880,240,192,000,320,8,5,1,0,40,1,3,30,8,1,-1.0,2,3,30,8,2,46800,14400,18000,864000.0,1800.0,417600,14400.0,432000.0,153600,3.7500000000000004,18000,230400,14400,262800,24.999999999999996,5800.0,20.0,256.0,30.0,30.000000000000004,54000.0,378000.0,54000.0,432000.0,432000.0,140.0,0.28571428571428575,864000.0,1305.0,56.25,720.0,45.0,821.25,18.125,1170.0,360.0,0.07812499999999999,450.0,0.0625,0.8
120x120x30w30-24-15,120,120,30,30,24,15,30-24-15,2880,3600,24480,24,15,2880,5760,30,90208,5760,360,576,000,320,4,5,2,0,40,3,3,15,8,3,-1.0,4,3,15,8,4,32400,28800,18000,864000.0,3600.0,403200,28800.0,432000.0,76800,15.000000000000002,18000,115200,28800,162000,50.0,1500.0,80.0,512.0,120.0,120.00000000000001,54000.0,378000.0,54000.0,432000.0,432000.0,140.0,0.2751322751322752,864000.0,1260.0,56.25,360.0,90.0,506.25,4.6875,810.0,720.0,0.15625,450.0,0.25,1.6
120x120x30w24-40-10,120,120,30,24,40,10,24-40-10,3200,1920,25600,40,10,3200,6400,24,89088,7680,240,960,000,360,5,3,3,0,45,3,5,10,8,3,0.75,4,5,10,8,4,28800,43200,10800,864000.0,5400.0,388800,43200.0,432000.0,57600,33.75,10800,144000,43200,198000,27.0,1290.0,108.0,1440.0,270.0,270.0,54000.0,378000.0,54000.0,432000.0,432000.0,157.5,0.34285714285714286,864000.0,1080.0,30.0,400.0,120.0,550.0,3.5833333333333335,640.0,960.0,0.075,240.0,0.3,4.0
120x120x30w40-24-10,120,120,30,40,24,10,40-24-10,1920,3200,25600,24,10,1920,3840,40,89088,7680,400,960,000,360,3,5,3,0,45,5,3,10,8,5,0.75,6,3,10,8,6,28800,43200,18000,864000.0,5400.0,388800,43200.0,432000.0,57600,33.75,18000,86400,43200,147600,75.0,870.0,180.0,864.0,270.0,270.0,54000.0,378000.0,54000.0,432000.0,432000.0,157.5,0.34285714285714286,864000.0,1080.0,50.0,240.0,120.0,410.0,2.4166666666666665,640.0,960.0,0.20833333333333334,400.0,0.5,2.4
120x120x30w15-40-15,120,120,30,15,40,15,15-40-15,4800,1800,22800,40,15,4800,9600,15,91888,4800,120,320,000,384,8,3,2,0,48,1,5,15,8,1,-1.0,2,5,15,8,2,39600,28800,10800,864000.0,3600.0,403200,28800.0,432000.0,92160,14.999999999999996,10800,230400,28800,270000,18.000000000000004,3384.0,48.0,1024.0,120.0,119.99999999999997,54000.0,378000.0,54000.0,432000.0,432000.0,168.0,0.41142857142857137,864000.0,1050.0,28.125,600.0,75.0,703.125,8.8125,825.0,600.0,0.04687500000000001,225.0,0.125,2.6666666666666665
120x120x30w12-24-30,120,120,30,12,24,30,12-24-30,5760,2880,21888,24,30,5760,11520,12,92800,2304,240,192,000,400,10,5,1,0,50,1,3,30,8,1,-1.0,2,3,30,8,2,54000,14400,18000,864000.0,1800.0,417600,14400.0,432000.0,192000,3.7500000000000004,18000,288000,14400,320400,25.0,9500.0,20.0,320.0,30.0,30.000000000000004,54000.0,378000.0,54000.0,432000.0,432000.0,175.0,0.4761904761904762,864000.0,1044.0,45.0,720.0,36.0,801.0,23.75,1080.0,288.0,0.0625,360.0,0.05,0.8
