FakeNN JSON Name,M,N,K,m,n,k,JSON Name,remainderTiles,tileB_cc,Space Needed in L1,Row Dim,tileC_cc,tileB,Space Remaining,m Dim,Reduction Dim,tileA_cc,Weight Matrix Tile Size,tileC,tileA,SSR Config Count,m_tiles,n_tiles,k_tiles,Regular Loads,Total CL Tiles,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,oldRegPerStream,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,L3 Loads,L3 Stores,A',SSR Loads,HW Loops,FMADDs,MULs,FMADDsMULs,SSR Loads per HW Loop,HW Loops / SSR Loads per HW Loop,A'',B',C'',CC Tile Size,A''/ B',(A''+ B') / C'',m'_sz / k_size,n'_sz / k_size,myRegPerStream,HW Loops / SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,A SSR Loads,Reused / Total SSR Loads,Core : A SSR Reuse Loads,Total SSR Loads,FMADDsPerCore,Avg A'',Avg B',Avg C'',Avg CC Tile Size,Avg (A''+ B') / C'',Avg L3 Loads,Avg L3 Stores,Avg A''/ B',Avg A',Avg m'_sz / k_size,Avg n'_sz / k_size
120x120x60w30-24-30,120,120,60,30,24,30,30-24-30,000,5760,37440,24,576,5760,77248,30,30,720,11520,5760,7200,320,4,5,2,0,40,3,3,30,8,3,-1.0,4,3,30,8,4,64800,28800,36000,1728000.0,3600.0,835200,28800.0,864000.0,153600,7.500000000000001,36000,230400,28800,295200,50.0,3000.0,40.0,256.0,60.0,60.00000000000001,108000.0,756000.0,108000.0,864000.0,864000.0,140.0,0.1375661375661376,1728000.0,2610.0,112.5,720.0,90.0,922.5,9.375,1620.0,720.0,0.15625,900.0,0.125,0.8
120x120x60w24-40-20,120,120,60,24,40,20,24-40-20,000,6400,35840,40,960,6400,78848,24,20,480,12800,7680,3840,360,5,3,3,0,45,3,5,20,8,3,0.375,4,5,20,8,4,57600,43200,21600,1728000.0,5400.0,820800,43200.0,864000.0,115200,16.875,21600,288000,43200,352800,27.0,2580.0,54.0,720.0,135.0,135.0,108000.0,756000.0,108000.0,864000.0,864000.0,157.5,0.17142857142857143,1728000.0,2280.0,60.0,800.0,120.0,980.0,7.166666666666667,1280.0,960.0,0.075,480.0,0.15,2.0
120x120x60w40-24-20,120,120,60,40,24,20,40-24-20,000,3840,35840,24,960,3840,78848,40,20,800,7680,7680,6400,360,3,5,3,0,45,5,3,20,8,5,0.375,6,3,20,8,6,57600,43200,36000,1728000.0,5400.0,820800,43200.0,864000.0,115200,16.875,36000,172800,43200,252000,75.0,1740.0,90.0,432.0,135.0,135.0,108000.0,756000.0,108000.0,864000.0,864000.0,157.5,0.17142857142857143,1728000.0,2280.0,100.0,480.0,120.0,700.0,4.833333333333333,1280.0,960.0,0.20833333333333334,800.0,0.25,1.2
120x120x60w24-24-30,120,120,60,24,24,30,24-24-30,000,5760,32256,24,576,5760,82432,24,30,720,11520,4608,5760,400,5,5,2,0,50,3,3,30,8,3,0.15,4,3,30,8,4,72000,28800,36000,1728000.0,3600.0,835200,28800.0,864000.0,192000,7.5,36000,288000,28800,352800,50.0,4500.0,40.0,320.0,60.0,60.0,108000.0,756000.0,108000.0,864000.0,864000.0,175.0,0.21164021164021166,1728000.0,2088.0,90.0,720.0,72.0,882.0,11.25,1440.0,576.0,0.125,720.0,0.1,0.8
120x120x60w20-40-20,120,120,60,20,40,20,20-40-20,000,6400,32000,40,640,6400,82688,20,20,320,12800,6400,3200,432,6,3,3,0,54,2,5,20,8,2,-1.0,3,5,20,8,3,64800,43200,21600,1728000.0,5400.0,820800,43200.0,864000.0,138240,16.875,21600,345600,43200,410400,27.0,3816.0000000000005,54.0,864.0,135.0,135.0,108000.0,756000.0,108000.0,864000.0,864000.0,189.0,0.2571428571428572,1728000.0,1900.0,50.0,800.0,100.0,950.0,8.833333333333334,1200.0,800.0,0.0625,400.0,0.125,2.0
120x120x60w20-24-30,120,120,60,20,24,30,20-24-30,000,5760,28800,24,384,5760,85888,20,30,480,11520,3840,4800,480,6,5,2,0,60,2,3,30,8,2,-1.0,3,3,30,8,3,79200,28800,36000,1728000.0,3600.0,835200,28800.0,864000.0,230400,7.5,36000,345600,28800,410400,49.99999999999999,6600.0,40.00000000000001,384.0,60.0,60.0,108000.0,756000.0,108000.0,864000.0,864000.0,210.0,0.31746031746031744,1728000.0,1740.0,75.0,720.0,60.0,855.0,13.75,1320.0,480.0,0.10416666666666666,600.0,0.08333333333333334,0.8
120x120x60w40-24-15,120,120,60,40,24,15,40-24-15,000,2880,30720,24,960,2880,83968,40,15,600,5760,7680,4800,480,3,5,4,0,60,5,3,15,8,5,0.5,6,3,15,8,6,57600,57600,36000,1728000.0,7200.0,806400,57600.0,864000.0,115200,30.0,36000,172800,57600,266400,100.0,1740.0,160.0,768.0,240.0,240.0,108000.0,756000.0,108000.0,864000.0,864000.0,210.0,0.3047619047619048,1728000.0,1680.0,75.0,360.0,120.0,555.0,3.625,960.0,960.0,0.20833333333333334,600.0,0.3333333333333333,1.6
120x120x60w24-40-15,120,120,60,24,40,15,24-40-15,000,4800,30720,40,960,4800,83968,24,15,360,9600,7680,2880,480,5,3,4,0,60,3,5,15,8,3,0.5,4,5,15,8,4,57600,57600,21600,1728000.0,7200.0,806400,57600.0,864000.0,115200,30.0,21600,288000,57600,367200,36.0,2580.0,96.0,1280.0,240.0,240.0,108000.0,756000.0,108000.0,864000.0,864000.0,210.0,0.3047619047619048,1728000.0,1680.0,45.0,600.0,120.0,765.0,5.375,960.0,960.0,0.075,360.0,0.2,2.6666666666666665
120x120x60w30-24-20,120,120,60,30,24,20,30-24-20,000,3840,28800,24,576,3840,85888,30,20,480,7680,5760,4800,480,4,5,3,0,60,3,3,20,8,3,-1.0,4,3,20,8,4,64800,43200,36000,1728000.0,5400.0,820800,43200.0,864000.0,153600,16.875,36000,230400,43200,309600,75.0,3000.0,90.00000000000001,576.0,135.0,135.0,108000.0,756000.0,108000.0,864000.0,864000.0,210.0,0.3095238095238096,1728000.0,1710.0,75.0,480.0,90.0,645.0,6.25,1080.0,720.0,0.15625,600.0,0.18750000000000003,1.2
120x120x60w15-40-20,120,120,60,15,40,20,15-40-20,000,6400,27200,40,320,6400,87488,15,20,160,12800,4800,2400,576,8,3,3,0,72,1,5,20,8,1,-1.0,2,5,20,8,2,79200,43200,21600,1728000.0,5400.0,820800,43200.0,864000.0,184320,16.875,21600,460800,43200,525600,27.000000000000004,6768.0,54.00000000000001,1152.0,135.0,135.0,108000.0,756000.0,108000.0,864000.0,864000.0,252.0,0.46285714285714286,1728000.0,1425.0,37.5,800.0,75.0,912.5,11.75,1100.0,600.0,0.04687500000000001,300.0,0.09375000000000001,2.0
120x120x60w20-40-15,120,120,60,20,40,15,20-40-15,000,4800,27200,40,640,4800,87488,20,15,240,9600,6400,2400,576,6,3,4,0,72,2,5,15,8,2,-1.0,3,5,15,8,3,64800,57600,21600,1728000.0,7200.0,806400,57600.0,864000.0,138240,29.999999999999996,21600,345600,57600,424800,36.0,3816.0,96.00000000000001,1536.0,240.0,239.99999999999997,108000.0,756000.0,108000.0,864000.0,864000.0,252.0,0.45714285714285713,1728000.0,1400.0,37.5,600.0,100.0,737.5,6.625,900.0,800.0,0.0625,300.0,0.16666666666666669,2.6666666666666665
120x120x60w24-40-12,120,120,60,24,40,12,24-40-12,000,3840,27648,40,960,3840,87040,24,12,288,7680,7680,2304,600,5,3,5,0,75,3,5,12,8,3,0.625,4,5,12,8,4,57600,72000,21600,1728000.0,9000.0,792000,72000.0,864000.0,115200,46.875,21600,288000,72000,381600,45.0,2580.0,150.0,2000.0,375.0,375.0,108000.0,756000.0,108000.0,864000.0,864000.0,262.5,0.47619047619047616,1728000.0,1320.0,36.0,480.0,120.0,636.0,4.3,768.0,960.0,0.075,288.0,0.25,3.3333333333333335
120x120x60w40-24-12,120,120,60,40,24,12,40-24-12,000,2304,27648,24,960,2304,87040,40,12,480,4608,7680,3840,600,3,5,5,0,75,5,3,12,8,5,0.625,6,3,12,8,6,57600,72000,36000,1728000.0,9000.0,792000,72000.0,864000.0,115200,46.875,36000,172800,72000,280800,125.0,1740.0,250.0,1200.0,375.0,375.0,108000.0,756000.0,108000.0,864000.0,864000.0,262.5,0.47619047619047616,1728000.0,1320.0,60.0,288.0,120.0,468.0,2.9,768.0,960.0,0.20833333333333334,480.0,0.4166666666666667,2.0
120x120x60w24-24-20,120,120,60,24,24,20,24-24-20,000,3840,24576,24,576,3840,90112,24,20,480,7680,4608,3840,600,5,5,3,0,75,3,3,20,8,3,0.225,4,3,20,8,4,72000,43200,36000,1728000.0,5400.0,820800,43200.0,864000.0,192000,16.875,36000,288000,43200,367200,75.0,4500.0,90.0,720.0,135.0,135.0,108000.0,756000.0,108000.0,864000.0,864000.0,262.5,0.47619047619047616,1728000.0,1368.0,60.0,480.0,72.0,612.0,7.5,960.0,576.0,0.125,480.0,0.15,1.2
120x120x60w30-24-15,120,120,60,30,24,15,30-24-15,000,2880,24480,24,576,2880,90208,30,15,360,5760,5760,3600,640,4,5,4,0,80,3,3,15,8,3,-1.0,4,3,15,8,4,64800,57600,36000,1728000.0,7200.0,806400,57600.0,864000.0,153600,30.000000000000004,36000,230400,57600,324000,100.0,3000.0,160.0,1024.0,240.0,240.00000000000003,108000.0,756000.0,108000.0,864000.0,864000.0,280.0,0.5502645502645503,1728000.0,1260.0,56.25,360.0,90.0,506.25,4.6875,810.0,720.0,0.15625,450.0,0.25,1.6
120x120x60w15-24-30,120,120,60,15,24,30,15-24-30,000,5760,24480,24,192,5760,90208,15,30,240,11520,2880,3600,640,8,5,2,0,80,1,3,30,8,1,-1.0,2,3,30,8,2,93600,28800,36000,1728000.0,3600.0,835200,28800.0,864000.0,307200,7.500000000000001,36000,460800,28800,525600,49.99999999999999,11600.0,40.0,512.0,60.0,60.00000000000001,108000.0,756000.0,108000.0,864000.0,864000.0,280.0,0.5714285714285715,1728000.0,1305.0,56.25,720.0,45.0,821.25,18.125,1170.0,360.0,0.07812499999999999,450.0,0.0625,0.8
120x120x60w24-40-10,120,120,60,24,40,10,24-40-10,000,3200,25600,40,960,3200,89088,24,10,240,6400,7680,1920,720,5,3,6,0,90,3,5,10,8,3,0.75,4,5,10,8,4,57600,86400,21600,1728000.0,10800.0,777600,86400.0,864000.0,115200,67.5,21600,288000,86400,396000,54.0,2580.0,216.0,2880.0,540.0,540.0,108000.0,756000.0,108000.0,864000.0,864000.0,315.0,0.6857142857142857,1728000.0,1080.0,30.0,400.0,120.0,550.0,3.5833333333333335,640.0,960.0,0.075,240.0,0.3,4.0
120x120x60w20-24-20,120,120,60,20,24,20,20-24-20,000,3840,21760,24,384,3840,92928,20,20,320,7680,3840,3200,720,6,5,3,0,90,2,3,20,8,2,-1.0,3,3,20,8,3,79200,43200,36000,1728000.0,5400.0,820800,43200.0,864000.0,230400,16.875,36000,345600,43200,424800,75.0,6600.000000000001,90.0,864.0,135.0,135.0,108000.0,756000.0,108000.0,864000.0,864000.0,315.0,0.7142857142857142,1728000.0,1140.0,50.0,480.0,60.0,590.0,9.166666666666668,880.0,480.0,0.10416666666666667,400.0,0.125,1.2
120x120x60w12-40-20,120,120,60,12,40,20,12-40-20,000,6400,24320,40,320,6400,90368,12,20,160,12800,3840,1920,720,10,3,3,0,90,1,5,20,8,1,-1.0,2,5,20,8,2,93600,43200,21600,1728000.0,5400.0,820800,43200.0,864000.0,230400,16.875,21600,576000,43200,640800,27.000000000000004,11160.0,54.00000000000001,1440.0,135.0,135.0,108000.0,756000.0,108000.0,864000.0,864000.0,315.0,0.7714285714285715,1728000.0,1140.0,30.0,800.0,60.0,890.0,15.5,1040.0,480.0,0.037500000000000006,240.0,0.07500000000000001,2.0
120x120x60w40-24-10,120,120,60,40,24,10,40-24-10,000,1920,25600,24,960,1920,89088,40,10,400,3840,7680,3200,720,3,5,6,0,90,5,3,10,8,5,0.75,6,3,10,8,6,57600,86400,36000,1728000.0,10800.0,777600,86400.0,864000.0,115200,67.5,36000,172800,86400,295200,150.0,1740.0,360.0,1728.0,540.0,540.0,108000.0,756000.0,108000.0,864000.0,864000.0,315.0,0.6857142857142857,1728000.0,1080.0,50.0,240.0,120.0,410.0,2.4166666666666665,640.0,960.0,0.20833333333333334,400.0,0.5,2.4
