FakeNN JSON Name,M,N,K,m,n,k,JSON Name,Reduction Dim,Weight Matrix Tile Size,m Dim,tileA_cc,tileC,Space Needed in L1,tileB_cc,Space Remaining,tileA,tileB,tileC_cc,remainderTiles,Row Dim,SSR Config Count,m_tiles,n_tiles,k_tiles,Regular Loads,Total CL Tiles,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,oldRegPerStream,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,L3 Loads,L3 Stores,A',SSR Loads,HW Loops,FMADDs,MULs,FMADDsMULs,SSR Loads per HW Loop,HW Loops / SSR Loads per HW Loop,A'',B',C'',CC Tile Size,A''/ B',(A''+ B') / C'',m'_sz / k_size,n'_sz / k_size,myRegPerStream,HW Loops / SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,A SSR Loads,Reused / Total SSR Loads,Core : A SSR Reuse Loads,Total SSR Loads,FMADDsPerCore,Avg A'',Avg B',Avg C'',Avg CC Tile Size,Avg (A''+ B') / C'',Avg L3 Loads,Avg L3 Stores,Avg A''/ B',Avg A',Avg m'_sz / k_size,Avg n'_sz / k_size
30x120x120w30-24-30,30,120,120,30,24,30,30-24-30,30,11520,30,720,5760,37440,5760,77248,7200,5760,576,000,24,160,1,5,4,0,20,3,3,30,8,3,-1,4,3,30,8,4,32400,14400,18000,864000.0,1800.0,417600,14400.0,432000.0,76800,3.7500000000000004,18000,115200,14400,147600,25.0,1500.0,20.0,128.0,30.0,30.000000000000004,54000.0,378000.0,54000.0,432000.0,432000.0,70.0,0.0687830687830688,864000.0,2610.0,112.5,720.0,90.0,922.5,9.375,1620.0,720.0,0.15625,900.0,0.125,0.8
30x120x120w30-24-24,30,120,120,30,24,24,30-24-24,24,9216,30,576,5760,32256,4608,82432,5760,4608,576,000,24,200,1,5,5,0,25,3,3,24,8,3,-1,4,3,24,8,4,32400,18000,18000,864000.0,2250.0,414000,18000.0,432000.0,76800,5.859375,18000,115200,18000,151200,31.25,1500.0,31.25,200.0,46.875,46.875,54000.0,378000.0,54000.0,432000.0,432000.0,87.5,0.10747354497354497,864000.0,2070.0,90.0,576.0,90.0,756.0,7.5,1296.0,720.0,0.15625,720.0,0.15625,1.0
30x120x120w15-24-40,30,120,120,15,24,40,15-24-40,40,15360,15,320,2880,30720,7680,83968,4800,7680,192,000,24,240,2,5,3,0,30,1,3,40,8,1,-1,2,3,40,8,2,46800,10800,18000,864000.0,1350.0,421200,10800.0,432000.0,153600,2.109375,18000,230400,10800,259200,18.749999999999996,5800.0,11.250000000000002,144.0,16.875,16.875,54000.0,378000.0,54000.0,432000.0,432000.0,105.0,0.16071428571428575,864000.0,1755.0,75.0,960.0,45.0,1080.0,24.166666666666668,1560.0,360.0,0.07812499999999999,600.0,0.04687500000000001,0.6
30x120x120w15-40-24,30,120,120,15,40,24,15-40-24,24,15360,15,192,4800,30720,7680,83968,2880,7680,320,000,40,240,2,3,5,0,30,1,5,24,8,1,-1,2,5,24,8,2,39600,18000,10800,864000.0,2250.0,414000,18000.0,432000.0,92160,5.859375000000001,10800,230400,18000,259200,11.250000000000002,3384.0000000000005,18.749999999999996,400.0,46.875,46.87500000000001,54000.0,378000.0,54000.0,432000.0,432000.0,105.0,0.16071428571428575,864000.0,1725.0,45.0,960.0,75.0,1080.0,14.100000000000001,1320.0,600.0,0.04687500000000001,360.0,0.07812499999999999,1.6666666666666667
30x120x120w30-24-20,30,120,120,30,24,20,30-24-20,20,7680,30,480,5760,28800,3840,85888,4800,3840,576,000,24,240,1,5,6,0,30,3,3,20,8,3,-1,4,3,20,8,4,32400,21600,18000,864000.0,2700.0,410400,21600.0,432000.0,76800,8.4375,18000,115200,21600,154800,37.5,1500.0,45.00000000000001,288.0,67.5,67.5,54000.0,378000.0,54000.0,432000.0,432000.0,105.0,0.1547619047619048,864000.0,1710.0,75.0,480.0,90.0,645.0,6.25,1080.0,720.0,0.15625,600.0,0.18750000000000003,1.2
30x120x120w15-40-20,30,120,120,15,40,20,15-40-20,20,12800,15,160,4800,27200,6400,87488,2400,6400,320,000,40,288,2,3,6,0,36,1,5,20,8,1,-1,2,5,20,8,2,39600,21600,10800,864000.0,2700.0,410400,21600.0,432000.0,92160,8.4375,10800,230400,21600,262800,13.500000000000002,3384.0,27.000000000000004,576.0,67.5,67.5,54000.0,378000.0,54000.0,432000.0,432000.0,126.0,0.23142857142857143,864000.0,1425.0,37.5,800.0,75.0,912.5,11.75,1100.0,600.0,0.04687500000000001,300.0,0.09375000000000001,2.0
30x120x120w15-24-30,30,120,120,15,24,30,15-24-30,30,11520,15,240,2880,24480,5760,90208,3600,5760,192,000,24,320,2,5,4,0,40,1,3,30,8,1,-1,2,3,30,8,2,46800,14400,18000,864000.0,1800.0,417600,14400.0,432000.0,153600,3.7500000000000004,18000,230400,14400,262800,24.999999999999996,5800.0,20.0,256.0,30.0,30.000000000000004,54000.0,378000.0,54000.0,432000.0,432000.0,140.0,0.28571428571428575,864000.0,1305.0,56.25,720.0,45.0,821.25,18.125,1170.0,360.0,0.07812499999999999,450.0,0.0625,0.8
30x120x120w30-24-15,30,120,120,30,24,15,30-24-15,15,5760,30,360,5760,24480,2880,90208,3600,2880,576,000,24,320,1,5,8,0,40,3,3,15,8,3,-1,4,3,15,8,4,32400,28800,18000,864000.0,3600.0,403200,28800.0,432000.0,76800,15.000000000000002,18000,115200,28800,162000,50.0,1500.0,80.0,512.0,120.0,120.00000000000001,54000.0,378000.0,54000.0,432000.0,432000.0,140.0,0.2751322751322752,864000.0,1260.0,56.25,360.0,90.0,506.25,4.6875,810.0,720.0,0.15625,450.0,0.25,1.6
30x120x120w10-40-24,30,120,120,10,40,24,10-40-24,24,15360,10,192,3200,25600,7680,89088,1920,7680,320,000,40,360,3,3,5,0,45,1,5,24,8,1,-1,2,5,24,8,2,54000,18000,10800,864000.0,2250.0,414000,18000.0,432000.0,138240,5.859375,10800,345600,18000,374400,11.25,7776.000000000001,18.75,600.0,46.875,46.875,54000.0,378000.0,54000.0,432000.0,432000.0,157.5,0.37500000000000006,864000.0,1150.0,30.0,960.0,50.0,1040.0,21.6,1200.0,400.0,0.03125,240.0,0.052083333333333336,1.6666666666666667
30x120x120w10-24-40,30,120,120,10,24,40,10-24-40,40,15360,10,320,1920,25600,7680,89088,3200,7680,192,000,24,360,3,5,3,0,45,1,3,40,8,1,-1,2,3,40,8,2,61200,10800,18000,864000.0,1350.0,421200,10800.0,432000.0,230400,2.109375,18000,345600,10800,374400,18.75,13200.0,11.25,216.0,16.875,16.875,54000.0,378000.0,54000.0,432000.0,432000.0,157.5,0.37500000000000006,864000.0,1170.0,50.0,960.0,30.0,1040.0,36.666666666666664,1360.0,240.0,0.052083333333333336,400.0,0.03125,0.6
