FakeNN JSON Name,M,N,K,m,n,k,JSON Name,tileB,Weight Matrix Tile Size,Row Dim,Reduction Dim,tileC,tileC_cc,Space Remaining,tileB_cc,m Dim,tileA_cc,remainderTiles,tileA,Space Needed in L1,SSR Config Count,m_tiles,n_tiles,k_tiles,Regular Loads,Total CL Tiles,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,oldRegPerStream,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,L3 Loads,L3 Stores,A',SSR Loads,HW Loops,FMADDs,MULs,FMADDsMULs,SSR Loads per HW Loop,HW Loops / SSR Loads per HW Loop,A'',B',C'',CC Tile Size,A''/ B',(A''+ B') / C'',m'_sz / k_size,n'_sz / k_size,myRegPerStream,HW Loops / SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,A SSR Loads,Reused / Total SSR Loads,Core : A SSR Reuse Loads,Total SSR Loads,FMADDsPerCore,Avg A'',Avg B',Avg C'',Avg CC Tile Size,Avg (A''+ B') / C'',Avg L3 Loads,Avg L3 Stores,Avg A''/ B',Avg A',Avg m'_sz / k_size,Avg n'_sz / k_size
60x120x120w30-24-30,60,120,120,30,24,30,30-24-30,5760,11520,24,30,5760,576,77248,5760,30,720,000,7200,37440,320,2,5,4,0,40,3,3,30,8,3,-1,4,3,30,8,4,64800,28800,36000,1728000.0,3600.0,835200,28800.0,864000.0,153600,7.500000000000001,36000,230400,28800,295200,50.0,3000.0,40.0,256.0,60.0,60.00000000000001,108000.0,756000.0,108000.0,864000.0,864000.0,140.0,0.1375661375661376,1728000.0,2610.0,112.5,720.0,90.0,922.5,9.375,1620.0,720.0,0.15625,900.0,0.125,0.8
60x120x120w20-24-40,60,120,120,20,24,40,20-24-40,7680,15360,24,40,3840,384,78848,7680,20,640,000,6400,35840,360,3,5,3,0,45,2,3,40,8,2,-1,3,3,40,8,3,79200,21600,36000,1728000.0,2700.0,842400,21600.0,864000.0,230400,4.21875,36000,345600,21600,403200,37.5,6600.000000000001,22.5,216.0,33.75,33.75,108000.0,756000.0,108000.0,864000.0,864000.0,157.5,0.17857142857142855,1728000.0,2340.0,100.0,960.0,60.0,1120.0,18.333333333333336,1760.0,480.0,0.10416666666666667,800.0,0.0625,0.6
60x120x120w20-40-24,60,120,120,20,40,24,20-40-24,7680,15360,40,24,6400,640,78848,7680,20,384,000,3840,35840,360,3,3,5,0,45,2,5,24,8,2,-1,3,5,24,8,3,64800,36000,21600,1728000.0,4500.0,828000,36000.0,864000.0,138240,11.71875,21600,345600,36000,403200,22.5,3816.0,37.5,600.0,93.75,93.75,108000.0,756000.0,108000.0,864000.0,864000.0,157.5,0.17857142857142855,1728000.0,2300.0,60.0,960.0,100.0,1120.0,10.6,1440.0,800.0,0.0625,480.0,0.10416666666666667,1.6666666666666667
60x120x120w30-24-24,60,120,120,30,24,24,30-24-24,4608,9216,24,24,5760,576,82432,4608,30,576,000,5760,32256,400,2,5,5,0,50,3,3,24,8,3,-1,4,3,24,8,4,64800,36000,36000,1728000.0,4500.0,828000,36000.0,864000.0,153600,11.71875,36000,230400,36000,302400,62.5,3000.0,62.5,400.0,93.75,93.75,108000.0,756000.0,108000.0,864000.0,864000.0,175.0,0.21494708994708994,1728000.0,2070.0,90.0,576.0,90.0,756.0,7.5,1296.0,720.0,0.15625,720.0,0.15625,1.0
60x120x120w20-40-20,60,120,120,20,40,20,20-40-20,6400,12800,40,20,6400,640,82688,6400,20,320,000,3200,32000,432,3,3,6,0,54,2,5,20,8,2,-1,3,5,20,8,3,64800,43200,21600,1728000.0,5400.0,820800,43200.0,864000.0,138240,16.875,21600,345600,43200,410400,27.0,3816.0000000000005,54.0,864.0,135.0,135.0,108000.0,756000.0,108000.0,864000.0,864000.0,189.0,0.2571428571428572,1728000.0,1900.0,50.0,800.0,100.0,950.0,8.833333333333334,1200.0,800.0,0.0625,400.0,0.125,2.0
60x120x120w15-40-24,60,120,120,15,40,24,15-40-24,7680,15360,40,24,4800,320,83968,7680,15,192,000,2880,30720,480,4,3,5,0,60,1,5,24,8,1,-1,2,5,24,8,2,79200,36000,21600,1728000.0,4500.0,828000,36000.0,864000.0,184320,11.718750000000002,21600,460800,36000,518400,22.500000000000004,6768.000000000001,37.49999999999999,800.0,93.75,93.75000000000001,108000.0,756000.0,108000.0,864000.0,864000.0,210.0,0.3214285714285715,1728000.0,1725.0,45.0,960.0,75.0,1080.0,14.100000000000001,1320.0,600.0,0.04687500000000001,360.0,0.07812499999999999,1.6666666666666667
60x120x120w30-24-20,60,120,120,30,24,20,30-24-20,3840,7680,24,20,5760,576,85888,3840,30,480,000,4800,28800,480,2,5,6,0,60,3,3,20,8,3,-1,4,3,20,8,4,64800,43200,36000,1728000.0,5400.0,820800,43200.0,864000.0,153600,16.875,36000,230400,43200,309600,75.0,3000.0,90.00000000000001,576.0,135.0,135.0,108000.0,756000.0,108000.0,864000.0,864000.0,210.0,0.3095238095238096,1728000.0,1710.0,75.0,480.0,90.0,645.0,6.25,1080.0,720.0,0.15625,600.0,0.18750000000000003,1.2
60x120x120w20-24-30,60,120,120,20,24,30,20-24-30,5760,11520,24,30,3840,384,85888,5760,20,480,000,4800,28800,480,3,5,4,0,60,2,3,30,8,2,-1,3,3,30,8,3,79200,28800,36000,1728000.0,3600.0,835200,28800.0,864000.0,230400,7.5,36000,345600,28800,410400,49.99999999999999,6600.0,40.00000000000001,384.0,60.0,60.0,108000.0,756000.0,108000.0,864000.0,864000.0,210.0,0.31746031746031744,1728000.0,1740.0,75.0,720.0,60.0,855.0,13.75,1320.0,480.0,0.10416666666666666,600.0,0.08333333333333334,0.8
60x120x120w15-24-40,60,120,120,15,24,40,15-24-40,7680,15360,24,40,2880,192,83968,7680,15,320,000,4800,30720,480,4,5,3,0,60,1,3,40,8,1,-1,2,3,40,8,2,93600,21600,36000,1728000.0,2700.0,842400,21600.0,864000.0,307200,4.21875,36000,460800,21600,518400,37.49999999999999,11600.0,22.500000000000004,288.0,33.75,33.75,108000.0,756000.0,108000.0,864000.0,864000.0,210.0,0.3214285714285715,1728000.0,1755.0,75.0,960.0,45.0,1080.0,24.166666666666668,1560.0,360.0,0.07812499999999999,600.0,0.04687500000000001,0.6
60x120x120w15-40-20,60,120,120,15,40,20,15-40-20,6400,12800,40,20,4800,320,87488,6400,15,160,000,2400,27200,576,4,3,6,0,72,1,5,20,8,1,-1,2,5,20,8,2,79200,43200,21600,1728000.0,5400.0,820800,43200.0,864000.0,184320,16.875,21600,460800,43200,525600,27.000000000000004,6768.0,54.00000000000001,1152.0,135.0,135.0,108000.0,756000.0,108000.0,864000.0,864000.0,252.0,0.46285714285714286,1728000.0,1425.0,37.5,800.0,75.0,912.5,11.75,1100.0,600.0,0.04687500000000001,300.0,0.09375000000000001,2.0
60x120x120w20-40-15,60,120,120,20,40,15,20-40-15,4800,9600,40,15,6400,640,87488,4800,20,240,000,2400,27200,576,3,3,8,0,72,2,5,15,8,2,-1,3,5,15,8,3,64800,57600,21600,1728000.0,7200.0,806400,57600.0,864000.0,138240,29.999999999999996,21600,345600,57600,424800,36.0,3816.0,96.00000000000001,1536.0,240.0,239.99999999999997,108000.0,756000.0,108000.0,864000.0,864000.0,252.0,0.45714285714285713,1728000.0,1400.0,37.5,600.0,100.0,737.5,6.625,900.0,800.0,0.0625,300.0,0.16666666666666669,2.6666666666666665
60x120x120w12-24-40,60,120,120,12,24,40,12-24-40,7680,15360,24,40,2304,192,87040,7680,12,320,000,3840,27648,600,5,5,3,0,75,1,3,40,8,1,-1,2,3,40,8,2,108000,21600,36000,1728000.0,2700.0,842400,21600.0,864000.0,384000,4.21875,36000,576000,21600,633600,37.5,19000.0,22.500000000000004,360.0,33.75,33.75,108000.0,756000.0,108000.0,864000.0,864000.0,262.5,0.5357142857142858,1728000.0,1404.0,60.0,960.0,36.0,1056.0,31.666666666666668,1440.0,288.0,0.0625,480.0,0.037500000000000006,0.6
60x120x120w20-24-24,60,120,120,20,24,24,20-24-24,4608,9216,24,24,3840,384,90112,4608,20,384,000,3840,24576,600,3,5,5,0,75,2,3,24,8,2,-1,3,3,24,8,3,79200,36000,36000,1728000.0,4500.0,828000,36000.0,864000.0,230400,11.71875,36000,345600,36000,417600,62.49999999999999,6600.0,62.49999999999999,600.0,93.75,93.75,108000.0,756000.0,108000.0,864000.0,864000.0,262.5,0.496031746031746,1728000.0,1380.0,60.0,576.0,60.0,696.0,11.0,1056.0,480.0,0.10416666666666666,480.0,0.10416666666666666,1.0
60x120x120w12-40-24,60,120,120,12,40,24,12-40-24,7680,15360,40,24,3840,320,87040,7680,12,192,000,2304,27648,600,5,3,5,0,75,1,5,24,8,1,-1,2,5,24,8,2,93600,36000,21600,1728000.0,4500.0,828000,36000.0,864000.0,230400,11.71875,21600,576000,36000,633600,22.500000000000004,11160.0,37.5,1000.0,93.75,93.75,108000.0,756000.0,108000.0,864000.0,864000.0,262.5,0.5357142857142858,1728000.0,1380.0,36.0,960.0,60.0,1056.0,18.6,1248.0,480.0,0.037500000000000006,288.0,0.0625,1.6666666666666667
60x120x120w15-24-30,60,120,120,15,24,30,15-24-30,5760,11520,24,30,2880,192,90208,5760,15,240,000,3600,24480,640,4,5,4,0,80,1,3,30,8,1,-1,2,3,30,8,2,93600,28800,36000,1728000.0,3600.0,835200,28800.0,864000.0,307200,7.500000000000001,36000,460800,28800,525600,49.99999999999999,11600.0,40.0,512.0,60.0,60.00000000000001,108000.0,756000.0,108000.0,864000.0,864000.0,280.0,0.5714285714285715,1728000.0,1305.0,56.25,720.0,45.0,821.25,18.125,1170.0,360.0,0.07812499999999999,450.0,0.0625,0.8
