FakeNN JSON Name,M,N,K,m,n,k,JSON Name,Reduction Dim,Row Dim,tileA,tileC,m Dim,tileA_cc,Weight Matrix Tile Size,tileB_cc,Space Remaining,tileB,tileC_cc,Space Needed in L1,remainderTiles,SSR Config Count,m_tiles,n_tiles,k_tiles,Regular Loads,Total CL Tiles,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,oldRegPerStream,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,L3 Loads,L3 Stores,A',SSR Loads,HW Loops,FMADDs,MULs,FMADDsMULs,SSR Loads per HW Loop,HW Loops / SSR Loads per HW Loop,A'',B',C'',CC Tile Size,A''/ B',(A''+ B') / C'',m'_sz / k_size,n'_sz / k_size,myRegPerStream,HW Loops / SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,A SSR Loads,Reused / Total SSR Loads,Core : A SSR Reuse Loads,Total SSR Loads,FMADDsPerCore,Avg A'',Avg B',Avg C'',Avg CC Tile Size,Avg (A''+ B') / C'',Avg L3 Loads,Avg L3 Stores,Avg A''/ B',Avg A',Avg m'_sz / k_size,Avg n'_sz / k_size
64x128x128w32-32-32,64,128,128,32,32,32,32-32-32,32,32,8192,8192,32,1024,16384,8192,65536,8192,1024,49152,000,256,2,4,4,0,32,4,4,32,8,4,0.25,5,4,32,8,5,65536,32768,32768,2097152.0,4096.0,1015808,32768.0,1048576.0,131072,8.0,32768,262144,32768,327680,32.0,2304.0,32.0,256.0,64.0,64.0,131072.0,917504.0,131072.0,1048576.0,1048576.0,112.0,0.07142857142857142,2097152.0,3968.0,128.0,1024.0,128.0,1280.0,9.0,2048.0,1024.0,0.125,1024.0,0.125,1.0
64x128x128w16-64-16,64,128,128,16,64,16,16-64-16,16,64,2048,8192,16,256,16384,8192,77824,8192,1024,36864,000,512,4,2,8,0,64,2,8,16,8,2,0.5,3,8,16,8,3,81920,65536,16384,2097152.0,8192.0,983040,65536.0,1048576.0,131072,32.0,16384,524288,65536,606208,16.0,4224.0,64.0,2048.0,256.0,256.0,131072.0,917504.0,131072.0,1048576.0,1048576.0,224.0,0.2857142857142857,2097152.0,1920.0,32.0,1024.0,128.0,1184.0,8.25,1280.0,1024.0,0.03125,256.0,0.125,4.0
64x128x128w16-32-32,64,128,128,16,32,32,16-32-32,32,32,4096,4096,16,512,16384,8192,81920,8192,512,32768,000,512,4,4,4,0,64,2,4,32,8,2,0.125,3,4,32,8,3,98304,32768,32768,2097152.0,4096.0,1015808,32768.0,1048576.0,262144,8.0,32768,524288,32768,589824,32.0,8704.0,32.0,512.0,64.0,64.0,131072.0,917504.0,131072.0,1048576.0,1048576.0,224.0,0.2857142857142857,2097152.0,1984.0,64.0,1024.0,64.0,1152.0,17.0,1536.0,512.0,0.0625,512.0,0.0625,1.0
64x128x128w16-16-64,64,128,128,16,16,64,16-16-64,64,16,8192,2048,16,1024,16384,8192,77824,8192,256,36864,000,512,4,8,2,0,64,2,2,64,8,2,0.03125,3,2,64,8,3,131072,16384,65536,2097152.0,2048.0,1032192,16384.0,1048576.0,524288,2.0,65536,524288,16384,606208,64.0,18432.0,16.0,128.0,16.0,16.0,131072.0,917504.0,131072.0,1048576.0,1048576.0,224.0,0.2857142857142857,2097152.0,2016.0,128.0,1024.0,32.0,1184.0,36.0,2048.0,256.0,0.125,1024.0,0.03125,0.25
64x128x128w32-32-16,64,128,128,32,32,16,32-32-16,16,32,4096,8192,32,512,8192,4096,81920,4096,1024,32768,000,512,2,4,8,0,64,4,4,16,8,4,0.5,5,4,16,8,5,65536,65536,32768,2097152.0,8192.0,983040,65536.0,1048576.0,131072,32.0,32768,262144,65536,360448,64.0,2304.0,128.0,1024.0,256.0,256.0,131072.0,917504.0,131072.0,1048576.0,1048576.0,224.0,0.2857142857142857,2097152.0,1920.0,64.0,512.0,128.0,704.0,4.5,1024.0,1024.0,0.125,512.0,0.25,2.0
64x128x128w32-16-32,64,128,128,32,16,32,32-16-32,32,16,8192,4096,32,1024,8192,4096,81920,4096,512,32768,000,512,2,8,4,0,64,4,2,32,8,4,0.125,5,2,32,8,5,98304,32768,65536,2097152.0,4096.0,1015808,32768.0,1048576.0,262144,8.0,65536,262144,32768,360448,128.0,5120.0,64.0,256.0,64.0,64.0,131072.0,917504.0,131072.0,1048576.0,1048576.0,224.0,0.2857142857142857,2097152.0,1984.0,128.0,512.0,64.0,704.0,10.0,1536.0,512.0,0.25,1024.0,0.125,0.5
64x128x128w64-16-16,64,128,128,64,16,16,64-16-16,16,16,8192,8192,64,1024,4096,2048,77824,2048,1024,36864,000,512,1,8,8,0,64,8,2,16,8,8,0.5,9,2,16,8,9,81920,65536,65536,2097152.0,8192.0,983040,65536.0,1048576.0,131072,32.0,65536,131072,65536,262144,256.0,1536.0,256.0,512.0,256.0,256.0,131072.0,917504.0,131072.0,1048576.0,1048576.0,224.0,0.2857142857142857,2097152.0,1920.0,128.0,256.0,128.0,512.0,3.0,1280.0,1024.0,0.5,1024.0,0.5,1.0
64x128x128w8-32-32,64,128,128,8,32,32,8-32-32,32,32,2048,2048,8,256,16384,8192,90112,8192,256,24576,000,1024,8,4,4,0,128,1,4,32,8,1,0.0625,2,4,32,8,2,163840,32768,32768,2097152.0,4096.0,1015808,32768.0,1048576.0,524288,8.0,32768,1048576,32768,1114112,32.0,33792.0,32.0,1024.0,64.0,64.0,131072.0,917504.0,131072.0,1048576.0,1048576.0,448.0,1.1428571428571428,2097152.0,992.0,32.0,1024.0,32.0,1088.0,33.0,1280.0,256.0,0.03125,256.0,0.03125,1.0
64x128x128w16-64-8,64,128,128,16,64,8,16-64-8,8,64,1024,8192,16,128,8192,4096,88064,4096,1024,26624,000,1024,4,2,16,0,128,2,8,8,8,2,1.0,3,8,8,8,3,81920,131072,16384,2097152.0,16384.0,917504,131072.0,1048576.0,131072,128.0,16384,524288,131072,671744,32.0,4224.0,256.0,8192.0,1024.0,1024.0,131072.0,917504.0,131072.0,1048576.0,1048576.0,448.0,1.1428571428571428,2097152.0,896.0,16.0,512.0,128.0,656.0,4.125,640.0,1024.0,0.03125,128.0,0.25,8.0
64x128x128w16-32-16,64,128,128,16,32,16,16-32-16,16,32,2048,4096,16,256,8192,4096,94208,4096,512,20480,000,1024,4,4,8,0,128,2,4,16,8,2,0.25,3,4,16,8,3,98304,65536,32768,2097152.0,8192.0,983040,65536.0,1048576.0,262144,32.0,32768,524288,65536,622592,64.0,8704.0,128.0,2048.0,256.0,256.0,131072.0,917504.0,131072.0,1048576.0,1048576.0,448.0,1.1428571428571428,2097152.0,960.0,32.0,512.0,64.0,608.0,8.5,768.0,512.0,0.0625,256.0,0.125,2.0
64x128x128w16-8-64,64,128,128,16,8,64,16-8-64,64,8,8192,1024,16,1024,8192,4096,88064,4096,128,26624,000,1024,4,16,2,0,128,2,1,64,8,2,0.015625,3,1,64,8,3,196608,16384,131072,2097152.0,2048.0,1032192,16384.0,1048576.0,1048576,2.0,131072,524288,16384,671744,256.0,40960.0,32.0,128.0,16.0,16.0,131072.0,917504.0,131072.0,1048576.0,1048576.0,448.0,1.1428571428571428,2097152.0,1008.0,128.0,512.0,16.0,656.0,40.0,1536.0,128.0,0.25,1024.0,0.03125,0.125
64x128x128w8-8-128,64,128,128,8,8,128,8-8-128,128,8,8192,512,8,1024,16384,8192,80896,8192,64,33792,000,1024,8,16,1,0,128,1,1,128,8,1,0.00390625,2,1,128,8,2,262144,8192,131072,2097152.0,1024.0,1040384,8192.0,1048576.0,2097152,0.5,131072,1048576,8192,1187840,128.0,147456.0,8.0,64.0,4.0,4.0,131072.0,917504.0,131072.0,1048576.0,1048576.0,448.0,1.1428571428571428,2097152.0,1016.0,128.0,1024.0,8.0,1160.0,144.0,2048.0,64.0,0.125,1024.0,0.0078125,0.0625
64x128x128w8-16-64,64,128,128,8,16,64,8-16-64,64,16,4096,1024,8,512,16384,8192,88064,8192,128,26624,000,1024,8,8,2,0,128,1,2,64,8,1,0.015625,2,2,64,8,2,196608,16384,65536,2097152.0,2048.0,1032192,16384.0,1048576.0,1048576,2.0,65536,1048576,16384,1130496,64.0,69632.0,16.0,256.0,16.0,16.0,131072.0,917504.0,131072.0,1048576.0,1048576.0,448.0,1.1428571428571428,2097152.0,1008.0,64.0,1024.0,16.0,1104.0,68.0,1536.0,128.0,0.0625,512.0,0.015625,0.25
64x128x128w32-32-8,64,128,128,32,32,8,32-32-8,8,32,2048,8192,32,256,4096,2048,90112,2048,1024,24576,000,1024,2,4,16,0,128,4,4,8,8,4,1.0,5,4,8,8,5,65536,131072,32768,2097152.0,16384.0,917504,131072.0,1048576.0,131072,128.0,32768,262144,131072,425984,128.0,2304.0,512.0,4096.0,1024.0,1024.0,131072.0,917504.0,131072.0,1048576.0,1048576.0,448.0,1.1428571428571428,2097152.0,896.0,32.0,256.0,128.0,416.0,2.25,512.0,1024.0,0.125,256.0,0.5,4.0
64x128x128w8-128-8,64,128,128,8,128,8,8-128-8,8,128,512,8192,8,64,16384,8192,80896,8192,1024,33792,000,1024,8,1,16,0,128,1,16,8,8,1,1.0,2,16,8,8,2,139264,131072,8192,2097152.0,16384.0,917504,131072.0,1048576.0,131072,128.0,8192,1048576,131072,1187840,8.0,8256.0,128.0,16384.0,1024.0,1024.0,131072.0,917504.0,131072.0,1048576.0,1048576.0,448.0,1.1428571428571428,2097152.0,896.0,8.0,1024.0,128.0,1160.0,8.0625,1088.0,1024.0,0.0078125,64.0,0.125,16.0
64x128x128w8-64-16,64,128,128,8,64,16,8-64-16,16,64,1024,4096,8,128,16384,8192,88064,8192,512,26624,000,1024,8,2,8,0,128,1,8,16,8,1,0.25,2,8,16,8,2,147456,65536,16384,2097152.0,8192.0,983040,65536.0,1048576.0,262144,32.0,16384,1048576,65536,1130496,16.0,16640.0,64.0,4096.0,256.0,256.0,131072.0,917504.0,131072.0,1048576.0,1048576.0,448.0,1.1428571428571428,2097152.0,960.0,16.0,1024.0,64.0,1104.0,16.25,1152.0,512.0,0.015625,128.0,0.0625,4.0
64x128x128w32-8-32,64,128,128,32,8,32,32-8-32,32,8,8192,2048,32,1024,4096,2048,90112,2048,256,24576,000,1024,2,16,4,0,128,4,1,32,8,4,0.0625,5,1,32,8,5,163840,32768,131072,2097152.0,4096.0,1015808,32768.0,1048576.0,524288,8.0,131072,262144,32768,425984,512.0,12288.0,128.0,256.0,64.0,64.0,131072.0,917504.0,131072.0,1048576.0,1048576.0,448.0,1.1428571428571428,2097152.0,992.0,128.0,256.0,32.0,416.0,12.0,1280.0,256.0,0.5,1024.0,0.125,0.25
64x128x128w64-8-16,64,128,128,64,8,16,64-8-16,16,8,8192,4096,64,1024,2048,1024,88064,1024,512,26624,000,1024,1,16,8,0,128,8,1,16,8,8,0.25,9,1,16,8,9,147456,65536,131072,2097152.0,8192.0,983040,65536.0,1048576.0,262144,32.0,131072,131072,65536,327680,1024.0,4096.0,512.0,512.0,256.0,256.0,131072.0,917504.0,131072.0,1048576.0,1048576.0,448.0,1.1428571428571428,2097152.0,960.0,128.0,128.0,64.0,320.0,4.0,1152.0,512.0,1.0,1024.0,0.5,0.5
64x128x128w32-16-16,64,128,128,32,16,16,32-16-16,16,16,4096,4096,32,512,4096,2048,94208,2048,512,20480,000,1024,2,8,8,0,128,4,2,16,8,4,0.25,5,2,16,8,5,98304,65536,65536,2097152.0,8192.0,983040,65536.0,1048576.0,262144,32.0,65536,262144,65536,393216,256.0,5120.0,256.0,1024.0,256.0,256.0,131072.0,917504.0,131072.0,1048576.0,1048576.0,448.0,1.1428571428571428,2097152.0,960.0,64.0,256.0,64.0,384.0,5.0,768.0,512.0,0.25,512.0,0.25,1.0
64x128x128w64-16-8,64,128,128,64,16,8,64-16-8,8,16,4096,8192,64,512,2048,1024,88064,1024,1024,26624,000,1024,1,8,16,0,128,8,2,8,8,8,1.0,9,2,8,8,9,81920,131072,65536,2097152.0,16384.0,917504,131072.0,1048576.0,131072,128.0,65536,131072,131072,327680,512.0,1536.0,1024.0,2048.0,1024.0,1024.0,131072.0,917504.0,131072.0,1048576.0,1048576.0,448.0,1.1428571428571428,2097152.0,896.0,64.0,128.0,128.0,320.0,1.5,640.0,1024.0,0.5,512.0,1.0,2.0
