FakeNN JSON Name,M,N,K,m,n,k,JSON Name,remainderTiles,Row Dim,m Dim,tileB,Weight Matrix Tile Size,tileC,Space Remaining,Space Needed in L1,tileA_cc,tileB_cc,Reduction Dim,tileA,tileC_cc,SSR Config Count,m_tiles,n_tiles,k_tiles,Regular Loads,Total CL Tiles,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,oldRegPerStream,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,L3 Loads,L3 Stores,A',SSR Loads,HW Loops,FMADDs,MULs,FMADDsMULs,SSR Loads per HW Loop,HW Loops / SSR Loads per HW Loop,A'',B',C'',CC Tile Size,A''/ B',(A''+ B') / C'',m'_sz / k_size,n'_sz / k_size,myRegPerStream,HW Loops / SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,A SSR Loads,Reused / Total SSR Loads,Core : A SSR Reuse Loads,Total SSR Loads,FMADDsPerCore,Avg A'',Avg B',Avg C'',Avg CC Tile Size,Avg (A''+ B') / C'',Avg L3 Loads,Avg L3 Stores,Avg A''/ B',Avg A',Avg m'_sz / k_size,Avg n'_sz / k_size
384x384x384w32-32-32,384,384,384,32,32,32,32-32-32,000,32,32,8192,16384,8192,65536,49152,1024,8192,32,8192,1024,13824,12,12,12,0,1728,4,4,32,8,4,0.25,5,4,32,8,5,3538944,1769472,1769472,113246208.0,221184.0,54853632,1769472.0,56623104.0,7077888,432.0,1769472,14155776,1769472,17694720,1728.0,124416.0,1728.0,13824.0,3456.0,3456.0,7077888.0,49545216.0,7077888.0,56623104.0,56623104.0,6048.0,3.8571428571428568,113246208.0,3968.0,128.0,1024.0,128.0,1280.0,9.0,2048.0,1024.0,0.125,1024.0,0.125,1.0
384x384x384w30-32-32,384,384,384,30,32,32,30-32-32,M00,32,30,8192,16384,7680,67584,47104,768,8192,32,7680,768,14976,13,12,12,0,1872,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,3686400,1769472,1769472,113246208.0,221184.0,54853632,1769472.0,56623104.0,7667712,432.0,1769472,15335424,1769472,18874368,1728.0,147072.0,1728.0,14976.0,3456.0,3456.0,7077888.0,49545216.0,7077888.0,56623104.0,56623104.0,6552.0,4.607142857142858,113246208.0,3662.769230769231,118.15384615384616,1024.0,118.15384615384616,1260.3076923076924,9.820512820512821,1969.2307692307693,945.2307692307693,0.11538461538461539,945.2307692307693,0.11538461538461539,1.0
384x384x384w32-32-30,384,384,384,32,32,30,32-32-30,00K,32,32,7680,15360,8192,67584,47104,960,7680,30,7680,1024,14976,12,12,13,0,1872,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,3538944,1916928,1769472,113246208.0,239616.0,54706176,1916928.0,56623104.0,7077888,508.8,1769472,14155776,1916928,17842176,1872.0,124416.0,2035.2,16281.6,4070.4,4070.4,7077888.0,49545216.0,7077888.0,56623104.0,56623104.0,6552.0,4.542857142857144,113246208.0,3652.923076923077,118.15384615384616,945.2307692307693,128.0,1191.3846153846155,8.307692307692308,1890.4615384615386,1024.0,0.125,945.2307692307693,0.13589743589743591,1.0871794871794873
384x384x384w32-32-31,384,384,384,32,32,31,32-32-31,00K,32,32,7936,15872,8192,66560,48128,992,7936,31,7936,1024,14976,12,12,13,0,1872,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,3538944,1916928,1769472,113246208.0,239616.0,54706176,1916928.0,56623104.0,7077888,541.9354838709678,1769472,14155776,1916928,17842176,1872.0,124416.0,2167.741935483871,17341.93548387097,4335.483870967742,4335.483870967742,7077888.0,49545216.0,7077888.0,56623104.0,56623104.0,6552.0,4.838709677419355,113246208.0,3652.923076923077,118.15384615384616,945.2307692307693,128.0,1191.3846153846155,8.307692307692308,1890.4615384615386,1024.0,0.125,945.2307692307693,0.1447477253928867,1.1579818031430935
384x384x384w31-32-32,384,384,384,31,32,32,31-32-32,M00,32,31,8192,16384,7936,66560,48128,768,8192,32,7936,768,14976,13,12,12,0,1872,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,3686400,1769472,1769472,113246208.0,221184.0,54853632,1769472.0,56623104.0,7667712,432.0,1769472,15335424,1769472,18874368,1728.0,157824.0,1728.0,14976.0,3456.0,3456.0,7077888.0,49545216.0,7077888.0,56623104.0,56623104.0,6552.0,4.982142857142858,113246208.0,3662.769230769231,118.15384615384616,1024.0,118.15384615384616,1260.3076923076924,10.538461538461538,1969.2307692307693,945.2307692307693,0.11538461538461539,945.2307692307693,0.11538461538461539,1.0
384x384x384w29-32-32,384,384,384,29,32,32,29-32-32,M00,32,29,8192,16384,7424,68608,46080,768,8192,32,7424,768,15984,14,12,12,0,2016,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,3833856,1769472,1769472,113246208.0,221184.0,54853632,1769472.0,56623104.0,8183808,432.0,1769472,16367616,1769472,19906560,1728.0,183024.0,1728.0,15984.0,3448.125,3456.0,7077888.0,49545216.0,7077888.0,56623104.0,56623104.0,6993.0,5.825892857142857,113246208.0,3431.7837837837837,110.70270270270271,1024.0,110.70270270270271,1245.4054054054054,11.45045045045045,1901.7142857142858,877.7142857142857,0.10810810810810811,877.7142857142857,0.10810810810810811,1.0
384x384x384w32-32-28,384,384,384,32,32,28,32-32-28,00K,32,32,7168,14336,8192,69632,45056,896,7168,28,7168,1024,16128,12,12,14,0,2016,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,3538944,2064384,1769472,113246208.0,258048.0,54558720,2064384.0,56623104.0,7077888,592.4571428571428,1769472,14155776,2064384,17989632,2016.0,124416.0,2369.828571428571,18958.62857142857,4739.657142857142,4739.657142857142,7077888.0,49545216.0,7077888.0,56623104.0,56623104.0,7056.0,5.289795918367346,113246208.0,3382.8571428571427,109.71428571428571,877.7142857142857,128.0,1115.4285714285713,7.714285714285714,1755.4285714285713,1024.0,0.125,877.7142857142857,0.14693877551020407,1.1755102040816325
384x384x384w28-32-32,384,384,384,28,32,32,28-32-32,M00,32,28,8192,16384,7168,69632,45056,768,8192,32,7168,768,16128,14,12,12,0,2016,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,3833856,1769472,1769472,113246208.0,221184.0,54853632,1769472.0,56623104.0,8257536,432.0,1769472,16515072,1769472,20054016,1728.0,171263.99999999997,1728.0,16128.0,3456.0,3456.0,7077888.0,49545216.0,7077888.0,56623104.0,56623104.0,7056.0,5.410714285714286,113246208.0,3401.1428571428573,109.71428571428571,1024.0,109.71428571428571,1243.4285714285713,10.619047619047617,1901.7142857142858,877.7142857142857,0.10714285714285714,877.7142857142857,0.10714285714285714,1.0
384x384x384w32-32-29,384,384,384,32,32,29,32-32-29,00K,32,32,7424,14848,8192,68608,46080,928,7424,29,7424,1024,16128,12,12,14,0,2016,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,3538944,2064384,1769472,113246208.0,258048.0,54558720,2064384.0,56623104.0,7077888,680.9852216748768,1769472,14155776,2064384,17989632,2016.0,124416.0,2723.9408866995072,21791.527093596058,5447.8817733990145,5447.8817733990145,7077888.0,49545216.0,7077888.0,56623104.0,56623104.0,7056.0,6.080225193525686,113246208.0,3382.8571428571427,109.71428571428571,877.7142857142857,128.0,1115.4285714285713,7.714285714285714,1755.4285714285713,1024.0,0.125,877.7142857142857,0.1688951442646024,1.3511611541168191
384x384x384w31-32-31,384,384,384,31,32,31,31-32-31,M0K,32,31,7936,15872,7936,67568,47120,744,7936,31,7688,768,16224,13,12,13,0,2028,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,3686400,1916928,1769472,113246208.0,239616.0,54706176,1916928.0,56623104.0,7667712,541.9354838709677,1769472,15335424,1916928,19021824,1872.0,157824.0,2167.7419354838707,18787.09677419355,4335.4838709677415,4335.4838709677415,7077888.0,49545216.0,7077888.0,56623104.0,56623104.0,7098.0,6.249999999999999,113246208.0,3371.9289940828403,109.06508875739645,945.2307692307693,118.15384615384616,1172.4497041420118,9.727810650887575,1817.7514792899408,945.2307692307693,0.11538461538461539,872.5207100591716,0.13361328497804922,1.1579818031430935
384x384x384w30-32-31,384,384,384,30,32,31,30-32-31,M0K,32,30,7936,15872,7680,68576,46112,744,7936,31,7440,768,16224,13,12,13,0,2028,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,3686400,1916928,1769472,113246208.0,239616.0,54706176,1916928.0,56623104.0,7667712,541.9354838709677,1769472,15335424,1916928,19021824,1872.0,147072.0,2167.7419354838707,18787.09677419355,4335.4838709677415,4335.4838709677415,7077888.0,49545216.0,7077888.0,56623104.0,56623104.0,7098.0,5.779569892473118,113246208.0,3371.9289940828403,109.06508875739645,945.2307692307693,118.15384615384616,1172.4497041420118,9.065088757396449,1817.7514792899408,945.2307692307693,0.11538461538461539,872.5207100591716,0.13361328497804922,1.1579818031430935
384x384x384w31-32-30,384,384,384,31,32,30,31-32-30,M0K,32,31,7680,15360,7936,68576,46112,720,7680,30,7440,768,16224,13,12,13,0,2028,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,3686400,1916928,1769472,113246208.0,239616.0,54706176,1916928.0,56623104.0,7667712,508.8,1769472,15335424,1916928,19021824,1872.0,157824.0,2035.2,17638.4,4070.4,4070.4,7077888.0,49545216.0,7077888.0,56623104.0,56623104.0,7098.0,5.867857142857143,113246208.0,3371.9289940828403,109.06508875739645,945.2307692307693,118.15384615384616,1172.4497041420118,9.727810650887575,1817.7514792899408,945.2307692307693,0.11538461538461539,872.5207100591716,0.12544378698224853,1.0871794871794873
