FakeNN JSON Name,M,N,K,m,n,k,JSON Name,remainderTiles,Reduction Dim,tileA,Row Dim,tileC,tileA_cc,tileB_cc,tileC_cc,Space Remaining,tileB,Space Needed in L1,Weight Matrix Tile Size,m Dim,SSR Config Count,m_tiles,n_tiles,k_tiles,Regular Loads,Total CL Tiles,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,oldRegPerStream,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,L3 Loads,L3 Stores,A',SSR Loads,HW Loops,FMADDs,MULs,FMADDsMULs,SSR Loads per HW Loop,HW Loops / SSR Loads per HW Loop,A'',B',C'',CC Tile Size,A''/ B',(A''+ B') / C'',m'_sz / k_size,n'_sz / k_size,myRegPerStream,HW Loops / SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,A SSR Loads,Reused / Total SSR Loads,Core : A SSR Reuse Loads,Total SSR Loads,FMADDsPerCore,Avg A'',Avg B',Avg C'',Avg CC Tile Size,Avg (A''+ B') / C'',Avg L3 Loads,Avg L3 Stores,Avg A''/ B',Avg A',Avg m'_sz / k_size,Avg n'_sz / k_size
128x128x128w32-32-32,128,128,128,32,32,32,32-32-32,000,32,8192,32,8192,1024,8192,1024,65536,8192,49152,16384,32,512,4,4,4,0,64,4,4,32,8,4,0.25,5,4,32,8,5,131072,65536,65536,4194304.0,8192.0,2031616,65536.0,2097152.0,262144,16.0,65536,524288,65536,655360,64.0,4608.0,64.0,512.0,128.0,128.0,262144.0,1835008.0,262144.0,2097152.0,2097152.0,224.0,0.14285714285714285,4194304.0,3968.0,128.0,1024.0,128.0,1280.0,9.0,2048.0,1024.0,0.125,1024.0,0.125,1.0
128x128x128w31-32-32,128,128,128,31,32,32,31-32-32,M00,32,7936,32,7936,768,8192,768,66560,8192,48128,16384,31,576,5,4,4,0,80,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,147456,65536,65536,4194304.0,8192.0,2031616,65536.0,2097152.0,294912,16.0,65536,589824,65536,720896,64.0,6890.666666666667,64.0,576.0,126.0,128.0,262144.0,1835008.0,262144.0,2097152.0,2097152.0,252.0,0.22023809523809523,4194304.0,3527.1111111111113,113.77777777777777,1024.0,113.77777777777777,1251.5555555555557,11.962962962962964,1843.2,819.2,0.1111111111111111,819.2,0.1111111111111111,1.0
128x128x128w32-32-29,128,128,128,32,32,29,32-32-29,00K,29,7424,32,8192,928,7424,1024,68608,7424,46080,14848,32,640,4,4,5,0,80,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,131072,81920,65536,4194304.0,10240.0,2015232,81920.0,2097152.0,262144,28.321839080459768,65536,524288,81920,671744,80.0,4608.0,113.28735632183907,906.2988505747126,226.57471264367814,226.57471264367814,262144.0,1835008.0,262144.0,2097152.0,2097152.0,280.0,0.25287356321839083,4194304.0,3148.8,102.4,819.2,128.0,1049.6,7.2,1638.4,1024.0,0.125,819.2,0.17701149425287355,1.4160919540229884
128x128x128w28-32-32,128,128,128,28,32,32,28-32-32,M00,32,7168,32,7168,768,8192,768,69632,8192,45056,16384,28,640,5,4,4,0,80,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,147456,65536,65536,4194304.0,8192.0,2031616,65536.0,2097152.0,327680,16.0,65536,655360,65536,786432,64.0,7466.666666666666,64.0,640.0,128.0,128.0,262144.0,1835008.0,262144.0,2097152.0,2097152.0,280.0,0.23809523809523808,4194304.0,3174.4,102.4,1024.0,102.4,1228.8,11.666666666666666,1843.2,819.2,0.1,819.2,0.1,1.0
128x128x128w32-32-26,128,128,128,32,32,26,32-32-26,00K,26,6656,32,8192,832,6656,1024,71680,6656,43008,13312,32,640,4,4,5,0,80,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,131072,81920,65536,4194304.0,10240.0,2015232,81920.0,2097152.0,262144,25.025641025641026,65536,524288,81920,671744,80.0,4608.0,100.1025641025641,800.8205128205128,200.2051282051282,200.2051282051282,262144.0,1835008.0,262144.0,2097152.0,2097152.0,280.0,0.22344322344322345,4194304.0,3148.8,102.4,819.2,128.0,1049.6,7.2,1638.4,1024.0,0.125,819.2,0.1564102564102564,1.2512820512820513
128x128x128w32-32-30,128,128,128,32,32,30,32-32-30,00K,30,7680,32,8192,960,7680,1024,67584,7680,47104,15360,32,640,4,4,5,0,80,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,131072,81920,65536,4194304.0,10240.0,2015232,81920.0,2097152.0,262144,33.06666666666666,65536,524288,81920,671744,80.0,4608.0,132.26666666666665,1058.1333333333332,264.5333333333333,264.5333333333333,262144.0,1835008.0,262144.0,2097152.0,2097152.0,280.0,0.29523809523809524,4194304.0,3148.8,102.4,819.2,128.0,1049.6,7.2,1638.4,1024.0,0.125,819.2,0.20666666666666664,1.653333333333333
128x128x128w30-32-32,128,128,128,30,32,32,30-32-32,M00,32,7680,32,7680,768,8192,768,67584,8192,47104,16384,30,640,5,4,4,0,80,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,147456,65536,65536,4194304.0,8192.0,2031616,65536.0,2097152.0,327680,16.0,65536,655360,65536,786432,64.0,9173.333333333332,64.0,640.0,128.0,128.0,262144.0,1835008.0,262144.0,2097152.0,2097152.0,280.0,0.2976190476190476,4194304.0,3174.4,102.4,1024.0,102.4,1228.8,14.333333333333332,1843.2,819.2,0.1,819.2,0.1,1.0
128x128x128w29-32-32,128,128,128,29,32,32,29-32-32,M00,32,7424,32,7424,768,8192,768,68608,8192,46080,16384,29,640,5,4,4,0,80,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,147456,65536,65536,4194304.0,8192.0,2031616,65536.0,2097152.0,327680,16.0,65536,655360,65536,786432,64.0,8320.0,64.0,640.0,128.0,128.0,262144.0,1835008.0,262144.0,2097152.0,2097152.0,280.0,0.26785714285714285,4194304.0,3174.4,102.4,1024.0,102.4,1228.8,13.0,1843.2,819.2,0.1,819.2,0.1,1.0
128x128x128w32-32-28,128,128,128,32,32,28,32-32-28,00K,28,7168,32,8192,896,7168,1024,69632,7168,45056,14336,32,640,4,4,5,0,80,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,131072,81920,65536,4194304.0,10240.0,2015232,81920.0,2097152.0,262144,26.285714285714285,65536,524288,81920,671744,80.0,4608.0,105.14285714285714,841.1428571428571,210.28571428571428,210.28571428571428,262144.0,1835008.0,262144.0,2097152.0,2097152.0,280.0,0.2346938775510204,4194304.0,3148.8,102.4,819.2,128.0,1049.6,7.2,1638.4,1024.0,0.125,819.2,0.16428571428571428,1.3142857142857143
128x128x128w32-32-31,128,128,128,32,32,31,32-32-31,00K,31,7936,32,8192,992,7936,1024,66560,7936,48128,15872,32,640,4,4,5,0,80,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,131072,81920,65536,4194304.0,10240.0,2015232,81920.0,2097152.0,262144,48.516129032258064,65536,524288,81920,671744,80.0,4608.0,194.06451612903226,1552.516129032258,388.1290322580645,388.1290322580645,262144.0,1835008.0,262144.0,2097152.0,2097152.0,280.0,0.43317972350230416,4194304.0,3148.8,102.4,819.2,128.0,1049.6,7.2,1638.4,1024.0,0.125,819.2,0.3032258064516129,2.425806451612903
