FakeNN JSON Name,M,N,K,m,n,k,JSON Name,remainderTiles,tileB,tileA_cc,m Dim,Space Needed in L1,tileC,tileB_cc,tileC_cc,Space Remaining,Reduction Dim,Row Dim,tileA,Weight Matrix Tile Size,SSR Config Count,m_tiles,n_tiles,k_tiles,Regular Loads,Total CL Tiles,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,oldRegPerStream,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,L3 Loads,L3 Stores,A',SSR Loads,HW Loops,FMADDs,MULs,FMADDsMULs,SSR Loads per HW Loop,HW Loops / SSR Loads per HW Loop,A'',B',C'',CC Tile Size,A''/ B',(A''+ B') / C'',m'_sz / k_size,n'_sz / k_size,myRegPerStream,HW Loops / SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,A SSR Loads,Reused / Total SSR Loads,Core : A SSR Reuse Loads,Total SSR Loads,FMADDsPerCore,Avg A'',Avg B',Avg C'',Avg CC Tile Size,Avg (A''+ B') / C'',Avg L3 Loads,Avg L3 Stores,Avg A''/ B',Avg A',Avg m'_sz / k_size,Avg n'_sz / k_size
192x384x384w32-32-32,192,384,384,32,32,32,32-32-32,000,8192,1024,32,49152,8192,8192,1024,65536,32,32,8192,16384,6912,6,12,12,0,864,4,4,32,8,4,0.25,5,4,32,8,5,1769472,884736,884736,56623104.0,110592.0,27426816,884736.0,28311552.0,3538944,216.0,884736,7077888,884736,8847360,864.0,62208.0,864.0,6912.0,1728.0,1728.0,3538944.0,24772608.0,3538944.0,28311552.0,28311552.0,3024.0,1.9285714285714284,56623104.0,3968.0,128.0,1024.0,128.0,1280.0,9.0,2048.0,1024.0,0.125,1024.0,0.125,1.0
192x384x384w32-32-30,192,384,384,32,32,30,32-32-30,00K,7680,960,32,47104,8192,7680,1024,67584,30,32,7680,15360,7488,6,12,13,0,936,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,1769472,958464,884736,56623104.0,119808.0,27353088,958464.0,28311552.0,3538944,254.4,884736,7077888,958464,8921088,936.0,62208.0,1017.6,8140.8,2035.2,2035.2,3538944.0,24772608.0,3538944.0,28311552.0,28311552.0,3276.0,2.271428571428572,56623104.0,3652.923076923077,118.15384615384616,945.2307692307693,128.0,1191.3846153846155,8.307692307692308,1890.4615384615386,1024.0,0.125,945.2307692307693,0.13589743589743591,1.0871794871794873
192x384x384w32-32-31,192,384,384,32,32,31,32-32-31,00K,7936,992,32,48128,8192,7936,1024,66560,31,32,7936,15872,7488,6,12,13,0,936,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,1769472,958464,884736,56623104.0,119808.0,27353088,958464.0,28311552.0,3538944,270.9677419354839,884736,7077888,958464,8921088,936.0,62208.0,1083.8709677419356,8670.967741935485,2167.741935483871,2167.741935483871,3538944.0,24772608.0,3538944.0,28311552.0,28311552.0,3276.0,2.4193548387096775,56623104.0,3652.923076923077,118.15384615384616,945.2307692307693,128.0,1191.3846153846155,8.307692307692308,1890.4615384615386,1024.0,0.125,945.2307692307693,0.1447477253928867,1.1579818031430935
192x384x384w31-32-32,192,384,384,31,32,32,31-32-32,M00,8192,768,31,48128,7936,8192,768,66560,32,32,7936,16384,7776,7,12,12,0,1008,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,1916928,884736,884736,56623104.0,110592.0,27426816,884736.0,28311552.0,3981312,216.0,884736,7962624,884736,9732096,864.0,93024.0,864.0,7776.0,1714.5,1728.0,3538944.0,24772608.0,3538944.0,28311552.0,28311552.0,3402.0,2.9732142857142856,56623104.0,3527.1111111111113,113.77777777777777,1024.0,113.77777777777777,1251.5555555555557,11.962962962962964,1901.7142857142858,877.7142857142857,0.1111111111111111,877.7142857142857,0.1111111111111111,1.0
192x384x384w29-32-32,192,384,384,29,32,32,29-32-32,M00,8192,768,29,46080,7424,8192,768,68608,32,32,7424,16384,8064,7,12,12,0,1008,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,1916928,884736,884736,56623104.0,110592.0,27426816,884736.0,28311552.0,4128768,216.0,884736,8257536,884736,10027008,864.0,87168.0,864.0,8064.0,1728.0,1728.0,3538944.0,24772608.0,3538944.0,28311552.0,28311552.0,3528.0,2.758928571428571,56623104.0,3401.1428571428573,109.71428571428571,1024.0,109.71428571428571,1243.4285714285713,10.80952380952381,1901.7142857142858,877.7142857142857,0.10714285714285714,877.7142857142857,0.10714285714285714,1.0
192x384x384w30-32-32,192,384,384,30,32,32,30-32-32,M00,8192,768,30,47104,7680,8192,768,67584,32,32,7680,16384,8064,7,12,12,0,1008,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,1916928,884736,884736,56623104.0,110592.0,27426816,884736.0,28311552.0,4128768,216.0,884736,8257536,884736,10027008,864.0,95616.0,864.0,8064.0,1728.0,1728.0,3538944.0,24772608.0,3538944.0,28311552.0,28311552.0,3528.0,3.053571428571429,56623104.0,3401.1428571428573,109.71428571428571,1024.0,109.71428571428571,1243.4285714285713,11.857142857142858,1901.7142857142858,877.7142857142857,0.10714285714285714,877.7142857142857,0.10714285714285714,1.0
192x384x384w32-32-29,192,384,384,32,32,29,32-32-29,00K,7424,928,32,46080,8192,7424,1024,68608,29,32,7424,14848,8064,6,12,14,0,1008,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,1769472,1032192,884736,56623104.0,129024.0,27279360,1032192.0,28311552.0,3538944,340.4926108374384,884736,7077888,1032192,8994816,1008.0,62208.0,1361.9704433497536,10895.763546798029,2723.9408866995072,2723.9408866995072,3538944.0,24772608.0,3538944.0,28311552.0,28311552.0,3528.0,3.040112596762843,56623104.0,3382.8571428571427,109.71428571428571,877.7142857142857,128.0,1115.4285714285713,7.714285714285714,1755.4285714285713,1024.0,0.125,877.7142857142857,0.1688951442646024,1.3511611541168191
192x384x384w28-32-32,192,384,384,28,32,32,28-32-32,M00,8192,768,28,45056,7168,8192,768,69632,32,32,7168,16384,8064,7,12,12,0,1008,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,1916928,884736,884736,56623104.0,110592.0,27426816,884736.0,28311552.0,4128768,216.0,884736,8257536,884736,10027008,864.0,84863.99999999999,864.0,8064.0,1728.0,1728.0,3538944.0,24772608.0,3538944.0,28311552.0,28311552.0,3528.0,2.6785714285714284,56623104.0,3401.1428571428573,109.71428571428571,1024.0,109.71428571428571,1243.4285714285713,10.523809523809522,1901.7142857142858,877.7142857142857,0.10714285714285714,877.7142857142857,0.10714285714285714,1.0
192x384x384w32-32-28,192,384,384,32,32,28,32-32-28,00K,7168,896,32,45056,8192,7168,1024,69632,28,32,7168,14336,8064,6,12,14,0,1008,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,1769472,1032192,884736,56623104.0,129024.0,27279360,1032192.0,28311552.0,3538944,296.2285714285714,884736,7077888,1032192,8994816,1008.0,62208.0,1184.9142857142856,9479.314285714285,2369.828571428571,2369.828571428571,3538944.0,24772608.0,3538944.0,28311552.0,28311552.0,3528.0,2.644897959183673,56623104.0,3382.8571428571427,109.71428571428571,877.7142857142857,128.0,1115.4285714285713,7.714285714285714,1755.4285714285713,1024.0,0.125,877.7142857142857,0.14693877551020407,1.1755102040816325
192x384x384w31-32-31,192,384,384,31,32,31,31-32-31,M0K,7936,744,31,47120,7936,7936,768,67568,31,32,7688,15872,8424,7,12,13,0,1092,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,1916928,958464,884736,56623104.0,119808.0,27353088,958464.0,28311552.0,3981312,270.96774193548384,884736,7962624,958464,9805824,936.0,93024.0,1083.8709677419354,9754.83870967742,2150.8064516129034,2167.7419354838707,3538944.0,24772608.0,3538944.0,28311552.0,28311552.0,3685.5,3.729838709677419,56623104.0,3247.042735042735,105.02564102564102,945.2307692307693,113.77777777777777,1164.034188034188,11.042735042735043,1755.4285714285713,877.7142857142857,0.1111111111111111,810.1978021978022,0.12866464479367704,1.1579818031430935
