FakeNN JSON Name,M,N,K,m,n,k,JSON Name,remainderTiles,Space Remaining,tileB_cc,tileA,Space Needed in L1,tileC_cc,m Dim,Row Dim,tileB,Reduction Dim,tileC,tileA_cc,Weight Matrix Tile Size,SSR Config Count,m_tiles,n_tiles,k_tiles,Regular Loads,Total CL Tiles,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,oldRegPerStream,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,L3 Loads,L3 Stores,A',SSR Loads,HW Loops,FMADDs,MULs,FMADDsMULs,SSR Loads per HW Loop,HW Loops / SSR Loads per HW Loop,A'',B',C'',CC Tile Size,A''/ B',(A''+ B') / C'',m'_sz / k_size,n'_sz / k_size,myRegPerStream,HW Loops / SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,A SSR Loads,Reused / Total SSR Loads,Core : A SSR Reuse Loads,Total SSR Loads,FMADDsPerCore,Avg A'',Avg B',Avg C'',Avg CC Tile Size,Avg (A''+ B') / C'',Avg L3 Loads,Avg L3 Stores,Avg A''/ B',Avg A',Avg m'_sz / k_size,Avg n'_sz / k_size
512x512x512w32-32-32,512,512,512,32,32,32,32-32-32,000,65536,8192,8192,49152,1024,32,32,8192,32,8192,1024,16384,32768,16,16,16,0,4096,4,4,32,8,4,0.25,5,4,32,8,5,8388608,4194304,4194304,268435456.0,524288.0,130023424,4194304.0,134217728.0,16777216,1024.0,4194304,33554432,4194304,41943040,4096.0,294912.0,4096.0,32768.0,8192.0,8192.0,16777216.0,117440512.0,16777216.0,134217728.0,134217728.0,14336.0,9.142857142857142,268435456.0,3968.0,128.0,1024.0,128.0,1280.0,9.0,2048.0,1024.0,0.125,1024.0,0.125,1.0
512x512x512w31-32-32,512,512,512,31,32,32,31-32-32,M00,66560,8192,7936,48128,768,31,32,8192,32,7936,768,16384,34816,17,16,16,0,4352,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,8650752,4194304,4194304,268435456.0,524288.0,130023424,4194304.0,134217728.0,17825792,1024.0,4194304,35651584,4194304,44040192,4096.0,340650.6666666667,4096.0,34816.0,8192.0,8192.0,16777216.0,117440512.0,16777216.0,134217728.0,134217728.0,15232.0,10.666666666666666,268435456.0,3734.5882352941176,120.47058823529412,1024.0,120.47058823529412,1264.9411764705883,9.784313725490197,1987.764705882353,963.7647058823529,0.11764705882352941,963.7647058823529,0.11764705882352941,1.0
512x512x512w32-32-31,512,512,512,32,32,31,32-32-31,00K,66560,7936,7936,48128,1024,32,32,7936,31,8192,992,15872,34816,16,16,17,0,4352,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,8388608,4456448,4194304,268435456.0,557056.0,129761280,4456448.0,134217728.0,16777216,1185.032258064516,4194304,33554432,4456448,42205184,4352.0,294912.0,4740.129032258064,37921.032258064515,9480.258064516129,9480.258064516129,16777216.0,117440512.0,16777216.0,134217728.0,134217728.0,15232.0,10.580645161290322,268435456.0,3727.0588235294117,120.47058823529412,963.7647058823529,128.0,1212.235294117647,8.470588235294118,1927.5294117647059,1024.0,0.125,963.7647058823529,0.13614800759013282,1.0891840607210626
512x512x512w30-32-32,512,512,512,30,32,32,30-32-32,M00,67584,8192,7680,47104,768,30,32,8192,32,7680,768,16384,35328,18,16,16,0,4608,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,8912896,4194304,4194304,268435456.0,524288.0,130023424,4194304.0,134217728.0,18087936,1024.0,4194304,36175872,4194304,44564480,4096.0,353450.6666666666,4096.0,35328.0,8168.0,8192.0,16777216.0,117440512.0,16777216.0,134217728.0,134217728.0,15456.0,11.095238095238095,268435456.0,3680.463768115942,118.72463768115942,1024.0,118.72463768115942,1261.4492753623188,10.004830917874395,1934.2222222222222,910.2222222222222,0.11594202898550725,910.2222222222222,0.11594202898550725,1.0
512x512x512w29-32-32,512,512,512,29,32,32,29-32-32,M00,68608,8192,7424,46080,768,29,32,8192,32,7424,768,16384,36864,18,16,16,0,4608,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,8912896,4194304,4194304,268435456.0,524288.0,130023424,4194304.0,134217728.0,18874368,1024.0,4194304,37748736,4194304,46137344,4096.0,378880.0,4096.0,36864.0,8192.0,8192.0,16777216.0,117440512.0,16777216.0,134217728.0,134217728.0,16128.0,11.928571428571427,268435456.0,3527.1111111111113,113.77777777777777,1024.0,113.77777777777777,1251.5555555555557,10.277777777777779,1934.2222222222222,910.2222222222222,0.1111111111111111,910.2222222222222,0.1111111111111111,1.0
512x512x512w32-32-29,512,512,512,32,32,29,32-32-29,00K,68608,7424,7424,46080,1024,32,32,7424,29,8192,928,14848,36864,16,16,18,0,4608,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,8388608,4718592,4194304,268435456.0,589824.0,129499136,4718592.0,134217728.0,16777216,1308.3411978221416,4194304,33554432,4718592,42467328,4608.0,294912.0,5233.364791288566,41866.91833030853,10466.729582577133,10466.729582577133,16777216.0,117440512.0,16777216.0,134217728.0,134217728.0,16128.0,11.681617837697692,268435456.0,3512.8888888888887,113.77777777777777,910.2222222222222,128.0,1152.0,8.0,1820.4444444444443,1024.0,0.125,910.2222222222222,0.141964105666465,1.13571284533172
512x512x512w31-32-31,512,512,512,31,32,31,31-32-31,M0K,67568,7936,7688,47120,768,31,32,7936,31,7936,744,15872,36992,17,16,17,0,4624,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,8650752,4456448,4194304,268435456.0,557056.0,129761280,4456448.0,134217728.0,17825792,1185.032258064516,4194304,35651584,4456448,44302336,4352.0,340650.6666666666,4740.129032258064,40291.096774193546,9480.258064516129,9480.258064516129,16777216.0,117440512.0,16777216.0,134217728.0,134217728.0,16184.0,12.344086021505374,268435456.0,3507.8200692041523,113.3840830449827,963.7647058823529,120.47058823529412,1197.6193771626297,9.20876585928489,1870.8373702422145,963.7647058823529,0.11764705882352941,907.0726643598616,0.1281393012613015,1.0891840607210626
512x512x512w30-32-31,512,512,512,30,32,31,30-32-31,M0K,68576,7936,7440,46112,768,30,32,7936,31,7680,744,15872,37536,18,16,17,0,4896,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,8912896,4456448,4194304,268435456.0,557056.0,129761280,4456448.0,134217728.0,18087936,1185.0322580645163,4194304,36175872,4456448,44826624,4352.0,353450.6666666667,4740.129032258065,40883.6129032258,9452.483870967742,9480.25806451613,16777216.0,117440512.0,16777216.0,134217728.0,134217728.0,16422.0,12.840053763440858,268435456.0,3456.9820971867007,111.74083546462063,963.7647058823529,118.72463768115942,1194.230179028133,9.41631145211708,1820.4444444444443,910.2222222222222,0.11594202898550725,856.6797385620915,0.12628220993867395,1.0891840607210626
512x512x512w32-32-27,512,512,512,32,32,27,32-32-27,00K,70656,6912,6912,44032,1024,32,32,6912,27,8192,864,13824,38912,16,16,19,0,4864,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,8388608,4980736,4194304,268435456.0,622592.0,129236992,4980736.0,134217728.0,16777216,1444.102564102564,4194304,33554432,4980736,42729472,4864.0,294912.0,5776.410256410256,46211.28205128205,11552.820512820512,11552.820512820512,16777216.0,117440512.0,16777216.0,134217728.0,134217728.0,17024.0,12.893772893772892,268435456.0,3321.2631578947367,107.78947368421052,862.3157894736842,128.0,1098.1052631578948,7.578947368421052,1724.6315789473683,1024.0,0.125,862.3157894736842,0.14844804318488528,1.1875843454790822
512x512x512w32-32-28,512,512,512,32,32,28,32-32-28,00K,69632,7168,7168,45056,1024,32,32,7168,28,8192,896,14336,38912,16,16,19,0,4864,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,8388608,4980736,4194304,268435456.0,622592.0,129236992,4980736.0,134217728.0,16777216,1572.5714285714284,4194304,33554432,4980736,42729472,4864.0,294912.0,6290.285714285714,50322.28571428571,12580.571428571428,12580.571428571428,16777216.0,117440512.0,16777216.0,134217728.0,134217728.0,17024.0,14.04081632653061,268435456.0,3321.2631578947367,107.78947368421052,862.3157894736842,128.0,1098.1052631578948,7.578947368421052,1724.6315789473683,1024.0,0.125,862.3157894736842,0.16165413533834586,1.2932330827067668
