FakeNN JSON Name,M,N,K,m,n,k,JSON Name,remainderTiles,Reduction Dim,tileA,Row Dim,tileC,tileA_cc,tileB_cc,tileC_cc,Space Remaining,tileB,Space Needed in L1,Weight Matrix Tile Size,m Dim,SSR Config Count
128x128x128w32-32-32,128,128,128,32,32,32,32-32-32,000,32,8192,32,8192,1024,8192,1024,65536,8192,49152,16384,32,512
128x128x128w31-32-32,128,128,128,31,32,32,31-32-32,M00,32,7936,32,7936,768,8192,768,66560,8192,48128,16384,31,576
128x128x128w28-32-32,128,128,128,28,32,32,28-32-32,M00,32,7168,32,7168,768,8192,768,69632,8192,45056,16384,28,640
128x128x128w32-32-26,128,128,128,32,32,26,32-32-26,00K,26,6656,32,8192,832,6656,1024,71680,6656,43008,13312,32,640
128x128x128w32-32-30,128,128,128,32,32,30,32-32-30,00K,30,7680,32,8192,960,7680,1024,67584,7680,47104,15360,32,640
128x128x128w29-32-32,128,128,128,29,32,32,29-32-32,M00,32,7424,32,7424,768,8192,768,68608,8192,46080,16384,29,640
128x128x128w30-32-32,128,128,128,30,32,32,30-32-32,M00,32,7680,32,7680,768,8192,768,67584,8192,47104,16384,30,640
128x128x128w32-32-31,128,128,128,32,32,31,32-32-31,00K,31,7936,32,8192,992,7936,1024,66560,7936,48128,15872,32,640
128x128x128w27-32-32,128,128,128,27,32,32,27-32-32,M00,32,6912,32,6912,768,8192,768,70656,8192,44032,16384,27,640
128x128x128w26-32-32,128,128,128,26,32,32,26-32-32,M00,32,6656,32,6656,768,8192,768,71680,8192,43008,16384,26,640
128x128x128w32-32-27,128,128,128,32,32,27,32-32-27,00K,27,6912,32,8192,864,6912,1024,70656,6912,44032,13824,32,640
128x128x128w32-32-29,128,128,128,32,32,29,32-32-29,00K,29,7424,32,8192,928,7424,1024,68608,7424,46080,14848,32,640
128x128x128w32-32-28,128,128,128,32,32,28,32-32-28,00K,28,7168,32,8192,896,7168,1024,69632,7168,45056,14336,32,640
128x128x128w25-32-32,128,128,128,25,32,32,25-32-32,M00,32,6400,32,6400,768,8192,768,72704,8192,41984,16384,25,688
128x128x128w31-32-29,128,128,128,31,32,29,31-32-29,M0K,29,7192,32,7936,696,7424,768,69584,7424,45104,14848,31,720
128x128x128w31-32-31,128,128,128,31,32,31,31-32-31,M0K,31,7688,32,7936,744,7936,768,67568,7936,47120,15872,31,720
128x128x128w31-32-28,128,128,128,31,32,28,31-32-28,M0K,28,6944,32,7936,672,7168,768,70592,7168,44096,14336,31,720
128x128x128w31-32-30,128,128,128,31,32,30,31-32-30,M0K,30,7440,32,7936,720,7680,768,68576,7680,46112,15360,31,720
128x128x128w31-32-27,128,128,128,31,32,27,31-32-27,M0K,27,6696,32,7936,648,6912,768,71600,6912,43088,13824,31,720
128x128x128w31-32-26,128,128,128,31,32,26,31-32-26,M0K,26,6448,32,7936,624,6656,768,72608,6656,42080,13312,31,720
128x128x128w32-32-23,128,128,128,32,32,23,32-32-23,00K,23,5888,32,8192,736,5888,1024,74752,5888,39936,11776,32,768
128x128x128w24-32-32,128,128,128,24,32,32,24-32-32,M00,32,6144,32,6144,768,8192,768,73728,8192,40960,16384,24,768
128x128x128w32-32-22,128,128,128,32,32,22,32-32-22,00K,22,5632,32,8192,704,5632,1024,75776,5632,38912,11264,32,768
128x128x128w32-24-32,128,128,128,32,24,32,32-24-32,0N0,32,8192,24,6144,1024,6144,768,73728,6144,40960,12288,32,768
128x128x128w32-32-25,128,128,128,32,32,25,32-32-25,00K,25,6400,32,8192,800,6400,1024,72704,6400,41984,12800,32,768
128x128x128w22-32-32,128,128,128,22,32,32,22-32-32,M00,32,5632,32,5632,512,8192,512,75776,8192,38912,16384,22,768
128x128x128w32-32-24,128,128,128,32,32,24,32-32-24,00K,24,6144,32,8192,768,6144,1024,73728,6144,40960,12288,32,768
