FakeNN JSON Name,M,N,K,m,n,k,JSON Name,remainderTiles,Space Remaining,tileC,tileB_cc,tileA_cc,Reduction Dim,tileB,m Dim,Row Dim,Space Needed in L1,tileA,tileC_cc,Weight Matrix Tile Size,SSR Config Count
128x768x768w32-32-32,128,768,768,32,32,32,32-32-32,000,65536,8192,8192,1024,32,8192,32,32,49152,8192,1024,16384,18432
128x768x768w32-32-31,128,768,768,32,32,31,32-32-31,00K,66560,8192,7936,992,31,7936,32,32,48128,7936,1024,15872,19200
128x768x768w32-32-30,128,768,768,32,32,30,32-32-30,00K,67584,8192,7680,960,30,7680,32,32,47104,7680,1024,15360,19968
128x768x768w31-32-32,128,768,768,31,32,32,31-32-32,M00,66560,7936,8192,768,32,8192,31,32,48128,7936,768,16384,20736
128x768x768w32-32-29,128,768,768,32,32,29,32-32-29,00K,68608,8192,7424,928,29,7424,32,32,46080,7424,1024,14848,20736
128x768x768w32-32-28,128,768,768,32,32,28,32-32-28,00K,69632,8192,7168,896,28,7168,32,32,45056,7168,1024,14336,21504
128x768x768w31-32-31,128,768,768,31,32,31,31-32-31,M0K,67568,7936,7936,744,31,7936,31,32,47120,7688,768,15872,21600
128x768x768w32-32-27,128,768,768,32,32,27,32-32-27,00K,70656,8192,6912,864,27,6912,32,32,44032,6912,1024,13824,22272
128x768x768w31-32-30,128,768,768,31,32,30,31-32-30,M0K,68576,7936,7680,720,30,7680,31,32,46112,7440,768,15360,22464
128x768x768w29-32-32,128,768,768,29,32,32,29-32-32,M00,68608,7424,8192,768,32,8192,29,32,46080,7424,768,16384,23040
128x768x768w27-32-32,128,768,768,27,32,32,27-32-32,M00,70656,6912,8192,768,32,8192,27,32,44032,6912,768,16384,23040
128x768x768w26-32-32,128,768,768,26,32,32,26-32-32,M00,71680,6656,8192,768,32,8192,26,32,43008,6656,768,16384,23040
128x768x768w30-32-32,128,768,768,30,32,32,30-32-32,M00,67584,7680,8192,768,32,8192,30,32,47104,7680,768,16384,23040
128x768x768w32-32-26,128,768,768,32,32,26,32-32-26,00K,71680,8192,6656,832,26,6656,32,32,43008,6656,1024,13312,23040
128x768x768w28-32-32,128,768,768,28,32,32,28-32-32,M00,69632,7168,8192,768,32,8192,28,32,45056,7168,768,16384,23040
128x768x768w31-32-29,128,768,768,31,32,29,31-32-29,M0K,69584,7936,7424,696,29,7424,31,32,45104,7192,768,14848,23328
128x768x768w32-32-25,128,768,768,32,32,25,32-32-25,00K,72704,8192,6400,800,25,6400,32,32,41984,6400,1024,12800,23808
128x768x768w26-32-31,128,768,768,26,32,31,26-32-31,M0K,72608,6656,7936,744,31,7936,26,32,42080,6448,768,15872,24000
128x768x768w28-32-31,128,768,768,28,32,31,28-32-31,M0K,70592,7168,7936,744,31,7936,28,32,44096,6944,768,15872,24000
128x768x768w29-32-31,128,768,768,29,32,31,29-32-31,M0K,69584,7424,7936,744,31,7936,29,32,45104,7192,768,15872,24000
128x768x768w30-32-31,128,768,768,30,32,31,30-32-31,M0K,68576,7680,7936,744,31,7936,30,32,46112,7440,768,15872,24000
128x768x768w27-32-31,128,768,768,27,32,31,27-32-31,M0K,71600,6912,7936,744,31,7936,27,32,43088,6696,768,15872,24000
128x768x768w31-32-28,128,768,768,31,32,28,31-32-28,M0K,70592,7936,7168,672,28,7168,31,32,44096,6944,768,14336,24192
128x768x768w32-24-32,128,768,768,32,24,32,32-24-32,000,73728,6144,6144,1024,32,6144,32,24,40960,8192,768,12288,24576
128x768x768w32-32-24,128,768,768,32,32,24,32-32-24,000,73728,8192,6144,768,24,6144,32,32,40960,6144,1024,12288,24576
128x768x768w25-32-32,128,768,768,25,32,32,25-32-32,M00,72704,6400,8192,768,32,8192,25,32,41984,6400,768,16384,24768
128x768x768w30-32-30,128,768,768,30,32,30,30-32-30,M0K,69568,7680,7680,720,30,7680,30,32,45120,7200,768,15360,24960
