FakeNN JSON Name,M,N,K,m,n,k,JSON Name,remainderTiles,tileB,tileA_cc,m Dim,Space Needed in L1,tileC,tileB_cc,tileC_cc,Space Remaining,Reduction Dim,Row Dim,tileA,Weight Matrix Tile Size,SSR Config Count
192x384x384w32-32-32,192,384,384,32,32,32,32-32-32,000,8192,1024,32,49152,8192,8192,1024,65536,32,32,8192,16384,6912
192x384x384w32-32-31,192,384,384,32,32,31,32-32-31,00K,7936,992,32,48128,8192,7936,1024,66560,31,32,7936,15872,7488
192x384x384w32-32-30,192,384,384,32,32,30,32-32-30,00K,7680,960,32,47104,8192,7680,1024,67584,30,32,7680,15360,7488
192x384x384w31-32-32,192,384,384,31,32,32,31-32-32,M00,8192,768,31,48128,7936,8192,768,66560,32,32,7936,16384,7776
192x384x384w30-32-32,192,384,384,30,32,32,30-32-32,M00,8192,768,30,47104,7680,8192,768,67584,32,32,7680,16384,8064
192x384x384w32-32-28,192,384,384,32,32,28,32-32-28,00K,7168,896,32,45056,8192,7168,1024,69632,28,32,7168,14336,8064
192x384x384w32-32-29,192,384,384,32,32,29,32-32-29,00K,7424,928,32,46080,8192,7424,1024,68608,29,32,7424,14848,8064
192x384x384w29-32-32,192,384,384,29,32,32,29-32-32,M00,8192,768,29,46080,7424,8192,768,68608,32,32,7424,16384,8064
192x384x384w28-32-32,192,384,384,28,32,32,28-32-32,M00,8192,768,28,45056,7168,8192,768,69632,32,32,7168,16384,8064
192x384x384w31-32-31,192,384,384,31,32,31,31-32-31,M0K,7936,744,31,47120,7936,7936,768,67568,31,32,7688,15872,8424
192x384x384w31-32-30,192,384,384,31,32,30,31-32-30,M0K,7680,720,31,46112,7936,7680,768,68576,30,32,7440,15360,8424
192x384x384w27-32-32,192,384,384,27,32,32,27-32-32,M00,8192,768,27,44032,6912,8192,768,70656,32,32,6912,16384,8496
192x384x384w32-32-26,192,384,384,32,32,26,32-32-26,00K,6656,832,32,43008,8192,6656,1024,71680,26,32,6656,13312,8640
192x384x384w32-32-27,192,384,384,32,32,27,32-32-27,00K,6912,864,32,44032,8192,6912,1024,70656,27,32,6912,13824,8640
192x384x384w30-32-31,192,384,384,30,32,31,30-32-31,M0K,7936,744,30,46112,7680,7936,768,68576,31,32,7440,15872,8736
192x384x384w29-32-30,192,384,384,29,32,30,29-32-30,M0K,7680,720,29,44128,7424,7680,768,70560,30,32,6960,15360,8736
192x384x384w28-32-30,192,384,384,28,32,30,28-32-30,M0K,7680,720,28,43136,7168,7680,768,71552,30,32,6720,15360,8736
