FakeNN JSON Name,M,N,K,m,n,k,JSON Name,remainderTiles,Weight Matrix Tile Size,tileA_cc,Row Dim,Reduction Dim,tileC_cc,m Dim,Space Needed in L1,Space Remaining,tileB_cc,tileA,tileC,tileB,SSR Config Count
256x256x256w32-32-32,256,256,256,32,32,32,32-32-32,000,16384,1024,32,32,1024,32,49152,65536,8192,8192,8192,8192,4096
256x256x256w31-32-32,256,256,256,31,32,32,31-32-32,M00,16384,768,32,32,768,31,48128,66560,8192,7936,7936,8192,4608
256x256x256w32-32-29,256,256,256,32,32,29,32-32-29,00K,14848,928,32,29,1024,32,46080,68608,7424,7424,8192,7424,4608
256x256x256w32-32-30,256,256,256,32,32,30,32-32-30,00K,15360,960,32,30,1024,32,47104,67584,7680,7680,8192,7680,4608
256x256x256w32-32-31,256,256,256,32,32,31,32-32-31,00K,15872,992,32,31,1024,32,48128,66560,7936,7936,8192,7936,4608
256x256x256w30-32-32,256,256,256,30,32,32,30-32-32,M00,16384,768,32,32,768,30,47104,67584,8192,7680,7680,8192,4608
256x256x256w29-32-32,256,256,256,29,32,32,29-32-32,M00,16384,768,32,32,768,29,46080,68608,8192,7424,7424,8192,4608
256x256x256w28-32-32,256,256,256,28,32,32,28-32-32,M00,16384,768,32,32,768,28,45056,69632,8192,7168,7168,8192,4864
256x256x256w32-32-26,256,256,256,32,32,26,32-32-26,00K,13312,832,32,26,1024,32,43008,71680,6656,6656,8192,6656,5120
256x256x256w26-32-32,256,256,256,26,32,32,26-32-32,M00,16384,768,32,32,768,26,43008,71680,8192,6656,6656,8192,5120
256x256x256w27-32-32,256,256,256,27,32,32,27-32-32,M00,16384,768,32,32,768,27,44032,70656,8192,6912,6912,8192,5120
256x256x256w32-32-27,256,256,256,32,32,27,32-32-27,00K,13824,864,32,27,1024,32,44032,70656,6912,6912,8192,6912,5120
256x256x256w32-32-28,256,256,256,32,32,28,32-32-28,00K,14336,896,32,28,1024,32,45056,69632,7168,7168,8192,7168,5120
256x256x256w30-32-29,256,256,256,30,32,29,30-32-29,M0K,14848,696,32,29,768,30,44128,70560,7424,6960,7680,7424,5184
256x256x256w29-32-30,256,256,256,29,32,30,29-32-30,M0K,15360,720,32,30,768,29,44128,70560,7680,6960,7424,7680,5184
256x256x256w30-32-30,256,256,256,30,32,30,30-32-30,M0K,15360,720,32,30,768,30,45120,69568,7680,7200,7680,7680,5184
256x256x256w31-32-29,256,256,256,31,32,29,31-32-29,M0K,14848,696,32,29,768,31,45104,69584,7424,7192,7936,7424,5184
256x256x256w29-32-31,256,256,256,29,32,31,29-32-31,M0K,15872,744,32,31,768,29,45104,69584,7936,7192,7424,7936,5184
256x256x256w29-32-29,256,256,256,29,32,29,29-32-29,M0K,14848,696,32,29,768,29,43152,71536,7424,6728,7424,7424,5184
256x256x256w31-32-31,256,256,256,31,32,31,31-32-31,M0K,15872,744,32,31,768,31,47120,67568,7936,7688,7936,7936,5184
256x256x256w31-32-30,256,256,256,31,32,30,31-32-30,M0K,15360,720,32,30,768,31,46112,68576,7680,7440,7936,7680,5184
256x256x256w30-32-31,256,256,256,30,32,31,30-32-31,M0K,15872,744,32,31,768,30,46112,68576,7936,7440,7680,7936,5184
256x256x256w28-32-30,256,256,256,28,32,30,28-32-30,M0K,15360,720,32,30,768,28,43136,71552,7680,6720,7168,7680,5472
256x256x256w28-32-31,256,256,256,28,32,31,28-32-31,M0K,15872,744,32,31,768,28,44096,70592,7936,6944,7168,7936,5472
256x256x256w28-32-29,256,256,256,28,32,29,28-32-29,M0K,14848,696,32,29,768,28,42176,72512,7424,6496,7168,7424,5472
256x256x256w25-32-32,256,256,256,25,32,32,25-32-32,M00,16384,768,32,32,768,25,41984,72704,8192,6400,6400,8192,5504
256x256x256w32-32-25,256,256,256,32,32,25,32-32-25,00K,12800,800,32,25,1024,32,41984,72704,6400,6400,8192,6400,5632
256x256x256w32-32-24,256,256,256,32,32,24,32-32-24,00K,12288,768,32,24,1024,32,40960,73728,6144,6144,8192,6144,5632
256x256x256w32-24-32,256,256,256,32,24,32,32-24-32,0N0,12288,1024,24,32,768,32,40960,73728,6144,8192,6144,6144,5632
256x256x256w24-32-32,256,256,256,24,32,32,24-32-32,M00,16384,768,32,32,768,24,40960,73728,8192,6144,6144,8192,5632
256x256x256w27-32-31,256,256,256,27,32,31,27-32-31,M0K,15872,744,32,31,768,27,43088,71600,7936,6696,6912,7936,5760
256x256x256w26-32-29,256,256,256,26,32,29,26-32-29,M0K,14848,696,32,29,768,26,40224,74464,7424,6032,6656,7424,5760
256x256x256w27-32-29,256,256,256,27,32,29,27-32-29,M0K,14848,696,32,29,768,27,41200,73488,7424,6264,6912,7424,5760
256x256x256w31-32-28,256,256,256,31,32,28,31-32-28,M0K,14336,672,32,28,768,31,44096,70592,7168,6944,7936,7168,5760
256x256x256w26-32-31,256,256,256,26,32,31,26-32-31,M0K,15872,744,32,31,768,26,42080,72608,7936,6448,6656,7936,5760
256x256x256w29-32-26,256,256,256,29,32,26,29-32-26,M0K,13312,624,32,26,768,29,40224,74464,6656,6032,7424,6656,5760
256x256x256w26-32-30,256,256,256,26,32,30,26-32-30,M0K,15360,720,32,30,768,26,41152,73536,7680,6240,6656,7680,5760
