FakeNN JSON Name,M,N,K,m,n,k,JSON Name,remainderTiles,tileC,Reduction Dim,Space Remaining,m Dim,tileA,Space Needed in L1,Weight Matrix Tile Size,Row Dim,tileB_cc,tileC_cc,tileB,tileA_cc,SSR Config Count
384x384x384w32-32-32,384,384,384,32,32,32,32-32-32,000,8192,32,65536,32,8192,49152,16384,32,8192,1024,8192,1024,13824
384x384x384w30-32-32,384,384,384,30,32,32,30-32-32,M00,7680,32,67584,30,7680,47104,16384,32,8192,768,8192,768,14976
384x384x384w31-32-32,384,384,384,31,32,32,31-32-32,M00,7936,32,66560,31,7936,48128,16384,32,8192,768,8192,768,14976
384x384x384w32-32-30,384,384,384,32,32,30,32-32-30,00K,8192,30,67584,32,7680,47104,15360,32,7680,1024,7680,960,14976
384x384x384w32-32-31,384,384,384,32,32,31,32-32-31,00K,8192,31,66560,32,7936,48128,15872,32,7936,1024,7936,992,14976
384x384x384w29-32-32,384,384,384,29,32,32,29-32-32,M00,7424,32,68608,29,7424,46080,16384,32,8192,768,8192,768,15984
384x384x384w32-32-28,384,384,384,32,32,28,32-32-28,00K,8192,28,69632,32,7168,45056,14336,32,7168,1024,7168,896,16128
384x384x384w32-32-29,384,384,384,32,32,29,32-32-29,00K,8192,29,68608,32,7424,46080,14848,32,7424,1024,7424,928,16128
384x384x384w28-32-32,384,384,384,28,32,32,28-32-32,M00,7168,32,69632,28,7168,45056,16384,32,8192,768,8192,768,16128
384x384x384w31-32-30,384,384,384,31,32,30,31-32-30,M0K,7936,30,68576,31,7440,46112,15360,32,7680,768,7680,720,16224
384x384x384w30-32-30,384,384,384,30,32,30,30-32-30,M0K,7680,30,69568,30,7200,45120,15360,32,7680,768,7680,720,16224
384x384x384w30-32-31,384,384,384,30,32,31,30-32-31,M0K,7680,31,68576,30,7440,46112,15872,32,7936,768,7936,744,16224
384x384x384w31-32-31,384,384,384,31,32,31,31-32-31,M0K,7936,31,67568,31,7688,47120,15872,32,7936,768,7936,744,16224
384x384x384w27-32-32,384,384,384,27,32,32,27-32-32,M00,6912,32,70656,27,6912,44032,16384,32,8192,768,8192,768,16992
384x384x384w32-32-26,384,384,384,32,32,26,32-32-26,00K,8192,26,71680,32,6656,43008,13312,32,6656,1024,6656,832,17280
384x384x384w26-32-32,384,384,384,26,32,32,26-32-32,M00,6656,32,71680,26,6656,43008,16384,32,8192,768,8192,768,17280
384x384x384w32-32-27,384,384,384,32,32,27,32-32-27,00K,8192,27,70656,32,6912,44032,13824,32,6912,1024,6912,864,17280
384x384x384w29-32-31,384,384,384,29,32,31,29-32-31,M0K,7424,31,69584,29,7192,45104,15872,32,7936,768,7936,744,17316
384x384x384w29-32-30,384,384,384,29,32,30,29-32-30,M0K,7424,30,70560,29,6960,44128,15360,32,7680,768,7680,720,17316
384x384x384w28-32-31,384,384,384,28,32,31,28-32-31,M0K,7168,31,70592,28,6944,44096,15872,32,7936,768,7936,744,17472
384x384x384w30-32-28,384,384,384,30,32,28,30-32-28,M0K,7680,28,71552,30,6720,43136,14336,32,7168,768,7168,672,17472
384x384x384w31-32-28,384,384,384,31,32,28,31-32-28,M0K,7936,28,70592,31,6944,44096,14336,32,7168,768,7168,672,17472
384x384x384w31-32-29,384,384,384,31,32,29,31-32-29,M0K,7936,29,69584,31,7192,45104,14848,32,7424,768,7424,696,17472
384x384x384w30-32-29,384,384,384,30,32,29,30-32-29,M0K,7680,29,70560,30,6960,44128,14848,32,7424,768,7424,696,17472
384x384x384w28-32-30,384,384,384,28,32,30,28-32-30,M0K,7168,30,71552,28,6720,43136,15360,32,7680,768,7680,720,17472
384x384x384w27-32-31,384,384,384,27,32,31,27-32-31,M0K,6912,31,71600,27,6696,43088,15872,32,7936,768,7936,744,18408
384x384x384w27-32-30,384,384,384,27,32,30,27-32-30,M0K,6912,30,72544,27,6480,42144,15360,32,7680,768,7680,720,18408
384x384x384w25-32-32,384,384,384,25,32,32,25-32-32,M00,6400,32,72704,25,6400,41984,16384,32,8192,768,8192,768,18432
384x384x384w24-32-32,384,384,384,24,32,32,24-32-32,000,6144,32,73728,24,6144,40960,16384,32,8192,768,8192,768,18432
384x384x384w32-32-25,384,384,384,32,32,25,32-32-25,00K,8192,25,72704,32,6400,41984,12800,32,6400,1024,6400,800,18432
384x384x384w32-24-32,384,384,384,32,24,32,32-24-32,000,6144,32,73728,32,8192,40960,12288,24,6144,768,6144,1024,18432
384x384x384w32-32-24,384,384,384,32,32,24,32-32-24,000,8192,24,73728,32,6144,40960,12288,32,6144,1024,6144,768,18432
384x384x384w29-32-28,384,384,384,29,32,28,29-32-28,M0K,7424,28,72512,29,6496,42176,14336,32,7168,768,7168,672,18648
384x384x384w29-32-29,384,384,384,29,32,29,29-32-29,M0K,7424,29,71536,29,6728,43152,14848,32,7424,768,7424,696,18648
384x384x384w26-32-30,384,384,384,26,32,30,26-32-30,M0K,6656,30,73536,26,6240,41152,15360,32,7680,768,7680,720,18720
384x384x384w31-32-27,384,384,384,31,32,27,31-32-27,M0K,7936,27,71600,31,6696,43088,13824,32,6912,768,6912,648,18720
384x384x384w30-32-26,384,384,384,30,32,26,30-32-26,M0K,7680,26,73536,30,6240,41152,13312,32,6656,768,6656,624,18720
384x384x384w26-32-31,384,384,384,26,32,31,26-32-31,M0K,6656,31,72608,26,6448,42080,15872,32,7936,768,7936,744,18720
