FakeNN JSON Name,M,N,K,m,n,k,JSON Name,remainderTiles,Space Remaining,tileB_cc,tileA,Space Needed in L1,tileC_cc,m Dim,Row Dim,tileB,Reduction Dim,tileC,tileA_cc,Weight Matrix Tile Size,SSR Config Count
512x512x512w32-32-32,512,512,512,32,32,32,32-32-32,000,65536,8192,8192,49152,1024,32,32,8192,32,8192,1024,16384,32768
512x512x512w31-32-32,512,512,512,31,32,32,31-32-32,M00,66560,8192,7936,48128,768,31,32,8192,32,7936,768,16384,34816
512x512x512w32-32-31,512,512,512,32,32,31,32-32-31,00K,66560,7936,7936,48128,1024,32,32,7936,31,8192,992,15872,34816
512x512x512w30-32-32,512,512,512,30,32,32,30-32-32,M00,67584,8192,7680,47104,768,30,32,8192,32,7680,768,16384,35328
512x512x512w32-32-29,512,512,512,32,32,29,32-32-29,00K,68608,7424,7424,46080,1024,32,32,7424,29,8192,928,14848,36864
512x512x512w29-32-32,512,512,512,29,32,32,29-32-32,M00,68608,8192,7424,46080,768,29,32,8192,32,7424,768,16384,36864
512x512x512w31-32-31,512,512,512,31,32,31,31-32-31,M0K,67568,7936,7688,47120,768,31,32,7936,31,7936,744,15872,36992
512x512x512w30-32-31,512,512,512,30,32,31,30-32-31,M0K,68576,7936,7440,46112,768,30,32,7936,31,7680,744,15872,37536
512x512x512w32-32-27,512,512,512,32,32,27,32-32-27,00K,70656,6912,6912,44032,1024,32,32,6912,27,8192,864,13824,38912
512x512x512w27-32-32,512,512,512,27,32,32,27-32-32,M00,70656,8192,6912,44032,768,27,32,8192,32,6912,768,16384,38912
512x512x512w28-32-32,512,512,512,28,32,32,28-32-32,M00,69632,8192,7168,45056,768,28,32,8192,32,7168,768,16384,38912
512x512x512w32-32-28,512,512,512,32,32,28,32-32-28,00K,69632,7168,7168,45056,1024,32,32,7168,28,8192,896,14336,38912
512x512x512w29-32-31,512,512,512,29,32,31,29-32-31,M0K,69584,7936,7192,45104,768,29,32,7936,31,7424,744,15872,39168
512x512x512w31-32-29,512,512,512,31,32,29,31-32-29,M0K,69584,7424,7192,45104,768,31,32,7424,29,7936,696,14848,39168
512x512x512w30-32-29,512,512,512,30,32,29,30-32-29,M0K,70560,7424,6960,44128,768,30,32,7424,29,7680,696,14848,39744
512x512x512w32-32-26,512,512,512,32,32,26,32-32-26,00K,71680,6656,6656,43008,1024,32,32,6656,26,8192,832,13312,40960
512x512x512w26-32-32,512,512,512,26,32,32,26-32-32,M00,71680,8192,6656,43008,768,26,32,8192,32,6656,768,16384,40960
512x512x512w28-32-31,512,512,512,28,32,31,28-32-31,M0K,70592,7936,6944,44096,768,28,32,7936,31,7168,744,15872,41344
512x512x512w27-32-31,512,512,512,27,32,31,27-32-31,M0K,71600,7936,6696,43088,768,27,32,7936,31,6912,744,15872,41344
512x512x512w31-32-28,512,512,512,31,32,28,31-32-28,M0K,70592,7168,6944,44096,768,31,32,7168,28,7936,672,14336,41344
512x512x512w31-32-27,512,512,512,31,32,27,31-32-27,M0K,71600,6912,6696,43088,768,31,32,6912,27,7936,648,13824,41344
512x512x512w29-32-29,512,512,512,29,32,29,29-32-29,M0K,71536,7424,6728,43152,768,29,32,7424,29,7424,696,14848,41472
512x512x512w30-32-28,512,512,512,30,32,28,30-32-28,M0K,71552,7168,6720,43136,768,30,32,7168,28,7680,672,14336,41952
512x512x512w30-32-27,512,512,512,30,32,27,30-32-27,M0K,72544,6912,6480,42144,768,30,32,6912,27,7680,648,13824,41952
512x512x512w32-32-25,512,512,512,32,32,25,32-32-25,00K,72704,6400,6400,41984,1024,32,32,6400,25,8192,800,12800,43008
512x512x512w25-32-32,512,512,512,25,32,32,25-32-32,M00,72704,8192,6400,41984,768,25,32,8192,32,6400,768,16384,43008
512x512x512w31-32-26,512,512,512,31,32,26,31-32-26,M0K,72608,6656,6448,42080,768,31,32,6656,26,7936,624,13312,43520
512x512x512w26-32-31,512,512,512,26,32,31,26-32-31,M0K,72608,7936,6448,42080,768,26,32,7936,31,6656,744,15872,43520
512x512x512w29-32-28,512,512,512,29,32,28,29-32-28,M0K,72512,7168,6496,42176,768,29,32,7168,28,7424,672,14336,43776
