FakeNN JSON Name,M,N,K,m,n,k,JSON Name,Row Dim,Mpad,m Dim,tileB,Weight Matrix Tile Size,padding,Original Name,tileA,Space Needed in L1,tileA_cc,Kpad,tileC_cc,tileC,Npad,Space Remaining,tileB_cc,Reduction Dim,m_tiles,n_tiles,k_tiles,SSR Config Count,Regular Loads,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,Little K,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,L3 Loads,L3 Stores,SSR Loads,FMADDs,MULs,HW Loops,HW Loops / SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,A SSR Loads,Total SSR Loads
512x512x512w8-128-8,512,512,512,8,128,8,8-128-8,128,0,8,8192,16384,000,512x512x512w8-128-8,512,33792,64,0,1024,8192,0,80896,8192,8,64,4,64,131072,0,1,16,8,8,1,8,2,16,8,8,2,17825792,16777216,268435456.0,134217728.0,16777216.0,2097152.0,128.0,16777216.0,117440512.0,16777216.0,134217728.0,134217728.0,268435456.0
512x512x512w8-8-8,512,512,512,8,8,8,8-8-8,8,0,8,512,1024,000,512x512x512w8-8-8,512,3072,64,0,64,512,0,111616,512,8,64,64,64,2097152,0,1,1,8,8,1,8,2,1,8,8,2,33554432,16777216,268435456.0,134217728.0,16777216.0,2097152.0,2048.0,16777216.0,117440512.0,16777216.0,134217728.0,134217728.0,268435456.0
512x512x512w8-8-16,512,512,512,8,8,16,8-8-16,8,0,8,1024,2048,000,512x512x512w8-8-16,1024,5120,128,0,64,512,0,109568,1024,16,64,64,32,1048576,0,1,1,16,8,1,16,2,1,16,8,2,33554432,8388608,268435456.0,134217728.0,8388608.0,1048576.0,512.0,16777216.0,117440512.0,16777216.0,134217728.0,134217728.0,268435456.0
512x512x512w8-8-32,512,512,512,8,8,32,8-8-32,8,0,8,2048,4096,000,512x512x512w8-8-32,2048,9216,256,0,64,512,0,105472,2048,32,64,64,16,524288,0,1,1,32,8,1,32,2,1,32,8,2,33554432,4194304,268435456.0,134217728.0,4194304.0,524288.0,128.0,16777216.0,117440512.0,16777216.0,134217728.0,134217728.0,268435456.0
512x512x512w8-8-64,512,512,512,8,8,64,8-8-64,8,0,8,4096,8192,000,512x512x512w8-8-64,4096,17408,512,0,64,512,0,97280,4096,64,64,64,8,262144,0,1,1,64,8,1,64,2,1,64,8,2,33554432,2097152,268435456.0,134217728.0,2097152.0,262144.0,32.0,16777216.0,117440512.0,16777216.0,134217728.0,134217728.0,268435456.0
512x512x512w8-8-128,512,512,512,8,8,128,8-8-128,8,0,8,8192,16384,000,512x512x512w8-8-128,8192,33792,1024,0,64,512,0,80896,8192,128,64,64,4,131072,0,1,1,128,8,1,128,2,1,128,8,2,33554432,1048576,268435456.0,134217728.0,1048576.0,131072.0,8.0,16777216.0,117440512.0,16777216.0,134217728.0,134217728.0,268435456.0
512x512x512w8-16-8,512,512,512,8,16,8,8-16-8,16,0,8,1024,2048,000,512x512x512w8-16-8,512,5120,64,0,128,1024,0,109568,1024,8,64,32,64,1048576,0,1,2,8,8,1,8,2,2,8,8,2,25165824,16777216,268435456.0,134217728.0,16777216.0,2097152.0,1024.0,16777216.0,117440512.0,16777216.0,134217728.0,134217728.0,268435456.0
512x512x512w8-16-16,512,512,512,8,16,16,8-16-16,16,0,8,2048,4096,000,512x512x512w8-16-16,1024,8192,128,0,128,1024,0,106496,2048,16,64,32,32,524288,0,1,2,16,8,1,16,2,2,16,8,2,25165824,8388608,268435456.0,134217728.0,8388608.0,1048576.0,256.0,16777216.0,117440512.0,16777216.0,134217728.0,134217728.0,268435456.0
512x512x512w8-16-32,512,512,512,8,16,32,8-16-32,16,0,8,4096,8192,000,512x512x512w8-16-32,2048,14336,256,0,128,1024,0,100352,4096,32,64,32,16,262144,0,1,2,32,8,1,32,2,2,32,8,2,25165824,4194304,268435456.0,134217728.0,4194304.0,524288.0,64.0,16777216.0,117440512.0,16777216.0,134217728.0,134217728.0,268435456.0
512x512x512w8-16-64,512,512,512,8,16,64,8-16-64,16,0,8,8192,16384,000,512x512x512w8-16-64,4096,26624,512,0,128,1024,0,88064,8192,64,64,32,8,131072,0,1,2,64,8,1,64,2,2,64,8,2,25165824,2097152,268435456.0,134217728.0,2097152.0,262144.0,16.0,16777216.0,117440512.0,16777216.0,134217728.0,134217728.0,268435456.0
