FakeNN JSON Name,Global Sim E2E_cc_0,Core Complex E2E_cc_0,Sum Region Cycles_cc_0,Before Computation_cc_0,After Computation_cc_0,core0,Overlap Stall Time_cc_0,Raw Compute Time_cc_0,Sum Raw Compute + Overlap Stall_cc_0,Sum Compute+Stall+Pro+Epi_cc_0,cc_tiles_cc_0,Global Sim E2E_cc_1,Core Complex E2E_cc_1,Sum Region Cycles_cc_1,Before Computation_cc_1,After Computation_cc_1,core1,Overlap Stall Time_cc_1,Raw Compute Time_cc_1,Sum Raw Compute + Overlap Stall_cc_1,Sum Compute+Stall+Pro+Epi_cc_1,cc_tiles_cc_1,Global Sim E2E_cc_2,Core Complex E2E_cc_2,Sum Region Cycles_cc_2,Before Computation_cc_2,After Computation_cc_2,core2,Overlap Stall Time_cc_2,Raw Compute Time_cc_2,Sum Raw Compute + Overlap Stall_cc_2,Sum Compute+Stall+Pro+Epi_cc_2,cc_tiles_cc_2,Global Sim E2E_cc_3,Core Complex E2E_cc_3,Sum Region Cycles_cc_3,Before Computation_cc_3,After Computation_cc_3,core3,Overlap Stall Time_cc_3,Raw Compute Time_cc_3,Sum Raw Compute + Overlap Stall_cc_3,Sum Compute+Stall+Pro+Epi_cc_3,cc_tiles_cc_3,Global Sim E2E_cc_4,Core Complex E2E_cc_4,Sum Region Cycles_cc_4,Before Computation_cc_4,After Computation_cc_4,core4,Overlap Stall Time_cc_4,Raw Compute Time_cc_4,Sum Raw Compute + Overlap Stall_cc_4,Sum Compute+Stall+Pro+Epi_cc_4,cc_tiles_cc_4,Global Sim E2E_cc_5,Core Complex E2E_cc_5,Sum Region Cycles_cc_5,Before Computation_cc_5,After Computation_cc_5,core5,Overlap Stall Time_cc_5,Raw Compute Time_cc_5,Sum Raw Compute + Overlap Stall_cc_5,Sum Compute+Stall+Pro+Epi_cc_5,cc_tiles_cc_5,Global Sim E2E_cc_6,Core Complex E2E_cc_6,Sum Region Cycles_cc_6,Before Computation_cc_6,After Computation_cc_6,core6,Overlap Stall Time_cc_6,Raw Compute Time_cc_6,Sum Raw Compute + Overlap Stall_cc_6,Sum Compute+Stall+Pro+Epi_cc_6,cc_tiles_cc_6,Global Sim E2E_cc_7,Core Complex E2E_cc_7,Sum Region Cycles_cc_7,Before Computation_cc_7,After Computation_cc_7,core7,Overlap Stall Time_cc_7,Raw Compute Time_cc_7,Sum Raw Compute + Overlap Stall_cc_7,Sum Compute+Stall+Pro+Epi_cc_7,cc_tiles_cc_7,Kernel Time,dma,Global Sim E2E_dma,Total CC Tiles,Overlap Stall Time Total,Raw Compute Time Total,Diff from dma E2E_cc_0,Sum Regions - Core Complex E2E_cc_0,Diff from dma E2E_cc_1,Sum Regions - Core Complex E2E_cc_1,Diff from dma E2E_cc_2,Sum Regions - Core Complex E2E_cc_2,Diff from dma E2E_cc_3,Sum Regions - Core Complex E2E_cc_3,Diff from dma E2E_cc_4,Sum Regions - Core Complex E2E_cc_4,Diff from dma E2E_cc_5,Sum Regions - Core Complex E2E_cc_5,Diff from dma E2E_cc_6,Sum Regions - Core Complex E2E_cc_6,Diff from dma E2E_cc_7,Sum Regions - Core Complex E2E_cc_7
128x128x128w128-8-8,365084,365084,364828,3618,723,360742,50147,310340,360487,364828,256,365077,365077,364821,3618,718,360740,52617,307868,360485,364821,256,365076,365076,364820,3618,716,360741,51109,309377,360486,364820,256,365075,365075,364819,3618,714,360742,49362,311125,360487,364819,256,365072,365072,364816,3616,710,360745,50607,309883,360490,364816,256,365071,365071,364815,3616,712,360742,49559,310928,360487,364815,256,365070,365070,364814,3616,720,360733,49904,310574,360478,364814,256,365069,365069,364813,3608,721,360739,47228,313256,360484,364813,256,360750,365066,365066,2048,400533,2483351,18,18,11,11,10,10,9,9,6,6,5,5,4,4,3,3
128x128x128w16-16-16,406274,406274,405762,2922,348,403003,106943,295549,402492,405762,512,406256,406256,405744,2922,339,402994,108528,293955,402483,405744,512,406257,406257,405745,2922,325,403009,109085,293413,402498,405745,512,406255,406255,405743,2922,331,403001,105596,296894,402490,405743,512,406254,406254,405742,2920,332,403001,105267,297223,402490,405742,512,406254,406254,405742,2912,346,402995,105329,297155,402484,405742,512,406254,406254,405742,2912,338,403003,105740,296752,402492,405742,512,406254,406254,405742,2912,347,402994,107067,295416,402483,405742,512,403014,406252,406252,4096,853555,2366357,22,22,4,4,5,5,3,3,2,2,2,2,2,2,2,2
128x128x128w16-16-32,346555,346555,346299,3130,344,343080,55124,287701,342825,346299,256,346548,346548,346292,3130,346,343071,57113,285703,342816,346292,256,346547,346547,346291,3130,347,343069,55891,286923,342814,346291,256,346546,346546,346290,3130,337,343078,55103,287720,342823,346290,256,346543,346543,346287,3128,328,343086,55153,287678,342831,346287,256,346542,346542,346286,3128,333,343080,53890,288935,342825,346286,256,346541,346541,346285,3120,335,343085,53097,289733,342830,346285,256,346540,346540,346284,3120,339,343080,55136,287689,342825,346284,256,343092,346537,346537,2048,440507,2302082,18,18,11,11,10,10,9,9,6,6,5,5,4,4,3,3
128x128x128w16-16-64,313950,313950,313822,3406,382,310161,27728,282306,310034,313822,128,313942,313942,313814,3406,374,310161,28654,281380,310034,313814,128,313941,313941,313813,3406,373,310161,28440,281594,310034,313813,128,313940,313940,313812,3406,369,310164,27917,282120,310037,313812,128,313937,313937,313809,3404,340,310192,27535,282530,310065,313809,128,313936,313936,313808,3404,347,310184,27058,282999,310057,313808,128,313935,313935,313807,3404,357,310173,26737,283309,310046,313807,128,313934,313934,313806,3404,364,310165,26665,283373,310038,313806,128,310196,313931,313931,1024,220734,2259611,19,19,11,11,10,10,9,9,6,6,5,5,4,4,3,3
128x128x128w16-16-8,541782,541782,540758,2861,346,538574,218907,318644,537551,540758,1024,541777,541777,540753,2861,341,538574,218814,318737,537551,540753,1024,541776,541776,540752,2861,333,538581,217928,319630,537558,540752,1024,541775,541775,540751,2861,352,538561,216319,321219,537538,540751,1024,541772,541772,540748,2859,351,538561,219485,318053,537538,540748,1024,541771,541771,540747,2851,345,538574,218333,319218,537551,540747,1024,541770,541770,540746,2851,338,538580,215951,321606,537557,540746,1024,541769,541769,540745,2851,344,538573,218284,319266,537550,540745,1024,538586,541766,541766,8192,1744021,2556373,16,16,11,11,10,10,9,9,6,6,5,5,4,4,3,3
128x128x128w16-32-16,384743,384743,384487,3069,360,381313,55215,325843,381058,384487,256,384736,384736,384480,3069,379,381287,57775,323257,381032,384480,256,384735,384735,384479,3069,342,381323,56876,324192,381068,384479,256,384734,384734,384478,3069,377,381287,55519,325513,381032,384478,256,384731,384731,384475,3067,376,381287,55744,325288,381032,384475,256,384730,384730,384474,3067,374,381288,53458,327575,381033,384474,256,384729,384729,384473,3059,365,381304,54118,326931,381049,384473,256,384728,384728,384472,3059,356,381312,54105,326952,381057,384472,256,381327,384725,384725,2048,442810,2605551,18,18,11,11,10,10,9,9,6,6,5,5,4,4,3,3
128x128x128w16-32-32,344675,344675,344547,3336,386,340952,29587,311238,340825,344547,128,344670,344670,344542,3336,381,340952,29574,311251,340825,344542,128,344669,344669,344541,3336,372,340960,29522,311311,340833,344541,128,344668,344668,344540,3336,353,340978,26783,314068,340851,344540,128,344665,344665,344537,3334,387,340943,28930,311886,340816,344537,128,344664,344664,344536,3334,360,340969,26954,313888,340842,344536,128,344663,344663,344535,3326,376,340960,26306,314527,340833,344535,128,344662,344662,344534,3326,348,340987,27183,313677,340860,344534,128,340988,344659,344659,1024,224839,2501846,16,16,11,11,10,10,9,9,6,6,5,5,4,4,3,3
128x128x128w16-32-8,462867,462867,462355,2953,350,459563,110287,348765,459052,462355,512,462860,462860,462348,2953,342,459564,111463,347590,459053,462348,512,462859,462859,462347,2953,345,459560,112617,346432,459049,462347,512,462858,462858,462346,2953,374,459530,110016,349003,459019,462346,512,462855,462855,462343,2951,352,459551,111770,347270,459040,462343,512,462854,462854,462342,2951,372,459530,110969,348050,459019,462342,512,462853,462853,462341,2943,349,459560,107267,351782,459049,462341,512,462852,462852,462340,2943,361,459547,109899,349137,459036,462340,512,459567,462849,462849,4096,884288,2788029,18,18,11,11,10,10,9,9,6,6,5,5,4,4,3,3
128x128x128w16-64-16,355962,355962,355834,3258,449,352254,30631,321496,352127,355834,128,355954,355954,355826,3258,462,352233,32583,319523,352106,355826,128,355953,355953,355825,3258,437,352257,33268,318862,352130,355825,128,355952,355952,355824,3258,443,352250,29820,322303,352123,355824,128,355949,355949,355821,3256,469,352223,30665,321431,352096,355821,128,355948,355948,355820,3256,423,352268,28490,323651,352141,355820,128,355947,355947,355819,3248,432,352266,29110,323029,352139,355819,128,355946,355946,355818,3248,413,352284,29501,322656,352157,355818,128,352285,355943,355943,1024,244068,2572951,19,19,11,11,10,10,9,9,6,6,5,5,4,4,3,3
128x128x128w16-64-8,397424,397424,397168,3068,450,393905,56992,336658,393650,397168,256,397416,397416,397160,3068,455,393892,60072,333565,393637,397160,256,397415,397415,397159,3068,439,393907,56928,336724,393652,397159,256,397414,397414,397158,3068,410,393935,52554,341126,393680,397158,256,397411,397411,397155,3066,426,393918,54922,338741,393663,397155,256,397410,397410,397154,3066,475,393868,54620,338993,393613,397154,256,397409,397409,397153,3058,457,393893,53468,340170,393638,397153,256,397408,397408,397152,3058,465,393884,53871,339758,393629,397152,256,393940,397405,397405,2048,443427,2705735,19,19,11,11,10,10,9,9,6,6,5,5,4,4,3,3
