FakeNN JSON Name,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time,Before Computation_cc_0,After Computation_cc_0,Overlap Stall Time_cc_0,Raw Compute Time_cc_0,cc_tiles_cc_0,Before Computation_cc_1,After Computation_cc_1,Overlap Stall Time_cc_1,Raw Compute Time_cc_1,cc_tiles_cc_1,Before Computation_cc_2,After Computation_cc_2,Overlap Stall Time_cc_2,Raw Compute Time_cc_2,cc_tiles_cc_2,Before Computation_cc_3,After Computation_cc_3,Overlap Stall Time_cc_3,Raw Compute Time_cc_3,cc_tiles_cc_3,Before Computation_cc_4,After Computation_cc_4,Overlap Stall Time_cc_4,Raw Compute Time_cc_4,cc_tiles_cc_4,Before Computation_cc_5,After Computation_cc_5,Overlap Stall Time_cc_5,Raw Compute Time_cc_5,cc_tiles_cc_5,Before Computation_cc_6,After Computation_cc_6,Overlap Stall Time_cc_6,Raw Compute Time_cc_6,cc_tiles_cc_6,Before Computation_cc_7,After Computation_cc_7,Overlap Stall Time_cc_7,Raw Compute Time_cc_7,cc_tiles_cc_7,Total CC Tiles,Overlap Stall Time Total,Raw Compute Time Total
128x128x128w128-8-8,360741,360739,360740,360741,360744,360741,360732,360738,365066,360750,3618,723,50870,310340,256,3618,718,53335,307868,256,3618,716,51825,309377,256,3618,714,50076,311125,256,3616,710,51317,309883,256,3616,712,50271,310928,256,3616,720,50624,310574,256,3608,721,47949,313256,256,2048,406267,2483351
128x128x128w16-16-16,403002,402993,403008,403000,403000,402994,403002,402993,406252,403014,2922,348,107291,295549,512,2922,339,108867,293955,512,2922,325,109410,293413,512,2922,331,105927,296894,512,2920,332,105599,297223,512,2912,346,105675,297155,512,2912,338,106078,296752,512,2912,347,107414,295416,512,4096,856261,2366357
128x128x128w16-16-32,343079,343070,343068,343077,343085,343079,343084,343079,346537,343092,3130,344,55468,287701,256,3130,346,57459,285703,256,3130,347,56238,286923,256,3130,337,55440,287720,256,3128,328,55481,287678,256,3128,333,54223,288935,256,3120,335,53432,289733,256,3120,339,55475,287689,256,2048,443216,2302082
128x128x128w16-16-64,310160,310160,310160,310163,310191,310183,310172,310164,313931,310196,3406,382,28110,282306,128,3406,374,29028,281380,128,3406,373,28813,281594,128,3406,369,28286,282120,128,3404,340,27875,282530,128,3404,347,27405,282999,128,3404,357,27094,283309,128,3404,364,27029,283373,128,1024,223640,2259611
128x128x128w16-16-8,538573,538573,538580,538560,538560,538573,538579,538572,541766,538586,2861,346,219253,318644,1024,2861,341,219155,318737,1024,2861,333,218261,319630,1024,2861,352,216671,321219,1024,2859,351,219836,318053,1024,2851,345,218678,319218,1024,2851,338,216289,321606,1024,2851,344,218628,319266,1024,8192,1746771,2556373
128x128x128w16-32-16,381312,381286,381322,381286,381286,381287,381303,381311,384725,381327,3069,360,55575,325843,256,3069,379,58154,323257,256,3069,342,57218,324192,256,3069,377,55896,325513,256,3067,376,56120,325288,256,3067,374,53832,327575,256,3059,365,54483,326931,256,3059,356,54461,326952,256,2048,445739,2605551
128x128x128w16-32-32,340951,340951,340959,340977,340942,340968,340959,340986,344659,340988,3336,386,29973,311238,128,3336,381,29955,311251,128,3336,372,29894,311311,128,3336,353,27136,314068,128,3334,387,29317,311886,128,3334,360,27314,313888,128,3326,376,26682,314527,128,3326,348,27531,313677,128,1024,227802,2501846
128x128x128w16-32-8,459562,459563,459559,459529,459550,459529,459559,459546,462849,459567,2953,350,110637,348765,512,2953,342,111805,347590,512,2953,345,112962,346432,512,2953,374,110390,349003,512,2951,352,112122,347270,512,2951,372,111341,348050,512,2943,349,107616,351782,512,2943,361,110260,349137,512,4096,887133,2788029
128x128x128w16-64-16,352253,352232,352256,352249,352222,352267,352265,352283,355943,352285,3258,449,31080,321496,128,3258,462,33045,319523,128,3258,437,33705,318862,128,3258,443,30263,322303,128,3256,469,31134,321431,128,3256,423,28913,323651,128,3248,432,29542,323029,128,3248,413,29914,322656,128,1024,247596,2572951
128x128x128w16-64-8,393904,393891,393906,393934,393917,393867,393892,393883,397405,393940,3068,450,57442,336658,256,3068,455,60527,333565,256,3068,439,57367,336724,256,3068,410,52964,341126,256,3066,426,55348,338741,256,3066,475,55095,338993,256,3058,457,53925,340170,256,3058,465,54336,339758,256,2048,447004,2705735
128x128x128w16-8-16,518158,518153,518163,518161,518157,518145,518170,518154,521373,518171,2899,330,215633,301833,1024,2899,330,219129,298332,1024,2899,319,217269,300191,1024,2899,320,217674,299785,1024,2897,323,218741,298717,1024,2897,334,215155,302302,1024,2889,316,215898,301566,1024,2889,331,216421,301042,1024,8192,1735920,2403768
128x128x128w16-8-32,397216,397206,397215,397223,397217,397199,397232,397232,400569,397234,3047,324,108829,288201,512,3047,325,111221,285800,512,3047,315,109145,287875,512,3047,306,108538,288481,512,3045,311,107221,289797,512,3045,328,108386,288631,512,3037,302,109534,287490,512,3037,302,108771,288253,512,4096,871645,2304528
