FakeNN JSON Name,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time
128x128x128w128-8-8,360741,360739,360740,360741,360744,360741,360732,360738,365066,360750
128x128x128w16-16-16,403002,402993,403008,403000,403000,402994,403002,402993,406252,403014
128x128x128w16-16-32,343079,343070,343068,343077,343085,343079,343084,343079,346537,343092
128x128x128w16-16-64,310160,310160,310160,310163,310191,310183,310172,310164,313931,310196
128x128x128w16-16-8,538573,538573,538580,538560,538560,538573,538579,538572,541766,538586
128x128x128w16-32-16,381312,381286,381322,381286,381286,381287,381303,381311,384725,381327
128x128x128w16-32-32,340951,340951,340959,340977,340942,340968,340959,340986,344659,340988
128x128x128w16-32-8,459562,459563,459559,459529,459550,459529,459559,459546,462849,459567
128x128x128w16-64-16,352253,352232,352256,352249,352222,352267,352265,352283,355943,352285
128x128x128w16-64-8,393904,393891,393906,393934,393917,393867,393892,393883,397405,393940
128x128x128w16-8-16,518158,518153,518163,518161,518157,518145,518170,518154,521373,518171
128x128x128w16-8-32,397216,397206,397215,397223,397217,397199,397232,397232,400569,397234
128x128x128w16-8-64,338652,338647,338653,338628,338645,338655,338642,338640,342267,338663
128x128x128w16-8-8,764234,764235,764234,764236,764218,764227,764227,764227,767350,764243
128x128x128w32-16-16,346688,346685,346701,346692,346692,346670,346708,346684,350218,346709
128x128x128w32-16-32,313244,313232,313232,313243,313264,313253,313259,313244,317026,313271
128x128x128w32-16-8,422285,422279,422281,422301,422268,422271,422295,422279,425674,422307
128x128x128w32-32-16,349198,349174,349195,349233,349222,349249,349224,349240,352969,349257
128x128x128w32-32-32,320141,320121,320140,320195,320161,320202,320202,320202,324204,320205
128x128x128w32-32-8,396119,396106,396121,396149,396132,396082,396107,396098,399694,396155
128x128x128w32-8-16,411382,411376,411376,411378,411360,411384,411376,411374,414802,411392
128x128x128w32-8-32,340702,340701,340702,340717,340685,340710,340697,340695,344371,340723
128x128x128w32-8-8,533823,533818,533818,533827,533825,533819,533819,533828,537160,533834
128x128x128w64-16-16,317461,317458,317479,317475,317486,317464,317473,317484,321399,317493
128x128x128w64-16-8,364339,364343,364331,364328,364321,364331,364367,364361,368146,364368
128x128x128w64-8-16,347667,347665,347669,347667,347670,347658,347666,347646,351473,347677
128x128x128w64-8-8,417874,417873,417874,417880,417891,417903,417894,417894,421577,417904
128x128x128w8-128-8,397431,397418,397433,397461,397444,397402,397419,397410,400977,397468
128x128x128w8-16-16,520203,520203,520204,520206,520206,520216,520203,520200,523358,520217
128x128x128w8-16-32,401278,401272,401278,401274,401277,401281,401286,401289,404561,401291
128x128x128w8-16-64,340286,340288,340286,340310,340275,340295,340284,340282,343809,340316
128x128x128w8-16-8,773080,773066,773082,773066,773066,773072,773079,773079,776152,773087
128x128x128w8-32-16,441307,441271,441311,441313,441297,441301,441320,441312,444563,441321
128x128x128w8-32-32,371100,371108,371085,371085,371083,371092,371100,371100,374615,371113
128x128x128w8-32-8,578124,578113,578126,578113,578134,578116,578142,578143,581274,578145
128x128x128w8-64-16,381716,381722,381717,381731,381723,381684,381701,381713,385170,381737
128x128x128w8-64-8,458183,458172,458194,458189,458195,458180,458212,458196,461473,458213
128x128x128w8-8-128,312661,312662,312664,312672,312649,312656,312655,312659,316141,312673
128x128x128w8-8-16,755665,755662,755674,755668,755671,755673,755662,755660,758769,755681
128x128x128w8-8-32,513505,513505,513506,513484,513488,513495,513501,513504,516716,513511
128x128x128w8-8-64,396229,396237,396234,396242,396251,396243,396249,396247,399643,396258
128x128x128w8-8-8,1209558,1209559,1209542,1209542,1209542,1209544,1209559,1209553,1212585,1209563
