FakeNN JSON Name,Global Sim E2E_cc_0,Core Complex E2E_cc_0,Sum Region Cycles_cc_0,Before Computation_cc_0,After Computation_cc_0,core0,Overlap Stall Time_cc_0,Raw Compute Time_cc_0,Sum Raw Compute + Overlap Stall_cc_0,Sum Compute+Stall+Pro+Epi_cc_0,cc_tiles_cc_0,Global Sim E2E_cc_1,Core Complex E2E_cc_1,Sum Region Cycles_cc_1,Before Computation_cc_1,After Computation_cc_1,core1,Overlap Stall Time_cc_1,Raw Compute Time_cc_1,Sum Raw Compute + Overlap Stall_cc_1,Sum Compute+Stall+Pro+Epi_cc_1,cc_tiles_cc_1,Global Sim E2E_cc_2,Core Complex E2E_cc_2,Sum Region Cycles_cc_2,Before Computation_cc_2,After Computation_cc_2,core2,Overlap Stall Time_cc_2,Raw Compute Time_cc_2,Sum Raw Compute + Overlap Stall_cc_2,Sum Compute+Stall+Pro+Epi_cc_2,cc_tiles_cc_2,Global Sim E2E_cc_3,Core Complex E2E_cc_3,Sum Region Cycles_cc_3,Before Computation_cc_3,After Computation_cc_3,core3,Overlap Stall Time_cc_3,Raw Compute Time_cc_3,Sum Raw Compute + Overlap Stall_cc_3,Sum Compute+Stall+Pro+Epi_cc_3,cc_tiles_cc_3,Global Sim E2E_cc_4,Core Complex E2E_cc_4,Sum Region Cycles_cc_4,Before Computation_cc_4,After Computation_cc_4,core4,Overlap Stall Time_cc_4,Raw Compute Time_cc_4,Sum Raw Compute + Overlap Stall_cc_4,Sum Compute+Stall+Pro+Epi_cc_4,cc_tiles_cc_4,Global Sim E2E_cc_5,Core Complex E2E_cc_5,Sum Region Cycles_cc_5,Before Computation_cc_5,After Computation_cc_5,core5,Overlap Stall Time_cc_5,Raw Compute Time_cc_5,Sum Raw Compute + Overlap Stall_cc_5,Sum Compute+Stall+Pro+Epi_cc_5,cc_tiles_cc_5,Global Sim E2E_cc_6,Core Complex E2E_cc_6,Sum Region Cycles_cc_6,Before Computation_cc_6,After Computation_cc_6,core6,Overlap Stall Time_cc_6,Raw Compute Time_cc_6,Sum Raw Compute + Overlap Stall_cc_6,Sum Compute+Stall+Pro+Epi_cc_6,cc_tiles_cc_6,Global Sim E2E_cc_7,Core Complex E2E_cc_7,Sum Region Cycles_cc_7,Before Computation_cc_7,After Computation_cc_7,core7,Overlap Stall Time_cc_7,Raw Compute Time_cc_7,Sum Raw Compute + Overlap Stall_cc_7,Sum Compute+Stall+Pro+Epi_cc_7,cc_tiles_cc_7,Kernel Time,dma,Global Sim E2E_dma,Total CC Tiles,Overlap Stall Time Total,Raw Compute Time Total,Diff from dma E2E_cc_0,Sum Regions - Core Complex E2E_cc_0,Diff from dma E2E_cc_1,Sum Regions - Core Complex E2E_cc_1,Diff from dma E2E_cc_2,Sum Regions - Core Complex E2E_cc_2,Diff from dma E2E_cc_3,Sum Regions - Core Complex E2E_cc_3,Diff from dma E2E_cc_4,Sum Regions - Core Complex E2E_cc_4,Diff from dma E2E_cc_5,Sum Regions - Core Complex E2E_cc_5,Diff from dma E2E_cc_6,Sum Regions - Core Complex E2E_cc_6,Diff from dma E2E_cc_7,Sum Regions - Core Complex E2E_cc_7
384x384x384w12-16-64,11220724.0,11220724.0,11216116.0,3401.0,371.0,11216951.0,1175496.0,10036848.0,11212344.0,11216116.0,4608.0,11220714.0,11220714.0,11216106.0,3393.0,393.0,11216927.0,1168783.0,10043537.0,11212320.0,11216106.0,4608.0,11220713.0,11220713.0,11216105.0,3393.0,378.0,11216941.0,1169423.0,10042911.0,11212334.0,11216105.0,4608.0,11220712.0,11220712.0,11216104.0,3393.0,365.0,11216953.0,1136159.0,10076187.0,11212346.0,11216104.0,4608.0,11220709.0,11220709.0,11216101.0,3391.0,1418.0,11215899.0,5991000.0,5220292.0,11211292.0,11216101.0,4608.0,11220708.0,11220708.0,11216100.0,3391.0,1412.0,11215904.0,5973553.0,5237744.0,11211297.0,11216100.0,4608.0,11220707.0,11220707.0,11216099.0,3391.0,1427.0,11215888.0,5966992.0,5244289.0,11211281.0,11216099.0,4608.0,11220706.0,11220706.0,11216098.0,3391.0,1421.0,11215893.0,5967645.0,5243641.0,11211286.0,11216098.0,4608.0,11216958.0,11220703.0,11220703.0,36864.0,28549051.0,61145449.0,21.0,21.0,11.0,11.0,10.0,10.0,9.0,9.0,6.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0
384x384x384w12-64-16,12167325.0,12167325.0,12162717.0,3299.0,467.0,12163558.0,1196316.0,10962635.0,12158951.0,12162717.0,4608.0,12167309.0,12167309.0,12162701.0,3299.0,426.0,12163583.0,1238727.0,10920249.0,12158976.0,12162701.0,4608.0,12167309.0,12167309.0,12162701.0,3299.0,469.0,12163540.0,1199626.0,10959307.0,12158933.0,12162701.0,4608.0,12167309.0,12167309.0,12162701.0,3299.0,442.0,12163567.0,1135284.0,11023676.0,12158960.0,12162701.0,4608.0,12167307.0,12167307.0,12162699.0,3297.0,1569.0,12162440.0,6235694.0,5922139.0,12157833.0,12162699.0,4608.0,12167307.0,12167307.0,12162699.0,3297.0,1567.0,12162442.0,6210667.0,5947168.0,12157835.0,12162699.0,4608.0,12167307.0,12167307.0,12162699.0,3297.0,1542.0,12162467.0,6189078.0,5968782.0,12157860.0,12162699.0,4608.0,12167299.0,12167299.0,12162691.0,3289.0,1534.0,12162475.0,6203132.0,5954736.0,12157868.0,12162691.0,4608.0,12163585.0,12167297.0,12167297.0,36864.0,29608524.0,67658692.0,28.0,28.0,12.0,12.0,12.0,12.0,12.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0
384x384x384w16-16-64,8532675.0,8532675.0,8529219.0,3452.0,409.0,8528813.0,910946.0,7614412.0,8525358.0,8529219.0,3456.0,8532666.0,8532666.0,8529210.0,3452.0,400.0,8528813.0,919750.0,7605608.0,8525358.0,8529210.0,3456.0,8532665.0,8532665.0,8529209.0,3444.0,399.0,8528821.0,895705.0,7629661.0,8525366.0,8529209.0,3456.0,8532664.0,8532664.0,8529208.0,3444.0,391.0,8528828.0,886578.0,7638795.0,8525373.0,8529208.0,3456.0,8532661.0,8532661.0,8529205.0,3442.0,410.0,8528808.0,877450.0,7647903.0,8525353.0,8529205.0,3456.0,8532660.0,8532660.0,8529204.0,3442.0,405.0,8528812.0,867050.0,7658307.0,8525357.0,8529204.0,3456.0,8532659.0,8532659.0,8529203.0,3442.0,403.0,8528813.0,854258.0,7671100.0,8525358.0,8529203.0,3456.0,8532658.0,8532658.0,8529202.0,3442.0,392.0,8528823.0,874676.0,7650692.0,8525368.0,8529202.0,3456.0,8528829.0,8532655.0,8532655.0,27648.0,7086413.0,61116478.0,20.0,20.0,11.0,11.0,10.0,10.0,9.0,9.0,6.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0
384x384x384w16-24-32,8785189.0,8785189.0,8780581.0,3323.0,398.0,8781467.0,1146651.0,7630209.0,8776860.0,8780581.0,4608.0,8785180.0,8785180.0,8780572.0,3323.0,421.0,8781435.0,1164432.0,7612396.0,8776828.0,8780572.0,4608.0,8785180.0,8785180.0,8780572.0,3323.0,411.0,8781445.0,1171559.0,7605279.0,8776838.0,8780572.0,4608.0,8785180.0,8785180.0,8780572.0,3323.0,416.0,8781440.0,1152265.0,7624568.0,8776833.0,8780572.0,4608.0,8785178.0,8785178.0,8780570.0,3321.0,409.0,8781447.0,1122097.0,7654743.0,8776840.0,8780570.0,4608.0,8785178.0,8785178.0,8780570.0,3321.0,398.0,8781458.0,1102243.0,7674608.0,8776851.0,8780570.0,4608.0,8785178.0,8785178.0,8780570.0,3321.0,389.0,8781467.0,1100747.0,7676113.0,8776860.0,8780570.0,4608.0,8785170.0,8785170.0,8780562.0,3313.0,395.0,8781461.0,1103680.0,7673174.0,8776854.0,8780562.0,4608.0,8781474.0,8785168.0,8785168.0,36864.0,9063674.0,61151090.0,21.0,21.0,12.0,12.0,12.0,12.0,12.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0
384x384x384w16-32-24,9791061.0,9791061.0,9786453.0,3294.0,405.0,9787361.0,1072081.0,8710673.0,9782754.0,9786453.0,4608.0,9791051.0,9791051.0,9786443.0,3294.0,414.0,9787342.0,1118831.0,8663904.0,9782735.0,9786443.0,4608.0,9791050.0,9791050.0,9786442.0,3294.0,420.0,9787335.0,1087227.0,8695501.0,9782728.0,9786442.0,4608.0,9791049.0,9791049.0,9786441.0,3294.0,385.0,9787369.0,1040369.0,8742393.0,9782762.0,9786441.0,4608.0,9791046.0,9791046.0,9786438.0,3292.0,402.0,9787351.0,1074439.0,8708305.0,9782744.0,9786438.0,4608.0,9791045.0,9791045.0,9786437.0,3284.0,415.0,9787345.0,1031692.0,8751046.0,9782738.0,9786437.0,4608.0,9791044.0,9791044.0,9786436.0,3284.0,407.0,9787352.0,1048225.0,8734520.0,9782745.0,9786436.0,4608.0,9791043.0,9791043.0,9786435.0,3284.0,424.0,9787334.0,1037322.0,8745405.0,9782727.0,9786435.0,4608.0,9787375.0,9791040.0,9791040.0,36864.0,8510186.0,69751747.0,21.0,21.0,11.0,11.0,10.0,10.0,9.0,9.0,6.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0
384x384x384w16-32-32,9237628.0,9237628.0,9234172.0,3411.0,439.0,9233777.0,859072.0,8371250.0,9230322.0,9234172.0,3456.0,9237618.0,9237618.0,9234162.0,3411.0,415.0,9233791.0,873733.0,8356603.0,9230336.0,9234162.0,3456.0,9237618.0,9237618.0,9234162.0,3411.0,451.0,9233755.0,872805.0,8357495.0,9230300.0,9234162.0,3456.0,9237618.0,9237618.0,9234162.0,3411.0,438.0,9233768.0,843876.0,8386437.0,9230313.0,9234162.0,3456.0,9237616.0,9237616.0,9234160.0,3409.0,406.0,9233800.0,844718.0,8385627.0,9230345.0,9234160.0,3456.0,9237616.0,9237616.0,9234160.0,3409.0,430.0,9233776.0,815008.0,8415313.0,9230321.0,9234160.0,3456.0,9237616.0,9237616.0,9234160.0,3409.0,414.0,9233792.0,834617.0,8395720.0,9230337.0,9234160.0,3456.0,9237616.0,9237616.0,9234160.0,3409.0,422.0,9233784.0,812224.0,8418105.0,9230329.0,9234160.0,3456.0,9233804.0,9237606.0,9237606.0,27648.0,6756053.0,67086550.0,22.0,22.0,12.0,12.0,12.0,12.0,12.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
384x384x384w16-48-16,9012389.0,9012389.0,9007781.0,3237.0,445.0,9008706.0,1177977.0,7826122.0,9004099.0,9007781.0,4608.0,9012380.0,9012380.0,9007772.0,3237.0,450.0,9008692.0,1182299.0,7821786.0,9004085.0,9007772.0,4608.0,9012379.0,9012379.0,9007771.0,3237.0,447.0,9008694.0,1170547.0,7833540.0,9004087.0,9007771.0,4608.0,9012378.0,9012378.0,9007770.0,3237.0,452.0,9008688.0,1141500.0,7862581.0,9004081.0,9007770.0,4608.0,9012375.0,9012375.0,9007767.0,3235.0,448.0,9008691.0,1150849.0,7853235.0,9004084.0,9007767.0,4608.0,9012374.0,9012374.0,9007766.0,3235.0,442.0,9008696.0,1113207.0,7890882.0,9004089.0,9007766.0,4608.0,9012373.0,9012373.0,9007765.0,3235.0,443.0,9008694.0,1122956.0,7881131.0,9004087.0,9007765.0,4608.0,9012372.0,9012372.0,9007764.0,3235.0,423.0,9008713.0,1102876.0,7901230.0,9004106.0,9007764.0,4608.0,9008720.0,9012369.0,9012369.0,36864.0,9162211.0,62870507.0,20.0,20.0,11.0,11.0,10.0,10.0,9.0,9.0,6.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0
384x384x384w16-64-12,9855865.0,9855865.0,9851257.0,3224.0,492.0,9852148.0,1258087.0,8589454.0,9847541.0,9851257.0,4608.0,9855858.0,9855858.0,9851250.0,3224.0,505.0,9852128.0,1122632.0,8724889.0,9847521.0,9851250.0,4608.0,9855857.0,9855857.0,9851249.0,3224.0,511.0,9852121.0,1121417.0,8726097.0,9847514.0,9851249.0,4608.0,9855856.0,9855856.0,9851248.0,3224.0,477.0,9852154.0,1018329.0,8829218.0,9847547.0,9851248.0,4608.0,9855853.0,9855853.0,9851245.0,3222.0,458.0,9852172.0,1044079.0,8803486.0,9847565.0,9851245.0,4608.0,9855852.0,9855852.0,9851244.0,3214.0,447.0,9852190.0,1025737.0,8821846.0,9847583.0,9851244.0,4608.0,9855851.0,9855851.0,9851243.0,3214.0,441.0,9852195.0,983464.0,8864124.0,9847588.0,9851243.0,4608.0,9855850.0,9855850.0,9851242.0,3214.0,448.0,9852187.0,999958.0,8847622.0,9847580.0,9851242.0,4608.0,9852196.0,9855847.0,9855847.0,36864.0,8573703.0,70206736.0,18.0,18.0,11.0,11.0,10.0,10.0,9.0,9.0,6.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0
384x384x384w16-64-16,9590041.0,9590041.0,9586585.0,3355.0,504.0,9586181.0,958070.0,8624656.0,9582726.0,9586585.0,3456.0,9590030.0,9590030.0,9586574.0,3355.0,479.0,9586195.0,1002077.0,8580663.0,9582740.0,9586574.0,3456.0,9590030.0,9590030.0,9586574.0,3355.0,560.0,9586114.0,1002748.0,8579911.0,9582659.0,9586574.0,3456.0,9590030.0,9590030.0,9586574.0,3355.0,510.0,9586164.0,874246.0,8708463.0,9582709.0,9586574.0,3456.0,9590028.0,9590028.0,9586572.0,3353.0,463.0,9586211.0,899034.0,8683722.0,9582756.0,9586572.0,3456.0,9590028.0,9590028.0,9586572.0,3353.0,493.0,9586181.0,869566.0,8713160.0,9582726.0,9586572.0,3456.0,9590028.0,9590028.0,9586572.0,3353.0,477.0,9586197.0,871258.0,8711484.0,9582742.0,9586572.0,3456.0,9590020.0,9590020.0,9586564.0,3353.0,469.0,9586197.0,853493.0,8729249.0,9582742.0,9586564.0,3456.0,9586215.0,9590018.0,9590018.0,27648.0,7330492.0,69331308.0,23.0,23.0,12.0,12.0,12.0,12.0,12.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0
384x384x384w24-16-32,8928311.0,8928311.0,8923703.0,3338.0,428.0,8924544.0,1201341.0,7718596.0,8919937.0,8923703.0,4608.0,8928302.0,8928302.0,8923694.0,3330.0,444.0,8924527.0,1209616.0,7710304.0,8919920.0,8923694.0,4608.0,8928301.0,8928301.0,8923693.0,3330.0,426.0,8924544.0,1208990.0,7710947.0,8919937.0,8923693.0,4608.0,8928300.0,8928300.0,8923692.0,3330.0,436.0,8924533.0,1165229.0,7754697.0,8919926.0,8923692.0,4608.0,8928297.0,8928297.0,8923689.0,3328.0,440.0,8924528.0,1175848.0,7744073.0,8919921.0,8923689.0,4608.0,8928296.0,8928296.0,8923688.0,3328.0,451.0,8924516.0,1154147.0,7765762.0,8919909.0,8923688.0,4608.0,8928295.0,8928295.0,8923687.0,3328.0,433.0,8924533.0,1125638.0,7794288.0,8919926.0,8923687.0,4608.0,8928294.0,8928294.0,8923686.0,3328.0,448.0,8924517.0,1171459.0,7748451.0,8919910.0,8923686.0,4608.0,8924551.0,8928291.0,8928291.0,36864.0,9412268.0,61947118.0,20.0,20.0,11.0,11.0,10.0,10.0,9.0,9.0,6.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0
