FakeNN JSON Name,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time
512x512x512w128-8-8,23673121.0,23673108.0,23673108.0,23673110.0,23673118.0,23673100.0,23673107.0,23673105.0,23677370.0,23673126.0
512x512x512w16-16-16,26268120.0,26268117.0,26268117.0,26268122.0,26268123.0,26268117.0,26268115.0,26268118.0,26271390.0,26268131.0
512x512x512w16-16-32,22173454.0,22173452.0,22173454.0,22173459.0,22173443.0,22173446.0,22173462.0,22173450.0,22176918.0,22173465.0
512x512x512w16-16-64,19970987.0,19970968.0,19970981.0,19971002.0,19970995.0,19971014.0,19970996.0,19970979.0,19974730.0,19971022.0
512x512x512w16-16-8,,,,,,,,,,
512x512x512w16-32-16,24867655.0,24867625.0,24867634.0,24867636.0,24867633.0,24867645.0,24867636.0,24867628.0,24871055.0,24867658.0
512x512x512w16-32-32,22074795.0,22074805.0,22074768.0,22074778.0,22074778.0,22074786.0,22074804.0,22074804.0,22078505.0,22074810.0
512x512x512w16-32-8,29764123.0,29764138.0,29764075.0,29764138.0,29764108.0,29764132.0,29764134.0,29764129.0,29767414.0,29764144.0
512x512x512w16-64-16,22604324.0,22604317.0,22604276.0,22604328.0,22604312.0,22604330.0,22604324.0,22604339.0,22607977.0,22604341.0
512x512x512w16-64-8,25699269.0,25699230.0,25699279.0,25699300.0,25699294.0,25699309.0,25699312.0,25699295.0,25702785.0,25699317.0
512x512x512w16-8-16,33325362.0,33325363.0,33325363.0,33325368.0,33325364.0,33325361.0,33325371.0,33325358.0,33328575.0,33325375.0
512x512x512w16-8-32,25776654.0,25776658.0,25776633.0,25776657.0,25776648.0,25776643.0,25776651.0,25776659.0,25779996.0,25776663.0
512x512x512w16-8-64,21844651.0,21844648.0,21844648.0,21844627.0,21844633.0,21844640.0,21844645.0,21844648.0,21848241.0,21844654.0
512x512x512w16-8-8,,,,,,,,,,
512x512x512w32-16-16,22445620.0,22445615.0,22445617.0,22445620.0,22445637.0,22445607.0,22445616.0,22445612.0,22449111.0,22445644.0
512x512x512w32-16-32,20245561.0,20245561.0,20245567.0,20245567.0,20245542.0,20245553.0,20245606.0,20245560.0,20249338.0,20245607.0
512x512x512w32-16-8,27442490.0,27442488.0,27442490.0,27442494.0,27442493.0,27442499.0,27442500.0,27442504.0,27445859.0,27442507.0
512x512x512w32-32-16,22534431.0,22534418.0,22534455.0,22534466.0,22534464.0,22534482.0,22534474.0,22534462.0,22538166.0,22534490.0
512x512x512w32-32-32,20612691.0,20612616.0,20612680.0,20612698.0,20612704.0,20612698.0,20612705.0,20612690.0,20616746.0,20612712.0
512x512x512w32-32-8,25703711.0,25703735.0,25703741.0,25703758.0,25703750.0,25703743.0,25703758.0,25703702.0,25707277.0,25703764.0
512x512x512w32-8-16,26269572.0,26269566.0,26269578.0,26269578.0,26269567.0,26269580.0,26269565.0,26269580.0,26272976.0,26269588.0
512x512x512w32-8-32,22143498.0,22143482.0,22143502.0,22143498.0,22143516.0,22143475.0,22143510.0,22143492.0,22147158.0,22143523.0
512x512x512w32-8-8,34643022.0,34643020.0,34643010.0,34643024.0,34643025.0,34643017.0,34643019.0,34643026.0,34646315.0,34643033.0
512x512x512w64-16-16,20678531.0,20678523.0,20678497.0,20678507.0,20678513.0,20678517.0,20678539.0,20678540.0,20682438.0,20678542.0
512x512x512w64-16-8,23651309.0,23651326.0,23651317.0,23651323.0,23651301.0,23651308.0,23651336.0,23651342.0,23655119.0,23651344.0
512x512x512w64-8-16,22595536.0,22595534.0,22595537.0,22595541.0,22595543.0,22595557.0,22595565.0,22595562.0,22599350.0,22595566.0
