FakeNN JSON Name,M,N,K,m,n,k,JSON Name,remainderTiles,Space Remaining,Space Needed in L1,tileC,Reduction Dim,Row Dim,tileA_cc,tileB,m Dim,tileC_cc,Weight Matrix Tile Size,tileA,tileB_cc,Keep,m_tiles,n_tiles,k_tiles,SSR Config Count,Regular Loads,Total CL Tiles,oldRegPerStream,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,L3 Loads,L3 Stores,A',SSR Loads,HW Loops,FMADDs,MULs,FMADDsMULs,SSR Loads per HW Loop,HW Loops / SSR Loads per HW Loop,A'',B',C'',CC Tile Size,A''/ B',(A''+ B') / C'',m'_sz / k_size,n'_sz / k_size,myRegPerStream,HW Loops / SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,A SSR Loads,Core : A SSR Reuse Loads,Reused / Total SSR Loads,Total SSR Loads,FMADDsPerCore,Avg A'',Avg B',Avg C'',Avg CC Tile Size,Avg (A''+ B') / C'',Avg L3 Loads,Avg L3 Stores,Avg A''/ B',Avg A',Avg m'_sz / k_size,Avg n'_sz / k_size
128x128x128w39-24-26,128,128,128,39,24,26,39-24-26,MNK,73504,41184,7488,26,24,832,4992,39,768,9984,8112,4992,True,4,6,5,960,0,120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,163840,81920,98304,4194304.0,10240.0,2015232,81920.0,2097152.0,393216,25.025641025641022,98304,524288,81920,704512,213.33333333333331,10158.933333333334,150.15384615384613,800.8205128205128,200.20512820512818,200.20512820512818,262144.0,1835008.0,262144.0,2097152.0,2097152.0,0.8528083028083029,420.0,4194304.0,2099.2,102.4,546.1333333333333,85.33333333333333,733.8666666666667,10.582222222222223,1365.3333333333333,682.6666666666666,0.2222222222222222,819.2,0.15641025641025638,0.8341880341880342
128x128x128w24-32-30,128,128,128,24,32,30,24-32-30,M0K,75520,39168,6144,30,32,720,7680,24,768,15360,5760,7680,True,6,4,5,960,0,120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,163840,81920,65536,4194304.0,10240.0,2015232,81920.0,2097152.0,393216,33.06666666666667,65536,786432,81920,933888,80.0,11690.666666666668,132.26666666666668,1587.1999999999998,264.53333333333336,264.53333333333336,262144.0,1835008.0,262144.0,2097152.0,2097152.0,0.7873015873015872,420.0,4194304.0,2099.2,68.26666666666667,819.2,85.33333333333333,972.8,12.177777777777779,1365.3333333333333,682.6666666666666,0.08333333333333333,546.1333333333333,0.1377777777777778,1.653333333333333
128x128x128w35-24-28,128,128,128,35,24,28,35-24-28,MNK,74816,39872,6720,28,24,896,5376,35,768,10752,7840,5376,True,4,6,5,960,0,120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,163840,81920,98304,4194304.0,10240.0,2015232,81920.0,2097152.0,393216,26.285714285714285,98304,524288,81920,704512,213.33333333333331,7803.733333333333,157.7142857142857,841.142857142857,210.28571428571428,210.28571428571428,262144.0,1835008.0,262144.0,2097152.0,2097152.0,0.6558390022675735,420.0,4194304.0,2099.2,102.4,546.1333333333333,85.33333333333333,733.8666666666667,8.128888888888888,1365.3333333333333,682.6666666666666,0.2222222222222222,819.2,0.16428571428571426,0.8761904761904761
128x128x128w22-32-28,128,128,128,22,32,28,22-32-28,M0K,79232,35456,5632,28,32,448,7168,22,512,14336,4928,7168,True,6,4,5,960,0,120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,163840,81920,65536,4194304.0,10240.0,2015232,81920.0,2097152.0,393216,26.285714285714285,65536,786432,81920,933888,80.0,10325.333333333332,105.14285714285714,1261.7142857142856,210.2857142857143,210.28571428571428,262144.0,1835008.0,262144.0,2097152.0,2097152.0,0.5476190476190476,420.0,4194304.0,2099.2,68.26666666666667,819.2,85.33333333333333,972.8,10.755555555555555,1365.3333333333333,682.6666666666666,0.08333333333333333,546.1333333333333,0.10952380952380952,1.314285714285714
128x128x128w33-24-29,128,128,128,33,24,29,33-24-29,MNK,75568,39120,6336,29,24,928,5568,33,768,11136,7656,5568,True,4,6,5,960,0,120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,163840,81920,98304,4194304.0,10240.0,2015232,81920.0,2097152.0,393216,28.321839080459768,98304,524288,81920,704512,213.33333333333331,7586.133333333333,169.93103448275858,906.2988505747127,226.57471264367814,226.57471264367814,262144.0,1835008.0,262144.0,2097152.0,2097152.0,0.6827586206896551,420.0,4194304.0,2099.2,102.4,546.1333333333333,85.33333333333333,733.8666666666667,7.902222222222222,1365.3333333333333,682.6666666666666,0.2222222222222222,819.2,0.17701149425287352,0.9440613026819924
128x128x128w26-24-38,128,128,128,26,24,38,26-24-38,MNK,74304,40384,4992,38,24,912,7296,26,576,14592,7904,7296,True,5,6,4,960,0,120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180224,65536,98304,4194304.0,8192.0,2031616,65536.0,2097152.0,491520,19.24812030075188,98304,655360,65536,819200,170.66666666666666,11434.666666666666,115.48872180451127,769.9248120300751,153.98496240601503,153.98496240601503,262144.0,1835008.0,262144.0,2097152.0,2097152.0,0.7256235827664399,420.0,4194304.0,2116.266666666667,102.4,682.6666666666666,68.26666666666667,853.3333333333334,11.91111111111111,1501.8666666666666,546.1333333333333,0.17777777777777776,819.2,0.12030075187969924,0.8020050125313283
128x128x128w27-32-27,128,128,128,27,32,27,27-32-27,M0K,75376,39312,6912,27,32,648,6912,27,768,13824,5832,6912,True,5,4,5,800,0,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,147456,81920,65536,4194304.0,10240.0,2015232,81920.0,2097152.0,327680,25.36296296296296,65536,655360,81920,802816,80.0,7296.0,101.45185185185184,1014.5185185185185,202.90370370370368,202.90370370370368,262144.0,1835008.0,262144.0,2097152.0,2097152.0,0.367989417989418,350.0,4194304.0,2519.04,81.92,819.2,102.4,1003.52,9.12,1474.56,819.2,0.1,655.36,0.1268148148148148,1.268148148148148
128x128x128w32-24-29,128,128,128,32,24,29,32-24-29,0NK,76416,38272,6144,29,24,928,5568,32,768,11136,7424,5568,True,4,6,5,960,0,120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,163840,81920,98304,4194304.0,10240.0,2015232,81920.0,2097152.0,393216,28.32183908045977,98304,524288,81920,704512,213.33333333333331,7509.333333333334,169.9310344827586,906.2988505747127,226.57471264367817,226.57471264367817,262144.0,1835008.0,262144.0,2097152.0,2097152.0,0.6743295019157088,420.0,4194304.0,2099.2,102.4,546.1333333333333,85.33333333333333,733.8666666666667,7.822222222222223,1365.3333333333333,682.6666666666666,0.2222222222222222,819.2,0.17701149425287355,0.9440613026819924
128x128x128w34-24-29,128,128,128,34,24,29,34-24-29,MNK,74720,39968,6528,29,24,928,5568,34,768,11136,7888,5568,True,4,6,5,960,0,120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,163840,81920,98304,4194304.0,10240.0,2015232,81920.0,2097152.0,393216,28.321839080459775,98304,524288,81920,704512,213.33333333333331,7662.9333333333325,169.93103448275863,906.2988505747127,226.5747126436782,226.5747126436782,262144.0,1835008.0,262144.0,2097152.0,2097152.0,0.6911877394636017,420.0,4194304.0,2099.2,102.4,546.1333333333333,85.33333333333333,733.8666666666667,7.982222222222221,1365.3333333333333,682.6666666666666,0.2222222222222222,819.2,0.17701149425287357,0.9440613026819924
128x128x128w25-32-31,128,128,128,25,32,31,25-32-31,M0K,73616,41072,6400,31,32,744,7936,25,768,15872,6200,7936,True,6,4,5,860,0,120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,163840,81920,65536,4194304.0,10240.0,2015232,81920.0,2097152.0,352256,48.516129032258064,65536,704512,81920,851968,80.0,8837.333333333336,194.06451612903226,2086.1935483870966,382.44354838709677,388.1290322580645,262144.0,1835008.0,262144.0,2097152.0,2097152.0,0.8618471582181259,376.25,4194304.0,2343.2930232558138,76.2046511627907,819.2,95.25581395348837,990.660465116279,10.275968992248066,1365.3333333333333,682.6666666666666,0.09302325581395349,546.1333333333333,0.22565641410352588,2.425806451612903
128x128x128w24-32-31,128,128,128,24,32,31,24-32-31,M0K,74624,40064,6144,31,32,744,7936,24,768,15872,5952,7936,True,6,4,5,960,0,120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,163840,81920,65536,4194304.0,10240.0,2015232,81920.0,2097152.0,393216,48.516129032258064,65536,786432,81920,933888,80.0,11690.666666666668,194.06451612903226,2328.774193548387,388.1290322580645,388.1290322580645,262144.0,1835008.0,262144.0,2097152.0,2097152.0,1.1551459293394777,420.0,4194304.0,2099.2,68.26666666666667,819.2,85.33333333333333,972.8,12.177777777777779,1365.3333333333333,682.6666666666666,0.08333333333333333,546.1333333333333,0.2021505376344086,2.4258064516129028
128x128x128w29-32-30,128,128,128,29,32,30,29-32-30,M0K,70560,44128,7424,30,32,720,7680,29,768,15360,6960,7680,True,5,4,5,800,0,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,147456,81920,65536,4194304.0,10240.0,2015232,81920.0,2097152.0,327680,33.06666666666667,65536,655360,81920,802816,80.0,8320.0,132.26666666666668,1322.6666666666665,264.5333333333333,264.53333333333336,262144.0,1835008.0,262144.0,2097152.0,2097152.0,0.5535714285714285,350.0,4194304.0,2519.04,81.92,819.2,102.4,1003.52,10.4,1474.56,819.2,0.1,655.36,0.16533333333333336,1.653333333333333
128x128x128w23-32-31,128,128,128,23,32,31,23-32-31,M0K,75632,39056,5888,31,32,496,7936,23,512,15872,5704,7936,True,6,4,5,960,0,120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,163840,81920,65536,4194304.0,10240.0,2015232,81920.0,2097152.0,393216,48.51612903225807,65536,786432,81920,933888,80.0,10837.333333333336,194.06451612903228,2328.774193548387,388.12903225806457,388.12903225806457,262144.0,1835008.0,262144.0,2097152.0,2097152.0,1.064900153609831,420.0,4194304.0,2099.2,68.26666666666667,819.2,85.33333333333333,972.8,11.288888888888891,1365.3333333333333,682.6666666666666,0.08333333333333333,546.1333333333333,0.20215053763440863,2.4258064516129028
