FakeNN JSON Name,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time,Before Computation_cc_0,After Computation_cc_0,Overlap Stall Time_cc_0,Raw Compute Time_cc_0,cc_tiles_cc_0,Before Computation_cc_1,After Computation_cc_1,Overlap Stall Time_cc_1,Raw Compute Time_cc_1,cc_tiles_cc_1,Before Computation_cc_2,After Computation_cc_2,Overlap Stall Time_cc_2,Raw Compute Time_cc_2,cc_tiles_cc_2,Before Computation_cc_3,After Computation_cc_3,Overlap Stall Time_cc_3,Raw Compute Time_cc_3,cc_tiles_cc_3,Before Computation_cc_4,After Computation_cc_4,Overlap Stall Time_cc_4,Raw Compute Time_cc_4,cc_tiles_cc_4,Before Computation_cc_5,After Computation_cc_5,Overlap Stall Time_cc_5,Raw Compute Time_cc_5,cc_tiles_cc_5,Before Computation_cc_6,After Computation_cc_6,Overlap Stall Time_cc_6,Raw Compute Time_cc_6,cc_tiles_cc_6,Before Computation_cc_7,After Computation_cc_7,Overlap Stall Time_cc_7,Raw Compute Time_cc_7,cc_tiles_cc_7,Total CC Tiles,Overlap Stall Time Total,Raw Compute Time Total
128x128x128w17-32-32,452115,451054,451057,451073,451067,451082,451091,451064,455824,452118,3388,336,27208,425117,128,3388,1391,161216,291103,128,3388,1387,162181,290137,128,3388,1370,161040,291277,128,3386,1375,161311,291005,128,3386,1359,159421,292894,128,3378,1357,159746,292576,128,3378,1383,159847,292474,128,1024,1151970,2466583
128x128x128w18-32-32,432131,432137,410771,410747,410737,410746,410754,410764,435809,432141,3402,298,27365,404938,128,3402,280,27194,405097,128,3402,21646,161380,270927,112,3402,21670,161716,270591,112,3400,21680,162122,270185,112,3400,21671,160305,272002,112,3392,21671,160430,271885,112,3392,21653,160188,272119,112,928,1020700,2437744
128x128x128w19-32-32,396738,396755,396743,396782,396771,396777,395651,395651,400596,396789,3467,410,24564,372474,112,3467,383,23685,373343,112,3467,394,25131,371896,112,3467,354,125087,271939,112,3465,364,125495,271530,112,3457,365,123858,273174,112,3457,1490,141935,255096,112,3457,1489,142047,254983,112,896,731802,2444435
128x128x128w20-32-32,378088,378084,378087,378103,378097,378120,378121,378094,381910,378123,3479,362,25338,353002,112,3479,356,24274,354056,112,3479,352,25702,352627,112,3479,335,24359,353969,112,3477,340,126370,251957,112,3469,324,125577,252757,112,3469,322,125881,252452,112,3469,348,126179,252153,112,896,603680,2422973
128x128x128w21-32-32,379379,379380,358918,358891,358880,357834,357838,357848,383175,379385,3512,295,25830,353734,112,3512,292,26925,352637,112,3512,20753,43429,336148,96,3512,20779,42277,337299,96,3510,20789,43539,336036,96,3502,21842,145629,233953,96,3502,21837,145746,233835,96,3502,21826,145505,234075,96,800,618880,2417717
128x128x128w22-32-26,377074,377047,376242,376269,376259,376256,376228,376271,380989,377076,3490,445,33168,344233,120,3490,454,34695,342688,120,3490,1260,51561,325823,120,3490,1231,49413,327969,120,3488,1242,49949,327434,120,3488,1245,47509,329874,120,3488,1273,136353,241030,120,3480,1238,135889,241502,120,960,538537,2480553
128x128x128w22-32-27,371938,371927,371290,371290,371298,371292,371284,371267,375859,371940,3497,444,33270,338994,120,3497,437,34078,338168,120,3497,1075,51143,321104,120,3497,1073,49535,322710,120,3495,1066,50155,322091,120,3495,1072,46962,325284,120,3495,1080,135996,236250,120,3487,1105,135533,236721,120,960,536672,2441322
128x128x128w22-32-28,371112,371144,370584,370607,370583,370579,370591,370597,375068,371147,3508,467,33418,338043,120,3508,418,34114,337330,120,3508,979,51151,320294,120,3508,954,49055,322388,120,3506,979,49904,321540,120,3506,983,47298,324146,120,3506,971,136237,235207,120,3498,973,135764,235688,120,960,536941,2434636
128x128x128w22-32-29,373941,373883,373482,373507,373502,373512,373525,373523,377910,373943,3551,438,34171,340090,120,3551,478,34459,339784,120,3551,880,51758,322486,120,3551,853,49540,324702,120,3549,859,50233,324010,120,3549,849,46931,327312,120,3549,836,137180,237063,120,3541,846,136232,238019,120,960,540504,2453466
128x128x128w22-32-30,368197,368189,367912,367888,367896,367891,367899,367913,372169,368199,3556,434,32897,335616,120,3556,426,33206,335291,120,3556,704,50874,317624,120,3556,726,49030,319466,120,3554,719,49465,319032,120,3554,724,47450,321047,120,3554,716,135931,232566,120,3546,710,135381,233124,120,960,534234,2413766
128x128x128w22-32-31,368284,368304,368145,368157,368147,368128,368129,368127,372296,368305,3578,450,32977,335639,120,3570,431,33337,335280,120,3570,589,50463,318153,120,3570,576,48575,320040,120,3568,585,49500,319114,120,3568,603,46928,321685,120,3568,601,136146,232466,120,3568,602,136024,232587,120,960,533950,2414964
128x128x128w22-32-32,360703,360709,359645,359654,359645,359661,359661,359653,364605,360714,3520,402,24544,336467,96,3520,378,24231,336762,96,3520,1443,41204,319790,96,3520,1432,38923,322069,96,3518,1442,40622,320371,96,3510,1434,37402,323599,96,3510,1434,126416,234585,96,3510,1442,126696,234305,96,768,460038,2427948
128x128x128w23-32-26,358706,358685,358685,358696,358693,357896,357894,357885,362625,358708,3528,410,32842,326156,120,3528,421,34071,324917,120,3528,420,34130,324857,120,3528,408,32217,326769,120,3526,410,33223,325762,120,3526,1206,48859,310125,120,3526,1207,49492,309491,120,3518,1223,138471,220519,120,960,403305,2468596
128x128x128w23-32-27,356207,356189,356187,356193,356190,355509,355510,355525,360127,356209,3529,410,33747,322752,120,3529,418,34633,321856,120,3529,419,34361,322127,120,3529,412,32600,323887,120,3527,414,33213,323273,120,3527,1094,49049,307436,120,3527,1092,49293,307191,120,3519,1084,138715,217776,120,960,405611,2446298
128x128x128w23-32-28,355567,355570,355544,355559,355560,354996,355007,355006,359499,355572,3538,414,33632,322231,120,3538,393,34324,321521,120,3538,420,34295,321551,120,3538,403,32174,323670,120,3536,403,32856,322989,120,3536,967,49073,306772,120,3536,956,48845,307000,120,3536,957,138398,217447,120,960,403597,2443181
128x128x128w23-32-29,356474,356469,356486,356480,356457,356040,356059,356040,360454,356489,3577,423,33457,323322,120,3577,410,34843,321918,120,3577,394,34331,322431,120,3577,398,32248,324512,120,3575,422,33035,323726,120,3575,839,48609,308152,120,3575,820,48970,307791,120,3575,839,139189,217572,120,960,404682,2449424
