FakeNN JSON Name,Global Sim E2E_cc_0,Core Complex E2E_cc_0,Sum Region Cycles_cc_0,Before Computation_cc_0,After Computation_cc_0,core0,Overlap Stall Time_cc_0,Raw Compute Time_cc_0,Sum Raw Compute + Overlap Stall_cc_0,Sum Compute+Stall+Pro+Epi_cc_0,cc_tiles_cc_0,Global Sim E2E_cc_1,Core Complex E2E_cc_1,Sum Region Cycles_cc_1,Before Computation_cc_1,After Computation_cc_1,core1,Overlap Stall Time_cc_1,Raw Compute Time_cc_1,Sum Raw Compute + Overlap Stall_cc_1,Sum Compute+Stall+Pro+Epi_cc_1,cc_tiles_cc_1,Global Sim E2E_cc_2,Core Complex E2E_cc_2,Sum Region Cycles_cc_2,Before Computation_cc_2,After Computation_cc_2,core2,Overlap Stall Time_cc_2,Raw Compute Time_cc_2,Sum Raw Compute + Overlap Stall_cc_2,Sum Compute+Stall+Pro+Epi_cc_2,cc_tiles_cc_2,Global Sim E2E_cc_3,Core Complex E2E_cc_3,Sum Region Cycles_cc_3,Before Computation_cc_3,After Computation_cc_3,core3,Overlap Stall Time_cc_3,Raw Compute Time_cc_3,Sum Raw Compute + Overlap Stall_cc_3,Sum Compute+Stall+Pro+Epi_cc_3,cc_tiles_cc_3,Global Sim E2E_cc_4,Core Complex E2E_cc_4,Sum Region Cycles_cc_4,Before Computation_cc_4,After Computation_cc_4,core4,Overlap Stall Time_cc_4,Raw Compute Time_cc_4,Sum Raw Compute + Overlap Stall_cc_4,Sum Compute+Stall+Pro+Epi_cc_4,cc_tiles_cc_4,Global Sim E2E_cc_5,Core Complex E2E_cc_5,Sum Region Cycles_cc_5,Before Computation_cc_5,After Computation_cc_5,core5,Overlap Stall Time_cc_5,Raw Compute Time_cc_5,Sum Raw Compute + Overlap Stall_cc_5,Sum Compute+Stall+Pro+Epi_cc_5,cc_tiles_cc_5,Global Sim E2E_cc_6,Core Complex E2E_cc_6,Sum Region Cycles_cc_6,Before Computation_cc_6,After Computation_cc_6,core6,Overlap Stall Time_cc_6,Raw Compute Time_cc_6,Sum Raw Compute + Overlap Stall_cc_6,Sum Compute+Stall+Pro+Epi_cc_6,cc_tiles_cc_6,Global Sim E2E_cc_7,Core Complex E2E_cc_7,Sum Region Cycles_cc_7,Before Computation_cc_7,After Computation_cc_7,core7,Overlap Stall Time_cc_7,Raw Compute Time_cc_7,Sum Raw Compute + Overlap Stall_cc_7,Sum Compute+Stall+Pro+Epi_cc_7,cc_tiles_cc_7,Kernel Time,dma,Global Sim E2E_dma,Total CC Tiles,Overlap Stall Time Total,Raw Compute Time Total,Diff from dma E2E_cc_0,Sum Regions - Core Complex E2E_cc_0,Diff from dma E2E_cc_1,Sum Regions - Core Complex E2E_cc_1,Diff from dma E2E_cc_2,Sum Regions - Core Complex E2E_cc_2,Diff from dma E2E_cc_3,Sum Regions - Core Complex E2E_cc_3,Diff from dma E2E_cc_4,Sum Regions - Core Complex E2E_cc_4,Diff from dma E2E_cc_5,Sum Regions - Core Complex E2E_cc_5,Diff from dma E2E_cc_6,Sum Regions - Core Complex E2E_cc_6,Diff from dma E2E_cc_7,Sum Regions - Core Complex E2E_cc_7
128x128x128w17-32-32,455841,455841,455713,3388,336,452116,26872,425117,451989,455713,128,455835,455835,455707,3388,1391,451055,159825,291103,450928,455707,128,455834,455834,455706,3388,1387,451058,160794,290137,450931,455706,128,455833,455833,455705,3388,1370,451074,159670,291277,450947,455705,128,455830,455830,455702,3386,1375,451068,159936,291005,450941,455702,128,455829,455829,455701,3386,1359,451083,158062,292894,450956,455701,128,455828,455828,455700,3378,1357,451092,158389,292576,450965,455700,128,455827,455827,455699,3378,1383,451065,158464,292474,450938,455699,128,452118,455824,455824,1024,1142012,2466583,17,17,11,11,10,10,9,9,6,6,5,5,4,4,3,3
128x128x128w18-32-32,435833,435833,435705,3402,298,432132,27067,404938,432005,435705,128,435821,435821,435693,3402,280,432138,26914,405097,432011,435693,128,435821,435821,435709,3402,21646,410772,139734,270927,410661,435709,112,435821,435821,435709,3402,21670,410748,140046,270591,410637,435709,112,435819,435819,435707,3400,21680,410738,140442,270185,410627,435707,112,435819,435819,435707,3400,21671,410747,138634,272002,410636,435707,112,435819,435819,435707,3392,21671,410755,138759,271885,410644,435707,112,435811,435811,435699,3392,21653,410765,138535,272119,410654,435699,112,432141,435809,435809,928,890131,2437744,24,24,12,12,12,12,12,12,10,10,10,10,10,10,2,2
128x128x128w19-32-32,400617,400617,400505,3467,410,396739,24154,372474,396628,400505,112,400607,400607,400495,3467,383,396756,23302,373343,396645,400495,112,400606,400606,400494,3467,394,396744,24737,371896,396633,400494,112,400605,400605,400493,3467,354,396783,124733,271939,396672,400493,112,400602,400602,400490,3465,364,396772,125131,271530,396661,400490,112,400601,400601,400489,3457,365,396778,123493,273174,396667,400489,112,400600,400600,400488,3457,1490,395652,140445,255096,395541,400488,112,400599,400599,400487,3457,1489,395652,140558,254983,395541,400487,112,396789,400596,400596,896,726553,2444435,21,21,11,11,10,10,9,9,6,6,5,5,4,4,3,3
128x128x128w20-32-32,381931,381931,381819,3479,362,378089,24976,353002,377978,381819,112,381921,381921,381809,3479,356,378085,23918,354056,377974,381809,112,381920,381920,381808,3479,352,378088,25350,352627,377977,381808,112,381919,381919,381807,3479,335,378104,24024,353969,377993,381807,112,381916,381916,381804,3477,340,378098,126030,251957,377987,381804,112,381915,381915,381803,3469,324,378121,125253,252757,378010,381803,112,381914,381914,381802,3469,322,378122,125559,252452,378011,381802,112,381913,381913,381801,3469,348,378095,125831,252153,377984,381801,112,378123,381910,381910,896,600941,2422973,21,21,11,11,10,10,9,9,6,6,5,5,4,4,3,3
128x128x128w21-32-32,383188,383188,383076,3512,295,379380,25535,353734,379269,383076,112,383186,383186,383074,3512,292,379381,26633,352637,379270,383074,112,383185,383185,383089,3512,20753,358919,22676,336148,358824,383089,96,383184,383184,383088,3512,20779,358892,21498,337299,358797,383088,96,383181,383181,383085,3510,20789,358881,22750,336036,358786,383085,96,383180,383180,383084,3502,21842,357835,123787,233953,357740,383084,96,383179,383179,383083,3502,21837,357839,123909,233835,357744,383083,96,383178,383178,383082,3502,21826,357849,123679,234075,357754,383082,96,379385,383175,383175,800,490467,2417717,13,13,11,11,10,10,9,9,6,6,5,5,4,4,3,3
128x128x128w22-32-26,381011,381011,380891,3490,445,377075,32723,344233,376956,380891,120,380993,380993,380873,3490,454,377048,34241,342688,376929,380873,120,380994,380994,380874,3490,1260,376243,50301,325823,376124,380874,120,380992,380992,380872,3490,1231,376270,48182,327969,376151,380872,120,380991,380991,380871,3488,1242,376260,48707,327434,376141,380871,120,380991,380991,380871,3488,1245,376257,46264,329874,376138,380871,120,380991,380991,380871,3488,1273,376229,135080,241030,376110,380871,120,380991,380991,380871,3480,1238,376272,134651,241502,376153,380871,120,377076,380989,380989,960,530149,2480553,22,22,4,4,5,5,3,3,2,2,2,2,2,2,2,2
128x128x128w22-32-27,375881,375881,375761,3497,444,371939,32826,338994,371820,375761,120,375863,375863,375743,3497,437,371928,33641,338168,371809,375743,120,375864,375864,375744,3497,1075,371291,50068,321104,371172,375744,120,375862,375862,375742,3497,1073,371291,48462,322710,371172,375742,120,375861,375861,375741,3495,1066,371299,49089,322091,371180,375741,120,375861,375861,375741,3495,1072,371293,45890,325284,371174,375741,120,375861,375861,375741,3495,1080,371285,134916,236250,371166,375741,120,375861,375861,375741,3487,1105,371268,134428,236721,371149,375741,120,371940,375859,375859,960,529320,2441322,22,22,4,4,5,5,3,3,2,2,2,2,2,2,2,2
128x128x128w22-32-28,375089,375089,374969,3508,467,371113,32951,338043,370994,374969,120,375072,375072,374952,3508,418,371145,33696,337330,371026,374952,120,375073,375073,374953,3508,979,370585,50172,320294,370466,374953,120,375071,375071,374951,3508,954,370608,48101,322388,370489,374951,120,375070,375070,374950,3506,979,370584,48925,321540,370465,374950,120,375070,375070,374950,3506,983,370580,46315,324146,370461,374950,120,375070,375070,374950,3506,971,370592,135266,235207,370473,374950,120,375070,375070,374950,3498,973,370598,134791,235688,370479,374950,120,371147,375068,375068,960,530217,2434636,21,21,4,4,5,5,3,3,2,2,2,2,2,2,2,2
128x128x128w22-32-29,377932,377932,377812,3551,438,373942,33733,340090,373823,377812,120,377914,377914,377794,3551,478,373884,33981,339784,373765,377794,120,377915,377915,377795,3551,880,373483,50878,322486,373364,377795,120,377913,377913,377793,3551,853,373508,48687,324702,373389,377793,120,377912,377912,377792,3549,859,373503,49374,324010,373384,377792,120,377912,377912,377792,3549,849,373513,46082,327312,373394,377792,120,377912,377912,377792,3549,836,373526,136344,237063,373407,377792,120,377912,377912,377792,3541,846,373524,135386,238019,373405,377792,120,373943,377910,377910,960,534465,2453466,22,22,4,4,5,5,3,3,2,2,2,2,2,2,2,2
128x128x128w22-32-30,372189,372189,372069,3556,434,368198,32463,335616,368079,372069,120,372173,372173,372053,3556,426,368190,32780,335291,368071,372053,120,372174,372174,372054,3556,704,367913,50170,317624,367794,372054,120,372172,372172,372052,3556,726,367889,48304,319466,367770,372052,120,372171,372171,372051,3554,719,367897,48746,319032,367778,372051,120,372171,372171,372051,3554,724,367892,46726,321047,367773,372051,120,372171,372171,372051,3554,716,367900,135215,232566,367781,372051,120,372171,372171,372051,3546,710,367914,134671,233124,367795,372051,120,368199,372169,372169,960,529075,2413766,20,20,4,4,5,5,3,3,2,2,2,2,2,2,2,2
