FakeNN JSON Name,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time
128x128x128w17-32-32,452115,451054,451057,451073,451067,451082,451091,451064,455824,452118
128x128x128w18-32-32,432131,432137,410771,410747,410737,410746,410754,410764,435809,432141
128x128x128w19-32-32,396738,396755,396743,396782,396771,396777,395651,395651,400596,396789
128x128x128w20-32-32,378088,378084,378087,378103,378097,378120,378121,378094,381910,378123
128x128x128w21-32-32,379379,379380,358918,358891,358880,357834,357838,357848,383175,379385
128x128x128w22-32-26,377074,377047,376242,376269,376259,376256,376228,376271,380989,377076
128x128x128w22-32-27,371938,371927,371290,371290,371298,371292,371284,371267,375859,371940
128x128x128w22-32-28,371112,371144,370584,370607,370583,370579,370591,370597,375068,371147
128x128x128w22-32-29,373941,373883,373482,373507,373502,373512,373525,373523,377910,373943
128x128x128w22-32-30,368197,368189,367912,367888,367896,367891,367899,367913,372169,368199
128x128x128w22-32-31,368284,368304,368145,368157,368147,368128,368129,368127,372296,368305
128x128x128w22-32-32,360703,360709,359645,359654,359645,359661,359661,359653,364605,360714
128x128x128w23-32-26,358706,358685,358685,358696,358693,357896,357894,357885,362625,358708
128x128x128w23-32-27,356207,356189,356187,356193,356190,355509,355510,355525,360127,356209
128x128x128w23-32-28,355567,355570,355544,355559,355560,354996,355007,355006,359499,355572
128x128x128w23-32-29,356474,356469,356486,356480,356457,356040,356059,356040,360454,356489
128x128x128w23-32-30,352528,352489,352512,352514,352512,352222,352220,352230,356508,352529
128x128x128w23-32-31,351002,350992,351010,351016,351013,350862,350862,350844,354971,351019
128x128x128w23-32-32,343794,343781,343808,343781,343779,342708,342708,342717,347698,343814
128x128x128w24-32-26,346013,346055,346039,346041,346062,346048,346056,346045,349935,346066
128x128x128w24-32-27,343955,343916,343928,343930,343932,343957,343949,343962,347830,343965
128x128x128w24-32-28,344312,344320,344337,344329,344325,344313,344318,344312,348213,344339
128x128x128w24-32-29,341527,341521,341538,341548,341539,341542,341547,341548,345470,341555
128x128x128w24-32-30,338628,338628,338596,338612,338615,338612,338618,338619,342558,338630
128x128x128w24-32-31,338304,338262,338276,338281,338299,338291,338284,338291,342258,338305
128x128x128w24-32-32,331593,331593,331593,331625,331614,331585,331593,331593,335471,331631
128x128x128w25-32-26,428037,428040,428029,404984,404940,404964,404964,404964,431918,428042
128x128x128w25-32-27,428121,428128,428126,405054,405018,405013,405022,405037,432015,428130
128x128x128w25-32-28,425986,425989,425990,403079,403030,403032,403059,403059,429893,425993
128x128x128w25-32-29,423629,423630,423634,400952,400921,400905,400928,400933,427567,423637
128x128x128w25-32-30,420566,420556,420557,397946,397947,397906,397924,397906,424517,420567
128x128x128w25-32-31,421144,421146,421150,398592,398600,398584,398575,398608,425114,421153
128x128x128w25-32-32,407262,407264,407261,385703,385715,385737,385725,385731,411134,407269
128x128x128w26-24-32,361189,361183,361185,361191,361170,361174,361175,361175,365139,361195
